origin,destination,state_code,base_travel_time_hours,od_weight,weighted_base_hours
49_7082,49_7086,49,7.114101066835015,1485100.2340820732,10565153.159640208
49_7083,49_7082,49,4.855862079506711,1823236.5479254199,8853385.215041766
40_4166,40_4154,40,8.653186426565057,821488.736913392,7108495.187835037
49_7083,49_7086,49,4.199097455670506,1524375.242383251,6401000.20177862
49_7086,49_C445,49,7.155874551122227,824639.5590833905,5901017.234693488
49_7086,49_C451,49,7.155732410450346,824639.5590833905,5900900.019872501
49_7086,49_C446,49,7.15480708191991,824639.5590833905,5900136.957361154
49_7086,49_C450,49,7.15478446733263,824639.5590833905,5900118.308477871
49_7086,49_C452,49,7.154192214026091,824639.5590833905,5899629.912972301
49_7086,49_C444,49,7.1541902988525035,824639.5590833905,5899628.3336443985
49_7086,49_C449,49,7.15379898010244,824639.5590833905,5899305.636722885
49_7086,49_C431,49,7.152495966892621,824639.5590833905,5898231.12048406
49_7086,49_C443,49,7.152494414481166,824639.5590833905,5898229.840304162
49_7086,49_C430,49,7.151259797367625,824639.5590833905,5897211.726192014
49_7086,49_C410,49,7.140908637498826,824639.5590833905,5888675.750281807
49_7086,49_C440,49,7.137470309695908,824639.5590833905,5885840.3691584235
40_4166,40_4163,40,7.209566850796536,796201.2022039907,5740265.793974241
40_4166,40_0122,40,7.7008802097919,686315.1850917478,5285231.026552705
40_4166,40_0113,40,7.6974109664979995,686362.2569009459,5283212.363259658
48_0901,48_0115,48,3.7529861740243216,1401238.750003653,5258829.655270833
48_0901,48_0116,48,3.749514819145598,1401238.750003653,5253965.458299751
48_0901,48_0124,48,3.7460234648926116,1401238.750003653,5249073.237430477
48_0901,48_0123,48,3.7425618726689844,1401238.750003653,5244222.720270019
48_0901,48_0122,48,3.7370010050056033,1401238.750003653,5236430.617016447
48_0901,48_0117,48,3.7335467100881377,1401238.750003653,5231590.325124154
48_0903,48_0115,48,3.732507834978206,1401257.9418012232,5230206.246598501
48_0901,48_0118,48,3.730062851847058,1401238.750003653,5226708.607957233
48_0903,48_0116,48,3.7290364800994826,1401257.9418012232,5225341.983005879
48_0902,48_0115,48,3.727392774078615,1401278.0777593718,5223113.781515054
48_0901,48_0113,48,3.7265857141770513,1401238.750003653,5221836.307914922
48_0903,48_0124,48,3.725545125846496,1401257.9418012232,5220449.69513124
41_7081,41_AA60,41,6.079968952962096,858410.117952765,5219106.866061342
48_0902,48_0116,48,3.7239214191998915,1401278.0777593718,5218249.448023376
48_0903,48_0123,48,3.722083533622869,1401257.9418012232,5215599.111536605
48_0902,48_0124,48,3.720430064946905,1401278.0777593718,5213357.089846974
48_0902,48_0123,48,3.716968472723278,1401278.0777593718,5208506.436549863
48_0903,48_0122,48,3.716522665959488,1401257.9418012232,5207806.901559987
48_0901,48_0167,48,3.7145061219564477,1401238.750003653,5204909.91521117
41_7081,41_AA59,41,6.06332136806782,858365.157124449,5204543.798797564
48_0903,48_0117,48,3.7130683710420223,1401257.9418012232,5202966.543373564
48_0902,48_0122,48,3.7114076050598968,1401278.0777593718,5200714.114599846
48_0901,48_0114,48,3.711053096217507,1401238.750003653,5200071.401741006
48_0903,48_0118,48,3.7095845128009426,1401257.9418012232,5198084.759345142
48_0902,48_0117,48,3.707953310142431,1401278.0777593718,5195873.686857886
48_0901,48_0121,48,3.707519653892986,1401238.750003653,5195120.2054349845
48_0903,48_0113,48,3.706107375130936,1401257.9418012232,5193212.392570309
41_7081,41_AA03,41,6.047880025016834,858365.157124449,5191289.487943391
48_0902,48_0118,48,3.7044694519013515,1401278.0777593718,5190991.832678639
48_0901,48_0120,48,3.7041444498179126,1401238.750003653,5190390.738695821
48_0902,48_0113,48,3.700992314231345,1401278.0777593718,5186119.395888308
48_0901,48_0119,48,3.700688521678983,1401238.750003653,5185548.1582703255
41_7081,41_AA02,41,6.0357388510123755,858320.1939409791,5180596.541178044
48_0903,48_0167,48,3.6940277829103323,1401257.9418012232,5176285.768037468
41_7081,41_AA01,41,6.025982103187052,858342.6758271314,5172357.602935979
48_0903,48_0114,48,3.6905747571713916,1401257.9418012232,5171447.188297533
48_0902,48_0167,48,3.688912722010741,1401278.0777593718,5169192.528121304
48_0903,48_0121,48,3.6870413148468706,1401257.9418012232,5166495.924178402
48_0902,48_0114,48,3.6854596962718005,1401278.0777593718,5164353.878851387
48_0903,48_0120,48,3.683666110771797,1401257.9418012232,5161766.392663005
48_0902,48_0121,48,3.6819262539472795,1401278.0777593718,5159402.543583008
48_0903,48_0119,48,3.6802101826328677,1401257.9418012232,5156923.745912036
48_0902,48_0120,48,3.678551049872206,1401278.0777593718,5154672.9441046445
48_0902,48_0119,48,3.6750951217332766,1401278.0777593718,5149830.22776525
49_7083,49_C445,49,4.897635563793924,1012398.3206529146,4958358.019954959
49_7083,49_C451,49,4.897493423122043,1012398.3206529146,4958214.11697745
49_7083,49_C446,49,4.896568094591607,1012398.3206529146,4957277.315927184
49_7083,49_C450,49,4.896545480004327,1012398.3206529146,4957254.420957
49_7083,49_C452,49,4.895953226697788,1012398.3206529146,4956654.824704059
49_7083,49_C444,49,4.8959513115242,1012398.3206529146,4956652.885785535
49_7083,49_C449,49,4.895559992774137,1012398.3206529146,4956256.715340131
49_7083,49_C431,49,4.894256979564318,1012398.3206529146,4954937.546954721
49_7083,49_C443,49,4.894255427152863,1012398.3206529146,4954935.975295971
49_7083,49_C430,49,4.893020810039322,1012398.3206529146,4953686.051003573
49_7083,49_C410,49,4.882669650170523,1012398.3206529146,4943206.554135591
49_7083,49_C440,49,4.8792313223676045,1012398.3206529146,4939725.596842063
1_4126,1_0161,1,4.455526925275903,1052263.8760690687,4688390.032320921
5_0213,5_0113,5,2.7195045196991847,1721476.7185801752,4681563.716735708
5_0213,5_0114,5,2.715197458280253,1720997.7513205414,4672848.7200915655
1_4126,1_0102,1,4.451503972919871,1049203.6769274115,4670534.336244509
5_0213,5_0117,5,2.711303898836688,1720997.7513205414,4666147.913044557
1_4126,1_0101,1,4.433793880263089,1052263.8760690687,4665521.134136954
1_4126,1_0103,1,4.427269859777226,1052439.5695668326,4659433.985580156
1_4126,1_0162,1,4.424315366420954,1052200.9818521556,4655268.972571707
1_4126,1_0105,1,4.430252566053261,1049203.6769274115,4648237.2820201805
1_4126,1_0104,1,4.418157151409624,1051954.473853465,4647700.181613035
1_4126,1_0106,1,4.416869755925146,1051940.3558989454,4646283.543007186
1_4126,1_0112,1,4.401311789250089,1051954.8117809054,4629981.114849657
1_4126,1_0111,1,4.397427059665028,1052080.5508013538,4626447.48304116
5_0213,5_0122,5,2.6875860506764404,1721157.4146082571,4625758.6585194785
1_4126,1_0108,1,4.395269426760504,1052009.7610935082,4623866.3395879185
1_4126,1_0110,1,4.393985050083999,1052010.0990031892,4622516.647557401
1_4126,1_0109,1,4.392599934628256,1051954.943197103,4620817.214719466
1_4126,1_0107,1,4.398477276150125,1050076.6995519898,4618738.501194149
1_4126,1_0163,1,4.389330361529125,1051955.1497082373,4617378.677581282
40_4166,40_0124,40,7.728813135997081,594345.0372880386,4593581.731506468
40_4166,40_0123,40,7.724943956875308,594345.0372880386,4591282.104097064
40_4166,40_0121,40,7.720643319813379,594374.607358558,4588954.341769551
40_4166,40_0120,40,7.715005556089838,594374.607358558,4585603.398169991
40_4166,40_0119,40,7.710311952022294,594374.607358558,4582813.639095248
40_4166,40_0117,40,7.692740428306277,594374.607358558,4572369.571585849
40_4166,40_0116,40,7.6853799389053075,594374.607358558,4567994.683588181
40_4166,40_0118,40,7.6819328580038295,594374.607358558,4565945.826230831
40_4166,40_0114,40,7.670302062516653,594374.607358558,4559032.776729873
5_0215,5_0113,5,2.765494364473421,1564464.9238062194,4326518.930202439
5_0223,5_0113,5,2.7621140263746615,1564464.9238062194,4321230.509816324
5_0215,5_0114,5,2.7611873030544896,1564029.6420105023,4318578.789120258
5_0223,5_0114,5,2.75780696495573,1564029.6420105023,4313291.840133781
5_0215,5_0117,5,2.7572937436109246,1564029.6420105023,4312489.146737592
5_0214,5_0113,5,2.7545665632817244,1564464.9238062194,4309422.768543703
5_0223,5_0117,5,2.753913405512165,1564029.6420105023,4307202.197751115
5_0222,5_0113,5,2.750236206004634,1564464.9238062194,4302648.076476146
5_0214,5_0114,5,2.750259501862793,1564029.6420105023,4301487.384134446
5_0214,5_0117,5,2.746365942419228,1564029.6420105023,4295397.741751781
5_0222,5_0114,5,2.7459291445857024,1564029.6420105023,4294714.576992581
5_0219,5_0113,5,2.7443581332956164,1564464.9238062194,4293452.037903305
5_0222,5_0117,5,2.7420355851421374,1564029.6420105023,4288624.934609915
5_0218,5_0113,5,2.740542997982637,1564464.9238062194,4287483.392526574
5_0219,5_0114,5,2.740051071876685,1564029.6420105023,4285521.097037785
5_0218,5_0114,5,2.7362359365637055,1564029.6420105023,4279554.112320004
5_0219,5_0117,5,2.73615751243312,1564029.6420105023,4279431.454655119
