origin,destination,state_code,base_travel_time_hours,od_weight,weighted_base_hours
6_7491,6_0203,6,77.60497102141684,4473301.743188814,347150452.1502214
6_7491,6_0211,6,77.60239977086763,4473301.743188814,347138950.17065746
6_7491,6_0207,6,77.59974919895154,4473182.379420273,347117830.7641825
6_7491,6_0206,6,77.59700984573388,4473243.98692434,347110357.6957379
6_7491,6_0210,6,77.59431741546574,4473213.183278368,347095923.61034757
6_7491,6_0202,6,77.591724044862,4473243.98692434,347086713.0187717
6_7491,6_0212,6,77.58603685919306,4473301.743188814,347065753.9293399
6_7491,6_0208,6,77.58337789031896,4473305.593579932,347054158.2855894
6_7491,6_0205,6,77.58081879862726,4473232.435581958,347037035.029026
6_7491,6_0209,6,77.57816934794143,4473286.341591203,347029365.3497957
6_7491,6_0204,6,77.58865411139594,4234828.809972771,328574667.75795186
6_7491,6_0201,6,77.57549208638807,4234528.758727493,328495652.2122473
6_0203,6_7493,6,81.97115062265381,3783576.336888706,310144105.80341285
6_0211,6_7493,6,81.9685793721046,3783576.336888706,310134377.28067863
6_0207,6_7493,6,81.96592880018851,3783475.3774730302,310116073.4072207
6_0206,6_7493,6,81.96318944697084,3783527.4858949394,310109980.1042282
6_0210,6_7493,6,81.9604970167027,3783501.4317736933,310097657.8115782
6_0202,6_7493,6,81.95790364609897,3783527.4858949394,310089981.1313445
6_0212,6_7493,6,81.95221646043002,3783576.336888706,310072466.95526415
6_0208,6_7493,6,81.94955749155591,3783579.593599198,310062673.4295352
6_0205,6_7493,6,81.94699839986421,3783517.7156204972,310047920.1878108
6_0209,6_7493,6,81.94434894917839,3783563.3100187066,310041632.1474813
6_7491,6_3042,6,68.27645481938617,4497719.683902028,307088354.7882007
6_0204,6_7493,6,81.9548337126329,3581872.852772415,293551794.02875733
6_0201,6_7493,6,81.94167168762502,3581619.0655573634,293483853.5800398
6_7491,6_7456,6,69.08597257414245,4092062.362226997,282704108.12849486
6_3042,6_7493,6,73.09575868035434,3804229.3462276664,278073030.25657964
41_7018,41_5006,41,84.79866645797999,3017697.9642802314,255896763.14392456
6_7456,6_7493,6,73.90527643511061,3461119.1490422687,255794967.48482367
41_5005,41_5006,41,84.73957324963054,3008740.2137830923,254959361.7349814
41_5021,41_5006,41,83.62694315485571,2797035.8385598366,233907557.0733376
41_7018,41_5008,41,84.7571535137976,2665251.558210312,225899135.4721197
41_5005,41_5008,41,84.69806030544815,2657340.011477286,225071544.54418346
