origin,destination,state_code,base_travel_time_hours,od_weight,weighted_base_hours
53_3014,53_0207,53,1.7885285035436627,1197898.0649361615,2142474.833478122
53_3014,53_0206,53,1.7851806353409654,1197662.1372197587,2138043.2550457874
53_3014,53_0208,53,1.7817843686915353,1197898.0649361615,2134396.0473890905
53_3014,53_0205,53,1.777524998560024,1197649.0287616819,2128851.088125023
53_3014,53_0201,53,1.7745513534786677,1197675.2455343644,2125336.227990902
53_3014,53_0204,53,1.7717484631959777,1197898.0649361615,2122374.05561608
53_3014,53_0212,53,1.7687659807230671,1197898.0649361615,2118801.345633074
53_3014,53_0209,53,1.7659420581166905,1197714.5696174027,2115094.5321065024
53_3014,53_0211,53,1.7629886172260256,1197924.2762586456,2111926.8633427173
53_3014,53_0210,53,1.7599544734948385,1197609.7025265787,2107738.553462475
53_3014,53_0202,53,1.7566474993511003,1197609.7025265787,2103778.0891419295
53_3014,53_0203,53,1.7531944989985517,1197898.0649361615,2100148.297807088
53_3014,53_0259,53,1.7501781256082092,1197845.6405705202,2096443.2379816778
8_0218,8_7776,8,1.2425418417554412,1293574.644126305,1607320.6207608383
8_0216,8_7776,8,1.2596226753913018,1211147.277686079,1525588.5742118307
8_0213,8_7776,8,1.256727310735792,1211057.5824882977,1521969.1387867078
8_0214,8_7776,8,1.2536204874983259,1211047.615945137,1518194.1026848282
8_0215,8_7776,8,1.250663958227642,1209073.620140643,1512144.7995537212
8_0219,8_7776,8,1.238902069563502,1211107.413973839,1500443.4816358902
8_0223,8_7776,8,1.237644854408505,1211147.277686079,1498970.1961590445
8_0222,8_7776,8,1.2362258558003727,1211047.615945137,1497128.3754367782
8_0220,8_7776,8,1.2335267219011645,1211137.311881027,1493970.2380967916
8_0224,8_7776,8,1.2313849049529515,1211147.277686079,1491388.4754174985
8_0221,8_7776,8,1.2333202211712182,1208983.7710970317,1491064.1319618046
8_0259,8_7776,8,1.2281217267820725,1211147.277686079,1487436.2860592336
