origin,destination,state_code,base_travel_time_hours,od_weight,weighted_base_hours
6_3042,6_0203,6,100.66876057671551,4275318.131558953,430390977.37519896
6_3042,6_0211,6,100.6661893261663,4275318.131558953,430379984.4611051
6_3042,6_0206,6,100.66409828976612,4275262.931525757,430365487.9537024
6_3042,6_0207,6,100.66527623838437,4275204.050704767,430364596.7396552
6_3042,6_0210,6,100.66140585949798,4275233.491216629,430351013.6034756
6_3042,6_0209,6,100.65944553198717,4275303.411619788,430349670.894661
6_3042,6_0202,6,100.65881248889424,4275262.931525757,430342889.7651714
6_3042,6_0205,6,100.65681294137755,4275251.891433592,430333229.91330165
6_3042,6_0208,6,100.65451105644205,4275321.811535826,430330426.5490806
6_3042,6_0212,6,100.6531253032253,4275318.131558953,430324131.60695434
6_3042,6_0204,6,100.65574255542818,4047399.7585547194,407394028.115986
6_3042,6_0201,6,100.6621226748737,4047112.9872607216,407390984.0027133
6_0203,6_7456,6,101.47827833147177,3889719.6006491105,394722048.26605165
6_0211,6_7456,6,101.47570708092256,3889719.6006491105,394712046.8223922
6_0206,6_7456,6,101.47361604452239,3889669.379204888,394698817.12557256
6_0207,6_7456,6,101.47479399314064,3889615.8089496554,394697962.9256294
6_0210,6_7456,6,101.47092361425426,3889642.5941694966,394685626.5597228
6_0209,6_7456,6,101.46896328674343,3889706.208327387,394684456.4489896
6_0202,6_7456,6,101.46833024365053,3889669.379204888,394678257.1077767
6_0205,6_7456,6,101.46633069613382,3889659.334838231,394669460.3639999
6_0208,6_7456,6,101.4640288111983,3889722.9487223374,394666961.33674246
6_0212,6_7456,6,101.46264305798157,3889719.6006491105,394661231.43629533
6_0204,6_7456,6,101.46526031018446,3682357.5902577685,373631371.45068806
6_0201,6_7456,6,101.47164042962997,3682096.683375791,373628390.6826414
6_7491,6_0203,6,81.14114551309244,4473301.743188814,362968827.6680536
6_7491,6_0211,6,81.13857426254323,4473301.743188814,362957325.6884897
6_7491,6_0207,6,81.13766117476129,4473182.379420273,362943556.27431464
6_7491,6_0206,6,81.13648322614304,4473243.98692434,362943285.71153194
6_7491,6_0210,6,81.1337907958749,4473213.183278368,362928742.5974567
6_7491,6_0209,6,81.1318304683641,4473286.341591203,362925909.1024261
6_7491,6_0202,6,81.13119742527117,4473243.98692434,362919641.03456575
6_7491,6_0205,6,81.12919787775448,4473232.435581958,362909759.4195183
6_7491,6_0208,6,81.12689599281897,4473305.593579932,362905397.6344545
6_7491,6_0212,6,81.12551023960222,4473301.743188814,362898886.3718946
6_7491,6_0201,6,81.13450761125063,4234528.758727493,343566405.8050354
6_7491,6_0204,6,81.1281274918051,4234828.809972771,343563731.6014403
6_7491,6_3042,6,72.0492894922169,4497719.683902028,324057507.5602995
6_0203,6_7493,6,84.32242038964206,3783576.336888706,319040314.45543146
6_0211,6_7493,6,84.31984913909285,3783576.336888706,319030585.93269724
6_0207,6_7493,6,84.31893605131091,3783475.3774730302,319018618.4048579
6_0206,6_7493,6,84.31775810269266,3783527.4858949394,319018555.33057845
6_0210,6_7493,6,84.31506567242452,3783501.4317736933,319006171.6917112
6_0202,6_7493,6,84.3124723018208,3783527.4858949394,318998556.3576948
6_0208,6_7493,6,84.3087200700418,3783579.593599198,318988752.8194773
6_0212,6_7493,6,84.30678511615184,3783576.336888706,318981157.20463306
6_0205,6_7493,6,84.30614847578393,3783517.7156204972,318973806.2938605
6_0209,6_7493,6,84.3034939355871,3783563.3100187066,318967606.5610719
6_0204,6_7493,6,84.30940236835474,3581872.852772415,301985559.5766762
6_0201,6_7493,6,84.30617119714047,3581619.0655573634,301952590.10382134
6_7491,6_7456,6,72.85880724697317,4092062.362226997,298142782.8920905
41_7018,41_5006,41,98.22730239820494,3017697.9642802314,296420330.4838017
41_5005,41_5006,41,98.1682091898555,3008740.2137830923,295362638.7045892
6_3042,6_7493,6,72.60982881819214,3804229.3462276664,276224441.6147339
41_5021,41_5006,41,97.05557909508067,2797035.8385598366,271467933.0611195
41_7018,41_5008,41,98.18578945402255,2665251.558210312,261689828.33644322
41_5005,41_5008,41,98.12669624567312,2657340.011477286,260755996.12770516
41_5022,41_5006,41,97.13992345357374,2656141.369272963,258017369.29304618
6_7456,6_7493,6,73.41934657294841,3461119.1490422687,254113106.3338026
41_5021,41_5008,41,97.01406615089829,2470361.253953319,239659790.10764334
41_7018,41_7081,41,84.32275947251411,2776483.8686496774,234120781.4354622
41_5005,41_7081,41,84.26366626416467,2768242.139341745,233262231.76789004
41_5022,41_5008,41,97.09841050939136,2345922.291454426,227785325.67877388
41_5006,41_6011,41,97.6637620240116,2194210.8717154567,214294888.40571743
41_5021,41_7081,41,83.15103616938983,2573459.9611093635,213985862.30668122
41_5022,41_7081,41,83.23538052788291,2443827.630177839,203412922.74240676
41_6011,41_5008,41,97.62224907982922,1937942.104910588,189186266.86786994
41_7018,41_2002,41,96.29403033392349,1914169.1534809812,184323062.52955824
41_5005,41_2002,41,96.23493712557404,1908487.1237055815,183663138.35477427
41_5006,41_7025,41,96.363423824004,1873644.1566074172,180550765.95852906
41_6011,41_7081,41,83.75921909832076,2018820.6910848997,169094844.58480343
41_5021,41_2002,41,95.1223070307992,1774199.9983848822,168765996.98041022
17_5453,17_5843,17,40.55815430308682,3961052.64849232,160652984.52020225
41_5022,41_2002,41,95.20665138929228,1684828.613243847,160406890.4318117
41_5008,41_7025,41,96.32191087982162,1654815.381472628,159394979.6967645
35_AA01,35_0959,35,78.19539593501331,2025464.091499526,158381966.58695745
35_AA01,35_0903,35,78.18902946526806,2025464.091499526,158369071.53109884
35_AA01,35_0902,35,78.18298065452191,2025464.091499526,158356819.88213626
35_AA01,35_0901,35,78.17651283042728,2025464.091499526,158343719.53668246
35_2118,35_0959,35,79.11973221149636,1940489.0314625846,153530972.52866563
35_2118,35_0903,35,79.11336574175111,1940489.0314625846,153518618.46395585
35_2118,35_0902,35,79.10731693100496,1940489.0314625846,153506880.81304953
35_2118,35_0901,35,79.10084910691033,1940489.0314625846,153494330.07133648
35_AA01,35_0505,35,78.21236205378095,1881996.689933593,147195406.49710348
35_AA01,35_0506,35,78.21012248798492,1881923.9968326564,147185506.3053602
35_AA01,35_0507,35,78.2057806491959,1881885.9183734278,147174357.3391229
35_AA01,35_0504,35,78.202546358659,1881892.84178696,147168812.20187327
35_AA01,35_0509,35,78.18534942957903,1881927.458472563,147139155.94179693
35_AA01,35_0502,35,78.18210399634012,1881934.381733274,147133589.54695886
53_3019,53_6049,53,87.87516096816353,1670214.3809397223,146770357.57641968
35_2118,35_0505,35,79.136698330264,1803040.5719813684,142686677.8221162
35_2118,35_0506,35,79.13445876446796,1802970.928601551,142677128.60295397
35_2118,35_0507,35,79.13011692567895,1802934.4476623049,142666413.65285257
35_2118,35_0504,35,79.12688263514205,1802941.080615254,142661107.2839194
35_2118,35_0509,35,79.10968570606208,1802974.2450139713,142632725.85917985
35_2118,35_0502,35,79.10644027282316,1802980.8778205109,142627399.12435052
41_7081,41_7025,41,82.45888089831314,1723877.882407962,142149040.98871443
41_5006,41_2002,41,96.0778664848886,1445950.868453893,138923874.48302186
53_6049,53_3014,53,87.6680731897784,1579284.1330501956,138452796.96370026
28_9030,28_3093,28,46.005323726782045,2916105.0220410624,134156355.56029396
53_6049,53_7409,53,88.92272598229903,1499477.0870402989,133337590.12762044
41_6011,41_2002,41,95.73048995973012,1391819.4652300566,133239559.34196287
28_9030,28_3094,28,46.06512107455679,2889922.305149216,133124620.8827609
41_7081,41_2002,41,97.36282934493475,1330371.4648194707,129528729.89458899
41_5008,41_2002,41,96.0363535407062,1277073.7333089896,122645504.54961167
35_AA02,35_0959,35,78.19158705664276,1486649.8788215064,116243513.42261922
35_AA02,35_0903,35,78.18522058689751,1486649.8788215064,116234048.71114394
35_AA03,35_0959,35,78.18396984897065,1486668.483220385,116233643.8675175
35_AA02,35_0902,35,78.17917177615136,1486649.8788215064,116225056.24738115
35_AA03,35_0903,35,78.1776033792254,1486668.483220385,116224179.03759786
35_AA02,35_0901,35,78.17270395205674,1486649.8788215064,116215440.85747464
35_AA03,35_0902,35,78.17155456847925,1486668.483220385,116215186.4613006
35_AA03,35_0901,35,78.16508674438462,1486668.483220385,116205570.95106411
35_AA61,35_0959,35,78.152839032172,1486643.6773034753,116185424.01049475
35_AA62,35_0959,35,78.14813273336927,1486680.886023628,116181335.2131375
35_AA61,35_0903,35,78.14647256242675,1486643.6773034753,116175959.33850124
35_AA62,35_0903,35,78.14176626362402,1486680.886023628,116171870.30425581
35_AA61,35_0902,35,78.1404237516806,1486643.6773034753,116166966.91225028
35_AA62,35_0902,35,78.13571745287787,1486680.886023628,116162877.65293632
35_AA61,35_0901,35,78.13395592758597,1486643.6773034753,116157351.56245409
35_AA62,35_0901,35,78.12924962878324,1486680.886023628,116153262.06248069
