num_closed_nodes,closed_demand,closed_asset,closed_project_load,closed_lane_exposure,closed_speed_exposure,closed_total_degree,first_hop_demand,first_hop_asset,first_hop_degree,second_hop_demand,second_hop_asset,second_hop_degree,first_hop_spatial,first_hop_diversion,route_concentration,closed_tb_degree_days_over_10c_yr,firsthop_tb_degree_days_over_10c_yr,closed_tb_coldest_air_temp,firsthop_tb_coldest_air_temp,closed_tb_high_temp_7days,firsthop_tb_high_temp_7days,closed_tb_max_avg_temp_high_7days,firsthop_tb_max_avg_temp_high_7days,closed_tb_max_temp_high_7days,firsthop_tb_max_temp_high_7days,closed_tb_min_surface_50_temp,firsthop_tb_min_surface_50_temp,closed_tb_min_surface_98_temp,firsthop_tb_min_surface_98_temp,closed_tb_stddev_high_temp_7days,firsthop_tb_stddev_high_temp_7days,closed_tb_stddev_coldest_air_temp,firsthop_tb_stddev_coldest_air_temp,closed_hu_rel_hum_avg_avg,firsthop_hu_rel_hum_avg_avg,closed_pr_precipitation,firsthop_pr_precipitation,closed_pr_evaporation,firsthop_pr_evaporation,closed_pr_pr_days,firsthop_pr_pr_days,closed_wi_wi_velocity_avg,firsthop_wi_wi_velocity_avg,closed_so_cloud_cover_avg,firsthop_so_cloud_cover_avg,closed_so_shortwave_surface_avg,firsthop_so_shortwave_surface_avg,closed_ty_temp_avg,firsthop_ty_temp_avg,closed_ty_temp_mean_avg,firsthop_ty_temp_mean_avg,closed_ty_freeze_index,firsthop_ty_freeze_index,closed_ty_freeze_thaw,firsthop_ty_freeze_thaw
-0.8428587,-0.43648106,0.43036702,-0.74277234,-0.455267,-0.8553794,-1.2557942,-0.6515522,0.0007624985,-1.2741992,-0.7370043,-0.14933863,-1.2276701,-1.4161485,-0.3294261,-1.0558048,0.25499818,-0.026127232,0.095428765,0.23162067,0.17514949,-0.081159025,0.14712815,-0.10226033,0.14859977,-0.100782685,0.14507149,0.25848937,0.09712525,0.23333958,0.41903698,0.13048828,0.031273242,-0.14690669,0.2532045,-0.016914528,0.50011057,0.19784482,0.63988763,0.27652904,0.09337451,-0.13963068,0.11858079,-0.061654165,-0.35417888,-0.3962918,0.06629914,-0.16053607,0.4144248,0.09312044,0.408177,0.08732717,-0.3726252,-0.39177746,-0.15745778,-0.2547351
-0.17000718,-0.23859093,0.25935224,-0.08076489,-0.029783892,-0.02831705,0.016153721,-0.12845631,0.37750816,0.3358813,-0.17077906,0.3356548,0.18415312,0.43157563,0.13108462,-0.025192715,-0.10056357,-0.021302685,-0.026958473,-0.11183259,0.023960808,0.12259874,0.058960274,0.16002046,0.058242064,0.15905821,-0.021316603,-0.10345289,-0.018542737,-0.10444958,-0.08828848,-0.012966481,-0.01095707,0.081316516,0.06616856,0.15960301,0.1073256,0.14806958,0.09203501,0.17216948,0.09337451,0.19633962,-0.20971836,-0.14278594,-0.35417888,-0.3962918,0.15649459,0.2682297,-0.12394709,-0.06191627,-0.105552875,-0.035750084,-0.11302014,-0.08369053,0.37230322,0.51772124
1.1756959,0.71583295,3.0298855,1.24325,2.5231147,1.0941247,1.8604782,1.0975941,3.7898226,2.2539685,1.1919053,4.0241337,2.349342,1.0679892,3.3321383,1.0054194,2.313059,2.3062851,-4.9998775,-4.9190736,2.726623,2.7012503,2.8404627,2.8127494,2.8799508,2.852126,-5.324494,-5.2315063,-4.9976473,-4.9167585,4.3071465,4.282094,4.1054964,4.0576115,3.8815923,3.8691895,3.8309755,3.8984308,3.6520228,3.703812,3.1548336,3.1205695,4.37977,4.2989206,6.7079983,6.9073086,2.450721,2.4128523,1.3964944,1.3928751,1.3516219,1.345146,6.9123054,6.7825303,2.44832,2.3759959
1.8485473,2.4031663,0.97230685,1.9052575,1.6721486,1.7439594,0.8429199,2.0851076,0.7811635,1.2245525,2.1325886,1.0418258,1.1461321,1.4619129,0.22406831,1.3489567,1.1115487,1.1469296,-0.73630506,-0.668845,0.97098356,0.97725517,0.90625477,0.9045973,0.9049547,0.90229905,-0.75059205,-0.6751412,-0.75828004,-0.69116384,0.9471546,0.9190683,0.58428967,0.5297436,0.6390001,0.5973823,0.4060532,0.3517005,0.45281795,0.4124933,0.8587393,0.84457487,1.257578,1.2324996,1.0582566,0.9955506,0.82681316,0.8256232,1.0418189,1.1046274,1.0196944,1.0802928,1.0244163,0.92237353,0.20995194,0.17471516
-0.8428587,0.33280435,2.2662194,-1.4047798,-0.029783892,-0.61907583,-0.36543065,0.49724883,2.6013842,-0.183259,0.5413146,2.6524556,-0.25864318,-0.76194614,1.0697651,-0.71226746,1.8548919,1.9589843,0.30523548,0.31585386,1.2757852,1.3347929,1.1043983,1.1546845,1.0822957,1.1314572,0.4707673,0.48653838,0.25045264,0.25967497,0.4606211,0.48287475,0.055404894,0.058518466,0.16595744,0.17045482,-0.24419005,-0.27553037,-0.17012376,-0.19450471,0.8587393,0.8957485,0.8153791,0.85564065,-0.35417888,-0.3962918,1.0803428,1.1278626,2.2273676,2.3831406,2.2041655,2.354636,-0.448952,-0.4598853,-0.5067929,-0.5146367
1.8485473,2.7298374,3.7847228,1.9052575,2.0976317,2.2165663,2.1148677,2.9723277,3.851575,2.008457,2.8160076,3.780574,1.8625098,1.7468466,1.5405109,1.3489567,2.8234913,2.7353644,-0.13186185,-0.087307714,2.1414833,2.038854,1.9396518,1.8396738,1.9157605,1.8159144,0.12737064,0.16020294,-0.18262993,-0.1326462,1.3796287,1.2802283,0.67679435,0.5986781,1.0261589,0.9486015,0.75435644,0.6856917,0.8207465,0.7418048,1.6241041,1.5278177,1.9409761,1.8048314,-0.35417888,-0.3869281,1.8455956,1.7427219,3.3606336,3.3015912,3.3225262,3.2615736,-0.42291215,-0.43452397,-0.22447763,-0.24416488
-0.17000718,-0.83594435,-0.065250896,-0.08076489,0.8211823,-0.2055447,0.71572506,-0.85231096,-0.07879839,0.70974725,-0.84973353,-0.07571694,0.6382781,-0.095155485,1.9228683,-0.025192715,0.75486434,0.72353035,-2.2174408,-2.165707,1.277989,1.2437074,1.4395435,1.4053051,1.4504749,1.4161536,-2.2268436,-2.171959,-2.108637,-2.05731,1.4586387,1.4241223,1.7064105,1.6675819,1.7012334,1.6740516,2.1841033,2.2066529,1.2361969,1.2309082,1.6241041,1.5873075,0.2525805,0.21368393,-0.16157404,-0.1972724,1.6655828,1.627005,0.16148894,0.12314611,0.17816918,0.13994737,3.1865187,3.1157362,2.2258265,2.1564674
-0.8428587,-0.97388875,-0.4776003,-0.74277234,-0.8807501,-0.8553794,-0.81061244,-0.99387854,-0.4183832,-0.41992715,-0.98664457,-0.46985137,-0.8344183,-0.44418228,0.12516357,-1.0558048,-0.66490805,0.28469685,0.60745704,0.42279547,-0.6751213,0.10905798,-0.67488,0.04977701,-0.6749922,0.04299566,0.58759296,0.4643332,0.6109064,0.41148725,-0.6621485,-0.12259474,-0.6403904,-0.42420888,-0.6593455,-0.3170463,-0.6082644,-0.46771562,-0.6237485,-0.4489465,-0.6719903,-0.030744093,-0.61171734,0.07647109,-0.35417888,-0.3962918,-0.66548824,0.06481337,-0.63123196,0.40277523,-0.63167834,0.3990694,-0.448952,-0.45829466,-0.5803708,-0.38686675
0.50284433,-0.0026586785,0.7087832,0.58124256,0.8211823,0.44429,0.97011465,-0.19661406,0.38505083,0.31882852,-0.27709445,0.21327192,0.32250503,0.2985648,0.22987118,0.31834465,1.1506467,0.6787139,-0.62141085,-0.24589327,0.93726367,0.5014052,0.92565453,0.49330893,0.92332613,0.49183443,-0.4992398,-0.15481313,-0.6076426,-0.23178013,0.9429962,0.5344336,0.9543082,0.47663698,1.2298265,0.72845757,2.1145601,1.40328,1.9260807,1.3333262,0.8587393,0.44106185,-0.47101772,-0.5444956,0.994055,0.6607515,0.7744724,0.38311633,1.4360598,0.935718,1.4259956,0.9259919,-0.36442533,-0.40583238,0.27905118,0.006826484
-1.5157102,0.044484295,-0.46427748,-1.4047798,-1.3062332,-1.5052141,-1.4465864,-0.14394374,-0.48110977,-1.4178259,-0.26854923,-0.48479584,-1.4368341,-1.3834416,-0.6534544,-1.3993422,-0.66490805,-0.71738064,0.60745704,0.6289464,-0.6751213,-0.71915394,-0.67488,-0.71675104,-0.6749922,-0.71666884,0.58759296,0.6070492,0.6109064,0.6335412,-0.6621485,-0.6989885,-0.6403904,-0.6694953,-0.6593455,-0.7007101,-0.6082644,-0.663157,-0.6237485,-0.6726179,-0.6719903,-0.71057016,-0.61171734,-0.6406234,-0.35417888,-0.3962918,-0.66548824,-0.70233536,-0.63123196,-0.6916509,-0.63167834,-0.6913701,-0.448952,-0.4598853,-0.5803708,-0.59135324
