num_closed_nodes,closed_demand,closed_asset,closed_project_load,closed_lane_exposure,closed_speed_exposure,closed_total_degree,first_hop_demand,first_hop_asset,first_hop_degree,second_hop_demand,second_hop_asset,second_hop_degree,first_hop_spatial,first_hop_diversion,route_concentration,closed_tb_degree_days_over_10c_yr,firsthop_tb_degree_days_over_10c_yr,closed_tb_coldest_air_temp,firsthop_tb_coldest_air_temp,closed_tb_high_temp_7days,firsthop_tb_high_temp_7days,closed_tb_max_avg_temp_high_7days,firsthop_tb_max_avg_temp_high_7days,closed_tb_max_temp_high_7days,firsthop_tb_max_temp_high_7days,closed_tb_min_surface_50_temp,firsthop_tb_min_surface_50_temp,closed_tb_min_surface_98_temp,firsthop_tb_min_surface_98_temp,closed_tb_stddev_high_temp_7days,firsthop_tb_stddev_high_temp_7days,closed_tb_stddev_coldest_air_temp,firsthop_tb_stddev_coldest_air_temp,closed_hu_rel_hum_avg_avg,firsthop_hu_rel_hum_avg_avg,closed_pr_precipitation,firsthop_pr_precipitation,closed_pr_evaporation,firsthop_pr_evaporation,closed_pr_pr_days,firsthop_pr_pr_days,closed_wi_wi_velocity_avg,firsthop_wi_wi_velocity_avg,closed_so_cloud_cover_avg,firsthop_so_cloud_cover_avg,closed_so_shortwave_surface_avg,firsthop_so_shortwave_surface_avg,closed_ty_temp_avg,firsthop_ty_temp_avg,closed_ty_temp_mean_avg,firsthop_ty_temp_mean_avg,closed_ty_freeze_index,firsthop_ty_freeze_index,closed_ty_freeze_thaw,firsthop_ty_freeze_thaw
-0.75676715,-0.82580644,-0.4689975,-0.7213553,-0.6259628,-0.7595731,-1.2371312,-0.7707091,-0.34213692,-1.1342736,-0.80788237,-0.39873683,-1.1599038,-1.2016022,0.0,-0.8983223,-0.22264987,-0.23590441,-0.4837109,-0.3942262,-0.06274751,-0.10518499,0.01360671,-0.046915717,0.017567724,-0.043349653,-0.56275904,-0.46940997,-0.4765923,-0.3865398,-0.1032796,-0.10967896,0.24834572,0.19071196,0.4012953,0.2842738,0.67471206,0.5175159,0.38181552,0.28131127,0.136796,0.05284356,-0.95482814,-0.91244745,1.8000374,1.5602463,-0.056775074,-0.117487684,-0.3404342,-0.33001986,-0.34815302,-0.33844188,1.0472274,0.7804379,0.36320084,0.27767822
-0.08745662,0.01978761,-0.70352554,0.88713723,-0.6259628,-0.10129503,0.19867279,0.0393147,-0.66624004,-0.012375713,0.04717966,-0.676842,0.10875428,-0.022579825,0.0,0.1204404,-1.0954658,-1.0256245,0.99704146,0.9341069,-1.1474179,-1.0728915,-1.1554929,-1.0782727,-1.1564822,-1.0792345,0.9297643,0.8735972,1.0035332,0.9421971,-1.1148585,-1.0488018,-1.0865331,-1.0236207,-1.1310881,-1.0498973,-1.0138439,-0.9393652,-1.0342968,-0.9487201,-1.1619,-1.0826387,-0.95482814,-0.9145555,-0.6143283,-0.5604614,-1.1433648,-1.0663477,-1.0226729,-0.9535072,-1.0235469,-0.9546168,-0.6147293,-0.5827825,-0.89953125,-0.8402167
-0.75676715,-0.8916184,-0.5672174,-0.7213553,-0.99767464,-0.7595731,-1.3966651,-0.8652107,-0.4982144,-1.4873174,-0.86198276,-0.48936683,-1.502021,-1.4956656,0.0,-1.2379098,0.130272,-0.123425215,-0.46773967,-0.15907955,0.17948164,-0.09542752,0.15135084,-0.11784611,0.15995243,-0.111300275,-0.49244747,-0.19161536,-0.44499677,-0.13911258,0.72766036,0.34246778,0.398607,0.071322344,0.2127265,-0.06577333,0.20388897,-0.044353317,0.28481856,0.012330735,0.136796,-0.12935676,0.687127,0.3454092,-0.585924,-0.56730366,0.07886844,-0.17078753,0.019396357,-0.19094312,0.020499473,-0.19268578,0.15730877,-0.003733113,0.4334275,0.14938167
-1.4260777,-0.75781345,-0.36752263,-0.8822046,-0.99767464,-1.4178512,-1.3966651,-0.73877,-0.28938672,-1.3312212,-0.727389,-0.26389304,-1.2910649,-1.3204663,0.0,-1.2379098,-0.63200086,-0.577068,0.036491837,-0.03802786,-0.57955146,-0.51676756,-0.5596408,-0.49471495,-0.5525959,-0.4872926,-0.045010056,-0.117779896,0.04351751,-0.03130732,-0.23136911,-0.15476489,-0.15875737,-0.0813369,-0.39081934,-0.3194256,-0.3201308,-0.25261107,-0.37794217,-0.31061444,-0.512552,-0.4446264,-0.18343984,-0.118108496,0.15258788,0.22303066,-0.58365303,-0.52022505,-0.6801142,-0.6324214,-0.68585,-0.6384844,0.33797726,0.39350128,-0.26958767,-0.21055274
1.2511644,0.7608546,1.8989861,0.726288,2.7194438,1.2152611,1.0761086,0.9685695,2.5304303,0.99472535,0.97938335,2.5239565,0.92533636,1.0639777,0.0,0.7996155,3.8273528,3.3183706,0.3011563,0.3411656,2.9248657,2.5007472,2.5726194,2.1869037,2.5259545,2.1458206,0.65810585,0.65297353,0.18934268,0.24280787,1.0528108,0.8579767,0.389871,0.26585287,0.43056315,0.29933038,-0.3805445,-0.41162238,-0.15612273,-0.2111679,2.08484,1.7537541,1.5797335,1.3472089,-0.6143283,-0.59407705,2.657259,2.2536101,3.9477863,3.439417,3.9246511,3.4183264,-0.6147293,-0.59524125,-0.7580298,-0.7318786
-0.75676715,-0.91629004,-0.6040381,-0.8822046,-0.2542509,-0.7595731,-0.83829683,-0.9165812,-0.58305705,-0.7577008,-0.91384697,-0.57625055,-0.7119309,-0.7106778,0.0,-0.8983223,0.34061155,0.3305116,0.04789979,0.04280874,0.27906263,0.26947525,0.22528951,0.21788529,0.22927138,0.22183223,0.11798501,0.11052727,0.0799738,0.07372716,0.744082,0.7283541,0.0037343886,0.008153891,0.20018308,0.19831596,0.19512719,0.19884323,0.4848683,0.4794179,0.136796,0.13299549,0.6430477,0.6327599,-0.6143283,-0.5945061,0.16204189,0.15494864,0.39937744,0.3894397,0.38915205,0.37931398,-0.45358402,-0.43973193,-0.047827184,-0.044526074
1.920475,1.8164544,2.6937346,2.013082,1.9760202,1.8735392,0.59750724,0.59163666,1.3701152,-0.10389855,0.81990176,1.7719442,-0.09951625,-0.19709489,0.0,1.4787906,1.3987206,1.2156879,-0.9810976,-1.056491,1.3497406,1.2173904,1.4168826,1.2853239,1.4182051,1.2887237,-0.7992616,-0.9158963,-0.92865026,-1.0091087,1.3615394,1.3176514,1.024113,1.0708863,1.5258095,1.3751428,1.171153,1.0139236,1.6967205,1.4373639,1.435492,1.321188,1.6954417,2.0337698,0.55024815,0.43575683,1.4271553,1.3082238,1.5345229,1.2982148,1.5513923,1.3078382,0.9205114,1.0485765,0.8562847,0.9495779
-1.4260777,-0.21233095,0.44657296,-1.3647524,-0.6259628,-1.4178512,-1.5561988,-0.24294682,0.52950764,-1.5984325,-0.20983934,0.6031144,-1.5468326,-1.6510615,0.0,-1.2379098,-0.5056249,-0.5941261,0.39470154,0.48461354,-0.5313963,-0.62139136,-0.52200335,-0.61452156,-0.5200181,-0.6130946,0.36727154,0.4515882,0.38620666,0.47940406,-0.39230213,-0.50568414,-0.3247436,-0.4457068,-0.39813635,-0.5115966,-0.13159788,-0.2788327,-0.2255426,-0.35589775,-0.512552,-0.6072341,-0.44791582,-0.52500707,-0.07464654,-0.15844789,-0.5523513,-0.6355588,-0.44694406,-0.534571,-0.4569665,-0.54280144,-0.40792522,-0.43256846,-0.33322594,-0.4161883
1.920475,1.071081,2.3619778,1.6913836,2.7194438,1.8735392,1.1558754,1.4720424,3.3553069,0.92226183,1.493518,3.4441574,1.1249558,0.7924845,0.0,0.7996155,2.197415,2.6789136,-2.9843342,-3.5986981,2.5974114,3.122899,2.6235082,3.1481102,2.6368024,3.1654208,-3.0012932,-3.6138468,-3.0649889,-3.6864247,2.91832,3.6265502,3.164462,3.7935617,2.7885108,3.3743691,2.6159039,3.1779003,2.473716,3.0201156,2.7341878,3.2693515,1.3868865,1.8871098,1.6012075,2.0030577,2.5019155,2.9833355,1.7245133,2.123051,1.7352496,2.1337135,2.0119042,2.4713998,3.1830482,3.6818953
-0.08745662,1.4682198,-0.55312914,-0.39965683,-0.2542509,-0.10129503,0.03913901,1.1488854,-0.4808544,0.07175609,1.2746139,-0.45750034,0.060178433,0.14905208,0.0,0.1204404,-0.3355671,0.033472538,0.7415033,0.62863463,-0.4854219,-0.13684626,-0.48180473,-0.14729401,-0.48442194,-0.15169346,0.7827491,0.701664,0.7629217,0.6381385,-0.5006856,-0.23327439,-0.7248578,-0.5482583,-0.39123747,-0.10204655,-0.24945505,0.020544203,-0.12820269,0.13055721,-0.512552,-0.19910711,-0.70137197,-0.5008821,-0.017837904,0.10004984,-0.5057187,-0.18112989,-0.12261679,0.25618088,-0.12489786,0.25687045,-0.6135892,-0.5939315,-0.8230157,-0.7603855
