scenario_id,num_closed_nodes,closed_node_ids,delta_vht_proxy,connectivity_loss_pct,disconnected_od_pct,disruption_score
scenario_0000,2,10_0205;40_4166,258499129.77757877,0.0,0.05815393187768814,273531870.5611058
scenario_0001,3,20_0112;26_0113;32_AA61,0.0,0.0,0.0,0.0
scenario_0002,5,27_1003;27_1017;27_1020;27_2023;27_3005,0.0,0.0,0.0,0.0
scenario_0003,6,20_0112;27_1003;32_7084;39_0105;4_0215;6_0201,0.0,0.0,0.0,0.0
scenario_0004,2,4_1007;4_BA02,0.0,0.0,0.0,0.0
scenario_0005,6,20_0206;37_0211;48_5283;4_0260;4_BA59;4_BA61,0.0,0.010451725491480657,0.0,0.0
scenario_0006,3,49_E443;49_E444;49_E460,0.0,0.0,0.0,0.0
scenario_0007,2,4_0121;4_0903,0.0,0.0,0.0,0.0
scenario_0008,4,10_0102;1_4126;37_A962;8_0218,278564461.78410274,0.0,0.10999124711458047,309204114.3375381
scenario_0009,1,6_0205,0.0,0.0,0.0,0.0
scenario_0010,2,55_C902;5_0803,0.0,0.0,0.0,0.0
scenario_0011,3,37_0859;37_0902;55_0806,0.0,0.0,0.0,0.0
scenario_0012,5,20_0108;20_0111;20_0160;20_0164;26_0214,0.0,0.0,0.0,0.0
scenario_0013,4,12_0102;12_0105;12_0106;12_0562,0.0,0.0,0.0,0.0
scenario_0014,1,55_0123,0.0,0.0,0.0,0.0
scenario_0015,2,37_0204;37_0903,0.0,0.0,0.0,0.0
scenario_0016,2,49_D449;49_D455,0.0,0.0,0.0,0.0
scenario_0017,5,48_1109;48_3579;48_F310;48_F340;48_F350,0.0,0.010922351166124944,0.0,0.0
scenario_0018,5,26_0117;31_0124;35_0102;5_0213;5_0218,108853426.05295154,0.0,0.06982313028195966,116453913.00188445
scenario_0019,5,49_7082;49_C443;49_C447;49_C450;49_C457,598538494.4349011,0.0,0.17678910368178072,704353578.3850899
scenario_0020,5,39_0104;39_0209;49_E448;4_AA61;8_0223,0.0,0.0,0.0,0.0
scenario_0021,5,22_0115;48_0161;48_0165;4_0263;5_0213,74585277.86092715,0.00018393296657914782,0.04800763301493182,78179659.20021135
scenario_0022,2,38_0216;38_0262,0.0,0.0,0.0,0.0
scenario_0023,1,4_0115,0.0,0.0,0.0,0.0
scenario_0024,3,4_AA03;4_AA59;4_AA61,0.0,0.0,0.0,0.0
scenario_0025,3,32_0112;32_0208;32_0211,0.0,0.0,0.0,0.0
scenario_0026,1,8_A452,0.0,0.0,0.0,0.0
scenario_0027,5,10_0159;38_0213;39_0264;6_0209;8_0217,0.0,0.0,0.0,0.0
scenario_0028,2,39_A803;39_A804,0.0,0.0,0.0,0.0
scenario_0029,1,55_0220,0.0,0.0,0.0,0.0
scenario_0030,6,10_0103;19_0159;27_3009;32_AA59;39_0203;49_D461,0.0,0.0,0.0,0.0
scenario_0031,1,48_0121,62084074.86396097,9.196648328957391e-05,0.029313599581940897,63909692.22897189
scenario_0032,4,1_0111;39_0159;55_0218;55_C960,18505789.93216464,0.0,0.007336327392567594,18641554.465765078
scenario_0033,3,16_1005;16_9032;16_9034,0.0,0.0,0.0,0.0
scenario_0034,3,10_0103;10_0201;10_0209,0.0,0.0,0.0,0.0
scenario_0035,3,39_0111;39_0259;39_0901,0.0,0.0,0.0,0.0
scenario_0036,4,10_0108;4_0221;4_0222;4_BA59,0.0,0.0,0.0,0.0
scenario_0037,4,10_0106;37_0207;4_0220;8_0215,0.0,0.0,0.0,0.0
scenario_0038,4,26_0217;27_3005;27_3007;4_BA02,0.0,0.0,0.0,0.0
scenario_0039,5,12_0110;19_0220;26_0259;5_0217;6_0202,40.17164579548778,0.0,0.0,40.17164579548778
scenario_0040,3,4_0113;4_0163;4_0560,0.0,0.0,0.0,0.0
scenario_0041,3,6_0205;6_0509;6_0606,0.0,0.0,0.0,0.0
scenario_0042,4,27_1017;27_3005;27_3007;27_4055,0.0,0.0,0.0,0.0
scenario_0043,3,36_0801;36_0802;36_0859,0.0,0.0,0.0,0.0
scenario_0044,4,19_0108;26_0218;49_D410;55_0117,0.0,0.0,0.0,0.0
scenario_0045,1,51_5010,0.0,0.0,0.0,0.0
scenario_0046,5,4_0121;4_0216;4_0265;4_0505;4_0661,0.0,0.0,0.0,0.0
scenario_0047,2,49_0803;49_0804,0.0,0.0,0.0,0.0
scenario_0048,2,4_BA02;4_BA03,0.0,0.0,0.0,0.0
scenario_0049,5,12_0101;31_0123;38_0214;4_AA60;8_A455,0.0,0.0,0.0,0.0
scenario_0050,5,32_AA60;49_D461;4_0215;4_0223;8_A441,0.0,0.0,0.0,0.0
scenario_0051,3,32_AA60;4_0224;8_0213,0.0,0.0,0.0,0.0
scenario_0052,5,26_0124;48_0903;53_0205;53_0211;53_0212,270106346.6088387,0.00011584988781343508,0.12702556965867984,304448050.9452036
scenario_0053,5,12_0103;35_0112;39_0101;51_0118;53_0211,0.0,0.0,0.0,0.0
scenario_0054,4,39_0208;49_0804;6_0201;6_0210,0.0,0.0,0.0,0.0
scenario_0055,3,51_0120;51_0122;51_0123,0.0,0.0,0.0,0.0
scenario_0056,1,49_C450,43429490.91773948,0.0,0.012809961469232026,43985821.02302409
scenario_0057,3,35_0103;51_0114;53_0204,0.0,0.0,0.0,0.0
scenario_0058,3,48_0113;48_0116;48_0801,125194899.94281018,0.0001945510797058958,0.05862719916388181,132559083.07901712
scenario_0059,2,6_0204;6_0211,0.0,0.0,0.0,0.0
scenario_0060,1,22_3056,0.0,0.0,0.0,0.0
scenario_0061,5,4_0217;4_0264;4_0265;4_0606;4_0903,0.0,0.0,0.0,0.0
scenario_0062,1,30_0113,0.0,0.0,0.0,0.0
scenario_0063,3,20_0162;20_0206;20_0211,0.0,0.0,0.0,0.0
scenario_0064,6,1_0111;20_0162;26_0215;4_0224;4_0264;6_0208,18505789.93216464,0.0,0.007336327392567594,18641554.465765078
scenario_0065,2,48_0117;4_0261,62521722.22142241,9.196648328957391e-05,0.029313599581940897,64360208.85471644
scenario_0066,5,30_0113;30_0120;30_0121;30_0124;30_0901,0.0,0.0,0.0,0.0
scenario_0067,6,32_AA61;40_0114;4_0220;4_AA01;51_0114;55_6351,18236165.165249743,0.0,0.004144670016083702,18311748.0522185
scenario_0068,3,37_0206;37_0260;5_0117,104597173.55420032,0.0,0.06653194987740356,111556227.46242645
scenario_0069,4,29_0801;4_0214;5_0121;6_0209,0.0,0.0,0.0,0.0
scenario_0070,4,19_0216;19_0219;19_0224;38_0260,0.0,0.0,0.0,0.0
scenario_0071,4,55_0120;55_0122;55_0123;55_0262,0.0,0.0,0.0,0.0
