scenario_id,num_closed_nodes,closed_node_ids,delta_vht_proxy,connectivity_loss_pct,disconnected_od_pct,disruption_score
scenario_0000,2,12_0101;29_AA01,0.0,0.0010330337696481395,0.0,0.0
scenario_0001,3,19_3033;25_1003;4_0261,0.0,0.0022920746695399563,0.0,0.0
scenario_0002,5,19_0103;19_0106;19_0108;19_0109;19_0110,0.0,0.0,0.0,0.0
scenario_0003,6,13_0505;19_0214;37_1006;4_0669;4_BA01;6_2051,731248872.9517004,0.006981378438113528,0.0,736353998.0662202
scenario_0004,2,48_1061;48_3875,0.0,0.00026200846978841064,0.0,0.0
scenario_0005,3,29_B351;4_B964;55_3009,0.0,0.01476323048768935,0.0,0.0
scenario_0006,1,19_5046,29093868.761183422,0.0005016817020864206,0.0,29108464.62278381
scenario_0007,1,20_1006,0.0,0.00011778740519430286,0.0,0.0
scenario_0008,4,40_1015;40_A430;40_B310;40_B350,0.0,0.00030035852383236694,0.0,0.0
scenario_0009,2,49_1008;49_B320,94619050.11154982,0.006015334066769462,0.0,95188215.3070512
scenario_0010,3,23_3014;32_A453;40_0603,0.10944859042544848,0.0008875814544764271,0.0,0.1095457349645287
scenario_0011,3,8_2008;8_A350;8_B350,0.0,0.0003876104013994519,0.0,0.0
scenario_0012,2,48_3855;48_5024,0.0,0.00043356821250639666,0.0,0.0
scenario_0013,4,49_C446;49_C447;49_C451;49_C454,0.0,0.0008536516011485862,0.0,0.0
scenario_0014,3,49_E443;56_7772;6_0564,0.0,0.001162281728535497,0.0,0.0
scenario_0015,1,1_1011,0.0,6.268765105921226e-05,0.0,0.0
scenario_0016,4,10_0103;10_0106;10_0112;10_0159,0.0,0.0007132489929090324,0.0,0.0
scenario_0017,3,20_0207;27_3009;49_D459,774.5465535179566,0.002244268618351364,0.0,776.284844041469
scenario_0018,4,40_4157;51_A320;55_0903;55_3012,0.0,0.0034182064503250897,0.0,0.0
scenario_0019,3,13_0562;56_6032;8_0221,0.0,0.0030609494766062895,0.0,0.0
scenario_0020,2,4_1017;4_C310,0.0,0.000604817572412264,0.0,0.0
scenario_0021,5,30_0505;30_0506;30_0507;30_0509;30_0560,0.0,0.0013897261208605238,0.0,0.0
scenario_0022,1,56_6032,0.0,0.0,0.0,0.0
scenario_0023,5,8_0213;8_0217;8_0220;8_0223;8_0224,0.0,0.002806975513474974,0.0,0.0
scenario_0024,1,19_A310,0.0,0.0,0.0,0.0
scenario_0025,2,55_0266;55_C959,0.0,0.0005202084464837053,0.0,0.0
scenario_0026,3,16_1001;16_9032;53_A330,2927339.636921618,0.0004459108894473429,0.0,2928644.9695428326
scenario_0027,5,27_4054;55_0901;55_0902;55_0903;55_0908,311706533.41960955,0.008294954966852952,0.0,314292125.07719904
scenario_0028,2,48_1047;48_5336,129213043.27993174,0.0011041356746307462,0.0,129355712.01064473
scenario_0029,5,18_1028;18_6012;18_A310;18_A320;18_A330,490065583.6334031,0.0032929005710731207,0.0,491679320.8736128
scenario_0030,3,32_0101;32_0103;32_0108,0.0,0.0008551610438100044,0.0,0.0
scenario_0031,1,56_2019,0.0,0.0,0.0,0.0
scenario_0032,4,13_4118;24_0501;32_AA60;4_AA59,0.0,0.004330933079174648,0.0,0.0
scenario_0033,1,32_A320,0.0,5.81615352256426e-05,0.0,0.0
scenario_0034,6,39_0202;42_1598;42_1613;48_E310;55_A908;8_0506,0.0,0.0038825953489477483,0.0,0.0
scenario_0035,2,35_0108;35_0111,0.0,0.0003846310106776496,0.0,0.0
scenario_0036,3,29_0801;29_0802;29_0808,0.0,4.280619209651171e-06,0.0,0.0
scenario_0037,3,13_0503;13_0506;13_3016,8706352.442826482,0.006019635264234657,0.0,8758761.509014176
scenario_0038,5,48_1047;48_5323;48_5334;48_5335;48_6079,130027160.00357735,0.0036661304992889887,0.0,130503856.54060242
scenario_0039,3,8_0501;8_0506;8_7783,0.0,0.0014208900376153633,0.0,0.0
scenario_0040,3,27_3009;49_7083;6_0567,774.5465535179566,0.003593507266224538,0.0,777.3298921860525
scenario_0041,2,48_0116;48_0118,0.0,0.0012154502128542966,0.0,0.0
scenario_0042,3,29_0665;48_0161;6_0508,0.0,0.0019061486415358209,0.0,0.0
scenario_0043,4,29_0601;38_0260;39_5569;49_C457,0.0,0.0013195802777820065,0.0,0.0
scenario_0044,2,30_0805;30_0806,0.0,0.0,0.0,0.0
scenario_0045,2,47_0603;47_0608,0.0,0.0026792839448183114,0.0,0.0
scenario_0046,3,4_0263;6_0203;8_6002,5783724169.043735,0.007109652025652946,0.04777268203891048,6101148451.026481
scenario_0047,1,20_0211,0.0,0.0005572378305223058,0.0,0.0
scenario_0048,1,39_0206,0.0,0.0003501843695064011,0.0,0.0
scenario_0049,4,30_A320;48_5284;4_1065;55_6354,0.0,0.0021118502696524377,0.0,0.0
scenario_0050,1,13_3007,0.0,0.00038528067085596973,0.0,0.0
scenario_0051,4,47_3101;47_6022;47_9025;47_A310,0.0,0.00016217139767693567,0.0,0.0
scenario_0052,1,49_1005,0.0,0.005829360692224728,0.0,0.0
scenario_0053,6,35_0501;37_0903;47_C310;48_H340;4_0666;4_1003,0.0,0.006412827308888702,0.0,0.0
scenario_0054,4,48_0902;48_1092;48_9005;48_K340,0.0,0.0011954570892880323,0.0,0.0
scenario_0055,2,35_AA02;35_AA62,3994807373.3707285,0.001708377487997681,0.03459863924504863,4139846911.5209956
scenario_0056,1,45_1011,0.0,0.0,0.0,0.0
scenario_0057,2,17_0601;17_0602,452173407.3121982,0.002107941346999098,0.0,453126562.33348507
scenario_0058,4,42_0603;46_7049;47_1029;47_C330,12193149.916876206,0.0026221093124466632,0.0,12225121.688821306
scenario_0059,5,26_0218;28_3093;4_0669;56_2037;6_3013,920175660.029265,0.003680146694696629,0.008483185494460813,931368062.2545782
scenario_0060,5,30_0504;30_0507;30_7066;30_7075;30_7088,0.0,0.004219110841106155,0.0,0.0
scenario_0061,4,9_0901;9_0902;9_0960;9_0961,0.0,0.0009870014246096126,0.0,0.0
scenario_0062,1,34_0903,0.0,0.00022877103846297153,0.0,0.0
scenario_0063,2,12_A330;30_0503,0.0,0.00045245213760092273,0.0,0.0
scenario_0064,3,29_0664;47_0662;6_0212,5782869863.077848,0.004007964615141857,0.04777268203891048,6082310604.10425
scenario_0065,2,32_0102;32_0108,0.0,0.0006059858840021803,0.0,0.0
scenario_0066,2,4_1015;4_1017,0.0,0.0015485650853627186,0.0,0.0
scenario_0067,1,9_0962,0.0,0.0002454958452331457,0.0,0.0
