scenario_id,num_closed_nodes,closed_node_ids,delta_vht_proxy,connectivity_loss_pct,disconnected_od_pct,disruption_score
scenario_0000,2,10_0205;40_4166,0.0,0.0,0.0,0.0
scenario_0001,3,20_0112;26_0113;32_AA61,0.0,0.0,0.0,0.0
scenario_0002,5,27_1003;27_1017;27_1020;27_2023;27_3005,0.0,0.0,0.0,0.0
scenario_0003,6,20_0112;27_1003;32_7084;39_0105;4_0215;6_0201,1367365.3654011607,0.0,0.046448990851718816,1430878.1067496361
scenario_0004,2,4_1007;4_BA02,0.0,0.0,0.0,0.0
scenario_0005,6,20_0206;37_0211;48_5283;4_0260;4_BA59;4_BA61,0.0,0.0,0.0,0.0
scenario_0006,3,49_E458;49_E460;49_E461,0.0,0.0,0.0,0.0
scenario_0007,4,39_0101;39_0105;39_0111;39_0210,0.0,0.0,0.0,0.0
scenario_0008,4,8_A410;8_A431;8_A443;8_A452,0.0,0.0,0.0,0.0
scenario_0009,1,26_0114,0.0,0.0,0.0,0.0
scenario_0010,4,10_0108;10_0111;10_0112;10_0159,0.0,0.0,0.0,0.0
scenario_0011,2,4_0264;8_0216,9181021.356492303,0.0,0.09648253316908312,10066829.554046132
scenario_0012,5,20_0203;20_0204;20_0205;20_0206;20_0210,0.0,0.0,0.0,0.0
scenario_0013,4,30_0119;30_0120;30_0121;30_0122,0.0,0.0,0.0,0.0
scenario_0014,5,49_E441;49_E449;49_E450;49_E459;49_E461,0.0,0.0,0.0,0.0
scenario_0015,1,56_7773,0.0,0.0,0.0,0.0
scenario_0016,2,39_0103;39_0108,0.0,0.0,0.0,0.0
scenario_0017,3,51_0119;51_0121;51_0122,0.0,0.0,0.0,0.0
scenario_0018,2,5_0113;5_0114,0.0,0.0,0.0,0.0
scenario_0019,3,39_0204;39_0207;39_0208,0.0,0.0,0.0,0.0
scenario_0020,1,20_0159,0.0,0.0,0.0,0.0
scenario_0021,3,37_0208;37_0211;37_0260,0.0,0.0,0.0,0.0
scenario_0022,2,49_7082;49_C441,0.0,0.0,0.0,0.0
scenario_0023,2,12_0105;4_0266,4809395.680946323,0.0,0.1361971704179833,5464421.764111683
scenario_0024,5,19_0215;39_0207;41_AA02;5_0215;6_0210,1314083.8944459804,0.0,0.031383136302783665,1355323.9684186715
scenario_0025,3,26_0124;32_0102;49_D431,0.0,0.0,0.0,0.0
scenario_0026,2,22_0113;22_0118,0.0,0.0,0.0,0.0
scenario_0027,5,37_0208;49_C454;4_0220;4_0222;51_5010,9707347.777500885,0.0,0.27239888369062254,12351618.475688772
scenario_0028,2,4_0119;4_0124,0.0,0.0,0.0,0.0
scenario_0029,5,35_0103;35_0504;35_0802;35_0901;35_0902,0.0,0.0,0.0,0.0
scenario_0030,2,12_0107;30_0123,0.0,0.0,0.0,0.0
scenario_0031,2,5_0804;5_0810,0.0,0.0,0.0,0.0
scenario_0032,4,49_7085;49_E440;49_E454;49_E462,0.0,0.0,0.0,0.0
scenario_0033,1,37_0209,0.0,0.0,0.0,0.0
scenario_0034,4,4_A390;4_A901;4_A902;4_A903,0.0,0.0,0.0,0.0
scenario_0035,1,49_C453,0.0,0.0,0.0,0.0
scenario_0036,6,40_0116;48_0119;49_7083;49_7085;4_0264;5_0224,7512742.028222884,0.0,0.09325545523387269,8213346.206119457
scenario_0037,4,16_1001;16_1005;16_9032;16_9034,0.0,0.0,0.0,0.0
scenario_0038,5,4_0263;4_0506;4_0606;4_0607;4_0659,2263173.959061533,0.0,0.06810081656079034,2417297.9536927403
scenario_0039,1,8_A452,0.0,0.0,0.0,0.0
scenario_0040,5,10_0159;38_0213;39_0264;6_0209;8_0217,5169117.709480686,0.0,0.005034838564053845,5195143.382666513
scenario_0041,2,39_A803;39_A804,0.0,0.0,0.0,0.0
scenario_0042,1,55_0220,0.0,0.0,0.0,0.0
scenario_0043,3,26_0117;26_0216;26_0608,0.0,0.0,0.0,0.0
scenario_0044,2,32_AA59;32_AA61,0.0,0.0,0.0,0.0
scenario_0045,5,41_AA01;41_AA02;41_AA03;41_AA59;41_AA60,0.0,0.0,0.0,0.0
scenario_0046,5,29_AA66;4_0214;4_0265;55_0216;6_0205,9974889.2622691,0.0,0.2760045479363575,12728004.06381691
scenario_0047,5,49_D410;49_D443;49_D448;49_D452;49_D459,0.0,0.0,0.0,0.0
scenario_0048,5,48_0901;49_C451;4_0220;8_0216;8_0812,14816874.983890485,0.0,0.12383299471053469,16651692.985397251
scenario_0049,5,1_0102;20_0204;26_0215;30_0901;53_0206,10104850.454332102,0.0,0.006881648139287596,10174388.479658935
scenario_0050,1,27_3009,0.0,0.0,0.0,0.0
scenario_0051,4,49_C430;49_C444;49_C447;49_C449,0.0,0.0,0.0,0.0
scenario_0052,3,39_0262;4_0267;51_0116,0.7557516299712512,0.0,0.0,0.7557516299712512
scenario_0053,5,32_0102;32_0208;32_0210;32_0211;32_0259,0.0,0.0,0.0,0.0
scenario_0054,4,48_0117;48_0123;48_0124;48_0165,0.0,0.0,0.0,0.0
scenario_0055,1,49_E459,0.0,0.0,0.0,0.0
scenario_0056,6,19_0216;38_0221;38_0223;39_0212;6_0204;8_A451,0.0,0.0,0.0,0.0
scenario_0057,2,55_C903;55_C960,0.0,0.0,0.0,0.0
scenario_0058,1,24_1632,0.0,0.0,0.0,0.0
scenario_0059,5,4_0213;4_0217;4_0263;4_0266;4_0267,9054275.584123436,0.0,0.2742018281428337,11536974.501799107
scenario_0060,5,39_0105;39_0160;39_0201;39_0261;39_0809,0.0,0.0,0.0,0.0
scenario_0061,4,37_0210;38_0264;39_0112;6_0207,0.0,0.0,0.0,0.0
scenario_0062,4,27_1017;27_3005;27_3007;27_4055,0.0,0.0,0.0,0.0
scenario_0063,3,36_0801;36_0802;36_0859,0.0,0.0,0.0,0.0
scenario_0064,4,19_0108;26_0218;49_D410;55_0117,0.0,0.0,0.0,0.0
scenario_0065,1,51_5010,0.0,0.0,0.0,0.0
scenario_0066,5,4_0121;4_0216;4_0265;4_0505;4_0661,5417706.927225795,0.0,0.15874853248163323,6277759.951338467
scenario_0067,2,49_0803;49_0804,0.0,0.0,0.0,0.0
scenario_0068,2,4_BA02;4_BA59,0.0,0.0,0.0,0.0
scenario_0069,4,4_0216;4_0219;5_0217;6_0201,2743614.169170197,0.0,0.09109585654110175,2993546.0519290594
scenario_0070,5,20_0208;26_0220;40_0160;4_0267;8_A415,0.7557516299712512,0.0,0.0,0.7557516299712512
scenario_0071,3,32_AA60;4_0224;8_0213,9021874.775125146,0.0,0.0964818052392984,9892321.54007211
scenario_0072,5,53_0201;53_0202;53_0206;53_0207;53_0211,50196556.12674423,0.0,0.0344108765732531,51923863.624024004
scenario_0073,2,4_0163;55_0265,0.0,0.0,0.0,0.0
scenario_0074,3,6_0212;6_0507;6_0571,0.0,0.0,0.0,0.0
scenario_0075,4,53_0204;53_0207;53_0208;53_0259,130173856.02228785,0.0,0.08947046321581732,141820571.21919107
scenario_0076,2,39_0210;49_7082,0.0,0.0,0.0,0.0
scenario_0077,4,27_3012;32_0111;4_0218;8_A444,0.0,0.0,0.0,0.0
scenario_0078,4,37_0259;38_0221;4_0115;55_6354,0.0,0.0,0.0,0.0
scenario_0079,4,4_0214;4_0218;4_0222;4_0261,12922355.87269698,0.0,0.344999590226614,17380563.353539918
scenario_0080,1,49_D444,0.0,0.0,0.0,0.0
scenario_0081,6,39_0102;49_C449;49_C453;4_BA01;51_0115;5_0809,0.0,0.0,0.0,0.0
scenario_0082,4,1_0106;39_0263;55_C959;6_0212,0.0,0.0,0.0,0.0
scenario_0083,3,20_0212;49_C452;53_0201,10044206.426299531,0.0,0.006881723458366335,10113327.877284069
scenario_0084,3,32_0102;32_0105;32_0108,0.0,0.0,0.0,0.0
scenario_0085,4,48_0124;48_0160;48_0165;48_0802,0.0,0.0,0.0,0.0
scenario_0086,1,19_0214,0.0,0.0,0.0,0.0
scenario_0087,4,48_3579;48_F310;48_F320;48_F350,0.0,0.0,0.0,0.0
scenario_0088,3,39_0107;39_0259;39_0263,0.0,0.0,0.0,0.0
scenario_0089,4,20_0102;29_AA64;55_0224;6_0210,0.0,0.0,0.0,0.0
scenario_0090,3,26_0215;26_0221;26_0223,0.0,0.0,0.0,0.0
scenario_0091,2,22_0121;22_0122,0.0,0.0,0.0,0.0
scenario_0092,2,4_0221;4_0902,0.0,0.0,0.0,0.0
scenario_0093,1,39_5003,0.0,0.0,0.0,0.0
scenario_0094,2,37_0203;37_0206,0.0,0.0,0.0,0.0
scenario_0095,1,12_AA01,0.0,0.0,0.0,0.0
scenario_0096,5,26_0214;26_0217;32_0208;41_7081;49_C458,0.0,0.0,0.0,0.0
scenario_0097,3,8_3032;8_7776;8_7783,87554797.32557559,0.0,0.08500290868500508,94997209.76757562
scenario_0098,4,39_0208;40_0124;5_0222;8_0213,10454190.757350389,0.0,0.008438005063757591,10542403.2718984
scenario_0099,3,37_0901;37_0902;37_0903,1201235.0252480004,0.0,0.0030690325975580956,1204921.6546978152
scenario_0100,1,32_AA03,0.0,0.0,0.0,0.0
scenario_0101,5,49_E430;49_E441;49_E456;49_E461;49_E462,0.0,0.0,0.0,0.0
scenario_0102,6,20_0212;32_0202;39_0810;5_0216;8_0216;8_A430,6102354.296847323,0.0,0.005832822300933857,6137948.2450781735
scenario_0103,5,6_0202;6_0506;6_0608;6_0659;6_0812,0.0,0.0,0.0,0.0
scenario_0104,3,46_0803;46_0804;46_0859,0.0,0.0,0.0,0.0
scenario_0105,3,32_AA01;32_AA02;32_AA03,0.0,0.0,0.0,0.0
scenario_0106,1,39_0104,0.0,0.0,0.0,0.0
scenario_0107,1,48_3689,0.0,0.0,0.0,0.0
scenario_0108,1,1_0104,0.0,0.0,0.0,0.0
scenario_0109,5,32_0202;4_AA03;4_BA60;5_0215;5_0216,1314083.8944459804,0.0,0.031383136302783665,1355323.9684186715
scenario_0110,3,26_0213;26_0217;26_0224,0.0,0.0,0.0,0.0
scenario_0111,2,19_0213;19_0220,0.0,0.0,0.0,0.0
scenario_0112,5,30_0117;39_0203;49_E440;4_0215;55_0213,1367365.3654011607,0.0,0.046448990851718816,1430878.1067496361
scenario_0113,5,8_A413;8_A415;8_A430;8_A445;8_A452,0.0,0.0,0.0,0.0
scenario_0114,1,51_0119,0.0,0.0,0.0,0.0
scenario_0115,3,32_0101;32_0204;32_0210,0.0,0.0,0.0,0.0
scenario_0116,3,37_0205;37_0206;37_0259,0.0,0.0,0.0,0.0
scenario_0117,4,20_0106;20_0108;20_0207;20_0209,0.0,0.0,0.0,0.0
scenario_0118,3,6_0204;6_0210;6_0211,0.0,0.0,0.0,0.0
