scenario_id,num_closed_nodes,closed_node_ids,delta_vht_proxy,connectivity_loss_pct,disconnected_od_pct,disruption_score
scenario_0000,2,10_0205;40_4166,0.0,0.0017602157107533545,0.0,0.0
scenario_0001,3,20_0112;26_0113;32_AA61,3334374325.7903314,0.0014290145546598243,0.0670158749999779,3562595208.25287
scenario_0002,5,27_1003;27_1017;27_1020;27_2023;27_3005,0.0,0.006794653011180651,0.0,0.0
scenario_0003,6,20_0112;27_1003;32_7084;39_0105;4_0215;6_0201,2494710151.0848804,0.0028097799946901203,0.07157137988553916,2680269585.687556
scenario_0004,2,4_1007;4_BA02,0.0,0.005315675637066586,0.0,0.0
scenario_0005,6,20_0206;37_0211;48_5283;4_0260;4_BA59;4_BA61,0.0,0.008256532467172728,0.0,0.0
scenario_0006,3,49_E458;49_E460;49_E461,0.0,0.000795094083719472,0.0,0.0
scenario_0007,4,39_0101;39_0105;39_0111;39_0210,0.0,2.4556167995792855e-05,0.0,0.0
scenario_0008,4,8_A410;8_A431;8_A443;8_A452,0.0,0.007647262655193776,0.0,0.0
scenario_0009,1,26_0114,0.0,4.729389058044653e-06,0.0,0.0
scenario_0010,4,10_0108;10_0111;10_0112;10_0159,0.0,9.502604205624543e-06,0.0,0.0
scenario_0011,2,4_0264;8_0216,0.0,3.8248187445133475e-05,0.0,0.0
scenario_0012,5,20_0203;20_0204;20_0205;20_0206;20_0210,0.0,4.489596023549147e-05,0.0,0.0
scenario_0013,4,30_0119;30_0120;30_0121;30_0122,0.0,8.033337270729746e-06,0.0,0.0
scenario_0014,5,49_E441;49_E449;49_E450;49_E459;49_E461,0.0,0.001326093312776,0.0,0.0
scenario_0015,1,56_7773,0.0,1.4524016900496761e-05,0.0,0.0
scenario_0016,2,39_0103;39_0108,0.0,1.0819226205383004e-05,0.0,0.0
scenario_0017,3,51_0119;51_0121;51_0122,0.0,1.3870199846666154e-05,0.0,0.0
scenario_0018,2,5_0113;5_0114,0.0,1.0229189908672609e-05,0.0,0.0
scenario_0019,3,39_0204;39_0207;39_0208,572.4913190122884,2.291170474699733e-05,0.0,572.5044357643599
scenario_0020,1,20_0159,0.0,6.3705993488261115e-06,0.0,0.0
scenario_0021,3,37_0208;37_0211;37_0260,0.0,2.581428344095027e-05,0.0,0.0
scenario_0022,2,49_7082;49_C441,305608614.31429857,0.0021888642194823893,0.007883968168509255,308686958.6626129
scenario_0023,2,12_0105;4_0266,0.0,3.819655697989699e-05,0.0,0.0
