node_id,network_delta
50_1004,3.130661
25_1003,4.0771713
24_2805,1.8721466
24_2401,3.083088
24_1634,3.303566
36_4017,2.9020996
36_4018,2.0569916
36_1011,5.3481903
51_2004,5.1243896
51_5008,5.488266
51_5010,2.0235825
51_2564,5.1146774
51_1002,4.856262
51_1023,2.3248138
51_5009,9.299744
51_2021,5.39275
10_4002,2.821415
10_1450,2.970543
10_5004,2.3012085
10_5005,3.2999077
10_1201,3.289505
24_1632,2.9170914
24_5807,8.934799
42_1597,5.5827713
42_1599,4.338791
42_1605,5.0664825
42_1606,3.053688
42_1608,4.8658447
42_1613,5.5835266
42_1614,2.8985176
42_1617,5.5289917
42_1618,19.830688
23_1012,1.8723984
23_1001,1.7441559
23_3014,1.7060547
25_1002,5.3903885
25_1004,5.4668427
33_1001,5.3549957
34_1003,5.1956024
34_1011,1.7773972
34_1030,3.0642166
34_1031,5.3751755
34_1033,3.0983887
34_1034,5.489311
34_1638,5.4807816
34_4042,5.163727
34_6057,4.7637405
36_1008,4.184372
36_1643,3.1872597
36_1644,5.68491
37_1006,4.528824
37_2824,2.9497375
42_1623,4.898857
42_1627,1.9689102
42_3044,1.9524536
42_5020,5.665512
42_7025,3.0862427
42_7037,2.35318
42_9027,1.8747864
11_1400,5.4466553
50_1681,3.2980194
50_1682,3.2814064
50_1683,3.2737312
51_1417,2.891468
51_1419,3.1416435
51_1423,4.90633
51_1464,5.1589813
42_1598,2.2973175
42_1610,2.2807846
42_1691,4.080467
42_1690,2.1591873
54_4003,3.0499191
54_4004,2.3080368
54_1640,3.1492233
54_7008,5.166954
54_5007,3.2078285
37_1992,3.0216217
37_5826,2.324852
9_1803,21.131378
37_1030,3.1672668
37_1024,4.9147644
37_1040,2.9666405
37_3044,2.290985
37_3816,3.1956902
37_5827,3.130188
9_4008,5.1454163
9_4020,5.011383
9_5001,5.229637
37_1028,3.150158
37_1817,3.1018715
37_1814,3.1601105
37_2819,2.9299393
37_2825,5.2177353
37_3011,2.3982162
37_3008,4.636856
37_3807,2.5889282
37_5037,4.288872
37_1352,3.1089897
37_1801,4.225525
37_1803,3.2155724
37_1645,3.078518
37_1802,17.449722
23_1028,3.1634598
23_3013,1.7066803
23_1009,3.140648
23_7023,2.4282684
23_1026,3.1351318
44_7401,5.0027847
50_1002,3.2629662
9_0901,28.404236
9_0902,28.411163
9_0903,28.407654
9_0960,28.552002
9_0961,28.54834
9_0962,28.545166
10_0101,26.275543
10_0102,26.280396
10_0103,26.593231
10_0104,26.272675
10_0105,26.278046
10_0106,26.272217
10_0107,26.273224
10_0108,26.274506
10_0109,26.275116
10_0110,26.594238
10_0111,26.594757
10_0112,26.595215
10_0159,26.274292
10_0160,26.271454
10_0201,28.330872
10_0202,28.585693
10_0203,28.5979
10_0204,26.092194
10_0205,28.336914
10_0206,28.586304
10_0207,28.595612
10_0208,28.325012
10_0209,28.331543
10_0210,28.306213
10_0211,28.351288
10_0212,28.325684
10_0259,28.316467
10_0260,28.34198
23_0501,28.636353
23_0502,28.689697
23_0503,28.690552
23_0504,28.691559
23_0505,28.69336
23_0506,28.693115
23_0507,28.691528
23_0508,28.690582
23_0509,28.690186
23_0559,28.63565
24_0501,28.690552
24_0502,26.365143
24_0503,26.359955
24_0504,28.636871
24_0505,28.634796
24_0506,28.884216
24_0507,28.637268
24_0508,26.475586
24_0509,28.885986
24_0559,28.88565
