source_node,target_node,conflict_count,total_overlap_days,max_overlap_days,edge_type
10_0101,10_0102,1,60,60,node_project_conflict
10_0101,10_0103,1,60,60,node_project_conflict
10_0101,10_0105,1,60,60,node_project_conflict
10_0101,10_0107,1,60,60,node_project_conflict
10_0101,10_0110,1,60,60,node_project_conflict
10_0101,10_0111,1,60,60,node_project_conflict
10_0101,10_0112,1,60,60,node_project_conflict
10_0101,10_0160,1,60,60,node_project_conflict
10_0102,10_0103,1,60,60,node_project_conflict
10_0102,10_0105,1,60,60,node_project_conflict
10_0102,10_0107,1,60,60,node_project_conflict
10_0102,10_0110,1,60,60,node_project_conflict
10_0102,10_0111,1,60,60,node_project_conflict
10_0102,10_0112,1,60,60,node_project_conflict
10_0102,10_0160,1,60,60,node_project_conflict
10_0103,10_0104,1,60,60,node_project_conflict
10_0103,10_0105,1,60,60,node_project_conflict
10_0103,10_0106,1,60,60,node_project_conflict
10_0103,10_0107,1,60,60,node_project_conflict
10_0103,10_0108,1,60,60,node_project_conflict
10_0103,10_0109,1,60,60,node_project_conflict
10_0103,10_0110,1,60,60,node_project_conflict
10_0103,10_0111,1,60,60,node_project_conflict
10_0103,10_0112,1,60,60,node_project_conflict
10_0103,10_0159,1,60,60,node_project_conflict
10_0103,10_0160,1,60,60,node_project_conflict
10_0104,10_0106,1,60,60,node_project_conflict
10_0104,10_0108,1,60,60,node_project_conflict
10_0104,10_0109,1,60,60,node_project_conflict
10_0104,10_0110,1,60,60,node_project_conflict
10_0104,10_0111,1,60,60,node_project_conflict
10_0104,10_0112,1,60,60,node_project_conflict
10_0104,10_0159,1,60,60,node_project_conflict
10_0105,10_0107,1,60,60,node_project_conflict
10_0105,10_0110,1,60,60,node_project_conflict
10_0105,10_0111,1,60,60,node_project_conflict
10_0105,10_0112,1,60,60,node_project_conflict
10_0105,10_0160,1,60,60,node_project_conflict
10_0106,10_0108,1,60,60,node_project_conflict
10_0106,10_0109,1,60,60,node_project_conflict
10_0106,10_0110,1,60,60,node_project_conflict
10_0106,10_0111,1,60,60,node_project_conflict
10_0106,10_0112,1,60,60,node_project_conflict
10_0106,10_0159,1,60,60,node_project_conflict
10_0107,10_0110,1,60,60,node_project_conflict
10_0107,10_0111,1,60,60,node_project_conflict
10_0107,10_0112,1,60,60,node_project_conflict
10_0107,10_0160,1,60,60,node_project_conflict
10_0108,10_0109,1,60,60,node_project_conflict
10_0108,10_0110,1,60,60,node_project_conflict
10_0108,10_0111,1,60,60,node_project_conflict
10_0108,10_0112,1,60,60,node_project_conflict
10_0108,10_0159,1,60,60,node_project_conflict
10_0109,10_0110,1,60,60,node_project_conflict
10_0109,10_0111,1,60,60,node_project_conflict
10_0109,10_0112,1,60,60,node_project_conflict
10_0109,10_0159,1,60,60,node_project_conflict
10_0110,10_0111,1,60,60,node_project_conflict
10_0110,10_0112,1,60,60,node_project_conflict
10_0110,10_0159,1,60,60,node_project_conflict
10_0110,10_0160,1,60,60,node_project_conflict
10_0111,10_0112,1,60,60,node_project_conflict
10_0111,10_0159,1,60,60,node_project_conflict
10_0111,10_0160,1,60,60,node_project_conflict
10_0112,10_0159,1,60,60,node_project_conflict
10_0112,10_0160,1,60,60,node_project_conflict
10_0201,10_0202,1,0,0,node_project_conflict
10_0201,10_0203,1,0,0,node_project_conflict
10_0201,10_0205,1,0,0,node_project_conflict
10_0201,10_0206,1,0,0,node_project_conflict
10_0201,10_0207,1,0,0,node_project_conflict
10_0201,10_0209,1,0,0,node_project_conflict
10_0201,10_0211,1,0,0,node_project_conflict
10_0201,10_0260,1,0,0,node_project_conflict
10_0202,10_0203,1,0,0,node_project_conflict
10_0202,10_0204,1,0,0,node_project_conflict
10_0202,10_0205,1,0,0,node_project_conflict
10_0202,10_0206,1,0,0,node_project_conflict
10_0202,10_0207,1,0,0,node_project_conflict
10_0202,10_0208,1,0,0,node_project_conflict
10_0202,10_0209,1,0,0,node_project_conflict
10_0202,10_0210,1,0,0,node_project_conflict
10_0202,10_0211,1,0,0,node_project_conflict
10_0202,10_0212,1,0,0,node_project_conflict
10_0202,10_0259,1,0,0,node_project_conflict
10_0202,10_0260,1,0,0,node_project_conflict
10_0203,10_0204,1,0,0,node_project_conflict
10_0203,10_0205,1,0,0,node_project_conflict
10_0203,10_0206,1,0,0,node_project_conflict
10_0203,10_0207,1,0,0,node_project_conflict
10_0203,10_0208,1,0,0,node_project_conflict
10_0203,10_0209,1,0,0,node_project_conflict
10_0203,10_0210,1,0,0,node_project_conflict
10_0203,10_0211,1,0,0,node_project_conflict
10_0203,10_0212,1,0,0,node_project_conflict
10_0203,10_0259,1,0,0,node_project_conflict
10_0203,10_0260,1,0,0,node_project_conflict
10_0204,10_0206,1,0,0,node_project_conflict
10_0204,10_0207,1,0,0,node_project_conflict
10_0204,10_0208,1,0,0,node_project_conflict
10_0204,10_0210,1,0,0,node_project_conflict
10_0204,10_0212,1,0,0,node_project_conflict
10_0204,10_0259,1,0,0,node_project_conflict
10_0205,10_0206,1,0,0,node_project_conflict
10_0205,10_0207,1,0,0,node_project_conflict
10_0205,10_0209,1,0,0,node_project_conflict
10_0205,10_0211,1,0,0,node_project_conflict
10_0205,10_0260,1,0,0,node_project_conflict
10_0206,10_0207,1,0,0,node_project_conflict
10_0206,10_0208,1,0,0,node_project_conflict
10_0206,10_0209,1,0,0,node_project_conflict
10_0206,10_0210,1,0,0,node_project_conflict
10_0206,10_0211,1,0,0,node_project_conflict
10_0206,10_0212,1,0,0,node_project_conflict
10_0206,10_0259,1,0,0,node_project_conflict
10_0206,10_0260,1,0,0,node_project_conflict
10_0207,10_0208,1,0,0,node_project_conflict
10_0207,10_0209,1,0,0,node_project_conflict
10_0207,10_0210,1,0,0,node_project_conflict
10_0207,10_0211,1,0,0,node_project_conflict
10_0207,10_0212,1,0,0,node_project_conflict
10_0207,10_0259,1,0,0,node_project_conflict
10_0207,10_0260,1,0,0,node_project_conflict
10_0208,10_0210,1,0,0,node_project_conflict
10_0208,10_0212,1,0,0,node_project_conflict
10_0208,10_0259,1,0,0,node_project_conflict
10_0209,10_0211,1,0,0,node_project_conflict
10_0209,10_0260,1,0,0,node_project_conflict
10_0210,10_0212,1,0,0,node_project_conflict
10_0210,10_0259,1,0,0,node_project_conflict
10_0211,10_0260,1,0,0,node_project_conflict
10_0212,10_0259,1,0,0,node_project_conflict
12_0101,12_0102,1,0,0,node_project_conflict
12_0101,12_0103,1,0,0,node_project_conflict
12_0101,12_0104,1,0,0,node_project_conflict
12_0101,12_0105,1,0,0,node_project_conflict
12_0101,12_0109,1,0,0,node_project_conflict
12_0101,12_0111,1,0,0,node_project_conflict
12_0101,12_0112,1,0,0,node_project_conflict
12_0101,12_0161,1,0,0,node_project_conflict
12_0102,12_0103,1,0,0,node_project_conflict
12_0102,12_0104,1,0,0,node_project_conflict
