source,target,edge_type,distance_km,component_rank,distance_bin,topology_level,osm_path_km,detour_ratio,osm_connected,osm_supported,same_osm_edge,src_osm_edge,dst_osm_edge,src_snap_m,dst_snap_m,topology_status,component_size
55_0113,55_0806,spatial,0.1805518610335439,11,0-1 km,supported,0.15701386443952026,0.869633043607063,1,1,0,"(147104492, 544551455, 0)","(147039452, 147039411, 0)",3.8272358564408484,4.087029696345151,short_connected,39
55_0113,55_0116,spatial,0.2145219929652148,11,0-1 km,supported,0.0,0.0,1,1,1,"(147104492, 544551455, 0)","(147104492, 544551455, 0)",3.8272358564408484,6.54475056941549,same_osm_edge,39
55_0113,55_0118,spatial,0.5209602040838823,11,0-1 km,supported,0.0,0.0,1,1,0,"(147104492, 544551455, 0)","(147065716, 147104492, 0)",3.8272358564408484,5.327995565094113,short_connected,39
55_0113,55_0805,spatial,0.5217475911881465,11,0-1 km,supported,0.15701386443952026,0.3009383600257001,1,1,0,"(147104492, 544551455, 0)","(147039452, 147039411, 0)",3.8272358564408484,2.4970229747212502,short_connected,39
55_0113,55_0122,spatial,0.7351739629166582,11,0-1 km,supported,0.0,0.0,1,1,0,"(147104492, 544551455, 0)","(147065716, 147104492, 0)",3.8272358564408484,6.595293855186842,short_connected,39
55_0113,55_0120,spatial,1.1239678767056187,11,1-5 km,supported,0.6146679572233207,0.5468732425208892,1,1,0,"(147104492, 544551455, 0)","(147128637, 147065716, 0)",3.8272358564408484,3.8766330992732856,short_connected,39
55_0113,55_0121,spatial,1.331238013200687,11,1-5 km,supported,0.6146679572233207,0.4617265666456432,1,1,0,"(147104492, 544551455, 0)","(147128637, 147065716, 0)",3.8272358564408484,0.1174831852062984,short_connected,39
55_0113,55_0119,spatial,1.5378960871790142,11,1-5 km,supported,0.6146679572233207,0.39968107230886796,1,1,0,"(147104492, 544551455, 0)","(147128637, 147065716, 0)",3.8272358564408484,3.9767871712864453,short_connected,39
55_0115,55_0117,spatial,0.2454872986857957,11,0-1 km,supported,0.0,0.0,1,1,1,"(147128637, 147065716, 0)","(147128637, 147065716, 0)",3.9942893224366407,3.2914258582177873,same_osm_edge,39
55_0115,55_0123,spatial,0.271500272938494,11,0-1 km,supported,0.0,0.0,1,1,1,"(147128637, 147065716, 0)","(147128637, 147065716, 0)",3.9942893224366407,4.675924690037686,same_osm_edge,39
55_0114,55_0115,spatial,0.4419874941606332,11,0-1 km,supported,0.0,0.0,1,1,1,"(147128637, 147065716, 0)","(147128637, 147065716, 0)",3.4257867738169736,3.9942893224366407,same_osm_edge,39
55_0115,55_0124,spatial,0.4874284113227696,11,0-1 km,supported,0.0,0.0,1,1,1,"(147128637, 147065716, 0)","(147128637, 147065716, 0)",3.9942893224366407,3.9422540638885804,same_osm_edge,39
