source_project_id,target_project_id,source_node,target_node,overlap_start,overlap_end,edge_type
50_1004_19880801_1_1,50_1683_19890601_1_1,50_1004,50_1683,1989-06-01,1991-09-23,project_conflict
50_1004_19880801_1_1,50_1683_19910923_2_1,50_1004,50_1683,1991-09-23,2001-07-15,project_conflict
50_1004_19880801_1_1,50_1683_19990728_3_1,50_1004,50_1683,1999-07-28,2001-07-15,project_conflict
50_1004_19981006_2_1,50_1683_19910923_2_1,50_1004,50_1683,1998-10-06,2001-07-15,project_conflict
50_1004_19981006_2_1,50_1683_19990728_3_1,50_1004,50_1683,1999-07-28,2001-07-15,project_conflict
50_1004_20010501_3_1,50_1683_19910923_2_1,50_1004,50_1683,2001-05-01,2001-07-15,project_conflict
50_1004_20010501_3_1,50_1683_19990728_3_1,50_1004,50_1683,2001-05-01,2001-07-15,project_conflict
50_1004_20010715_4_1,50_1683_19910923_2_1,50_1004,50_1683,2001-07-15,2012-05-01,project_conflict
50_1004_20010715_4_1,50_1683_19990728_3_1,50_1004,50_1683,2001-07-15,2012-05-01,project_conflict
50_1004_20010715_4_1,50_1683_20120501_4_1,50_1004,50_1683,2012-05-01,2017-04-01,project_conflict
50_1004_20051001_5_1,50_1683_19910923_2_1,50_1004,50_1683,2005-10-01,2012-05-01,project_conflict
50_1004_20051001_5_1,50_1683_19990728_3_1,50_1004,50_1683,2005-10-01,2012-05-01,project_conflict
50_1004_20051001_5_1,50_1683_20120501_4_1,50_1004,50_1683,2012-05-01,2017-04-01,project_conflict
50_1004_20140601_6_1,50_1683_20120501_4_1,50_1004,50_1683,2014-06-01,2017-04-01,project_conflict
50_1004_19880801_1_1,50_1682_19890601_1_1,50_1004,50_1682,1989-06-01,1991-09-03,project_conflict
50_1004_19880801_1_1,50_1682_19910903_2_1,50_1004,50_1682,1991-09-03,2001-07-15,project_conflict
50_1004_19880801_1_1,50_1682_19990728_3_1,50_1004,50_1682,1999-07-28,2001-07-15,project_conflict
50_1004_19981006_2_1,50_1682_19910903_2_1,50_1004,50_1682,1998-10-06,2001-07-15,project_conflict
50_1004_19981006_2_1,50_1682_19990728_3_1,50_1004,50_1682,1999-07-28,2001-07-15,project_conflict
50_1004_20010501_3_1,50_1682_19910903_2_1,50_1004,50_1682,2001-05-01,2001-07-15,project_conflict
50_1004_20010501_3_1,50_1682_19990728_3_1,50_1004,50_1682,2001-05-01,2001-07-15,project_conflict
50_1004_20010715_4_1,50_1682_19910903_2_1,50_1004,50_1682,2001-07-15,2012-05-01,project_conflict
50_1004_20010715_4_1,50_1682_19990728_3_1,50_1004,50_1682,2001-07-15,2012-05-01,project_conflict
50_1004_20010715_4_1,50_1682_20030801_4_1,50_1004,50_1682,2003-08-01,2012-05-01,project_conflict
50_1004_20010715_4_1,50_1682_20120501_5_1,50_1004,50_1682,2012-05-01,2017-04-01,project_conflict
50_1004_20051001_5_1,50_1682_19910903_2_1,50_1004,50_1682,2005-10-01,2012-05-01,project_conflict
50_1004_20051001_5_1,50_1682_19990728_3_1,50_1004,50_1682,2005-10-01,2012-05-01,project_conflict
50_1004_20051001_5_1,50_1682_20030801_4_1,50_1004,50_1682,2005-10-01,2012-05-01,project_conflict
50_1004_20051001_5_1,50_1682_20120501_5_1,50_1004,50_1682,2012-05-01,2017-04-01,project_conflict
50_1004_20140601_6_1,50_1682_20120501_5_1,50_1004,50_1682,2014-06-01,2017-04-01,project_conflict
50_1004_19880801_1_1,50_1681_19890601_1_1,50_1004,50_1681,1989-06-01,1991-09-08,project_conflict
50_1004_19880801_1_1,50_1681_19910908_2_1,50_1004,50_1681,1991-09-08,2001-07-15,project_conflict
50_1004_19880801_1_1,50_1681_19990728_3_1,50_1004,50_1681,1999-07-28,2001-07-15,project_conflict
50_1004_19981006_2_1,50_1681_19910908_2_1,50_1004,50_1681,1998-10-06,2001-07-15,project_conflict
50_1004_19981006_2_1,50_1681_19990728_3_1,50_1004,50_1681,1999-07-28,2001-07-15,project_conflict
50_1004_20010501_3_1,50_1681_19910908_2_1,50_1004,50_1681,2001-05-01,2001-07-15,project_conflict
50_1004_20010501_3_1,50_1681_19990728_3_1,50_1004,50_1681,2001-05-01,2001-07-15,project_conflict
50_1004_20010715_4_1,50_1681_19910908_2_1,50_1004,50_1681,2001-07-15,2004-12-31,project_conflict
50_1004_20010715_4_1,50_1681_19990728_3_1,50_1004,50_1681,2001-07-15,2004-12-31,project_conflict
50_1002_19880801_1_1,50_1004_19880801_1_1,50_1002,50_1004,1988-08-01,2001-07-15,project_conflict
50_1002_19880801_1_1,50_1004_19981006_2_1,50_1002,50_1004,1998-10-06,2001-07-15,project_conflict
50_1002_19880801_1_1,50_1004_20010501_3_1,50_1002,50_1004,2001-05-01,2001-07-15,project_conflict
50_1002_19880801_1_1,50_1004_20010715_4_1,50_1002,50_1004,2001-07-15,2005-12-31,project_conflict
50_1002_19880801_1_1,50_1004_20051001_5_1,50_1002,50_1004,2005-10-01,2005-12-31,project_conflict
25_1003_19880601_1_1,44_7401_19880801_1_1,25_1003,44_7401,1988-08-01,1998-12-31,project_conflict
25_1003_19880607_2_1,44_7401_19880801_1_1,25_1003,44_7401,1988-08-01,1998-12-31,project_conflict
25_1003_19880601_1_1,25_1004_19880801_1_1,25_1003,25_1004,1988-08-01,1998-12-31,project_conflict
25_1003_19880607_2_1,25_1004_19880801_1_1,25_1003,25_1004,1988-08-01,1998-12-31,project_conflict
24_0901_19920701_1_1,24_2805_19880801_1_1,24_0901,24_2805,1992-07-01,1992-10-06,project_conflict
24_0901_19920701_1_1,24_2805_19920130_2_1,24_0901,24_2805,1992-07-01,1992-10-06,project_conflict
24_0901_19920701_1_1,24_2805_19921006_3_1,24_0901,24_2805,1992-10-06,2016-08-01,project_conflict
24_0901_19921005_2_1,24_2805_19880801_1_1,24_0901,24_2805,1992-10-05,1992-10-06,project_conflict
24_0901_19921005_2_1,24_2805_19920130_2_1,24_0901,24_2805,1992-10-05,1992-10-06,project_conflict
24_0901_19921005_2_1,24_2805_19921006_3_1,24_0901,24_2805,1992-10-06,2016-08-01,project_conflict
24_0902_19920701_1_1,24_2805_19880801_1_1,24_0902,24_2805,1992-07-01,1992-10-06,project_conflict
24_0902_19920701_1_1,24_2805_19920130_2_1,24_0902,24_2805,1992-07-01,1992-10-06,project_conflict
24_0902_19920701_1_1,24_2805_19921006_3_1,24_0902,24_2805,1992-10-06,2013-07-30,project_conflict
24_0902_19921004_2_1,24_2805_19880801_1_1,24_0902,24_2805,1992-10-04,1992-10-06,project_conflict
24_0902_19921004_2_1,24_2805_19920130_2_1,24_0902,24_2805,1992-10-04,1992-10-06,project_conflict
24_0902_19921004_2_1,24_2805_19921006_3_1,24_0902,24_2805,1992-10-06,2013-07-30,project_conflict
24_0902_20080601_3_1,24_2805_19921006_3_1,24_0902,24_2805,2008-06-01,2013-07-30,project_conflict
24_0903_19920701_1_1,24_2805_19880801_1_1,24_0903,24_2805,1992-07-01,1992-10-06,project_conflict
