project_id,node_id,construction_date,traffic_open_date,ORIGINAL_NO_LANES,FINAL_NO_LANES,YEAR_WIDENED
4_A901_19930801,4_A901,1993-08-01,1993-08-01,2.0,,
4_A902_19930801,4_A902,1993-08-01,1993-08-01,2.0,,
4_A903_19930801,4_A903,1993-08-01,1993-08-01,2.0,,
4_AA01_19961201,4_AA01,1996-12-01,1996-12-01,2.0,,
4_AA02_19961201,4_AA02,1996-12-01,1996-12-01,2.0,,
4_AA03_19961201,4_AA03,1996-12-01,1996-12-01,2.0,,
4_AA59_19961201,4_AA59,1996-12-01,1996-12-01,2.0,,
4_AA60_19961201,4_AA60,1996-12-01,1996-12-01,2.0,,
4_AA61_19961201,4_AA61,1996-12-01,1996-12-01,2.0,,
4_BA01_19961201,4_BA01,1996-12-01,1996-12-01,2.0,,
4_BA02_19961201,4_BA02,1996-12-01,1996-12-01,2.0,,
4_BA03_19961201,4_BA03,1996-12-01,1996-12-01,2.0,,
4_BA59_19961201,4_BA59,1996-12-01,1996-12-01,2.0,,
4_BA60_19961201,4_BA60,1996-12-01,1996-12-01,2.0,,
4_BA61_19961201,4_BA61,1996-12-01,1996-12-01,2.0,,
5_0113_19931201,5_0113,1993-12-01,1994-09-01,2.0,,
5_0114_19931201,5_0114,1993-12-01,1994-09-01,2.0,,
5_0115_19931201,5_0115,1993-12-01,1994-09-01,2.0,,
5_0116_19931201,5_0116,1993-12-01,1994-09-01,2.0,,
5_0117_19931201,5_0117,1993-12-01,1994-09-01,2.0,,
5_0118_19931201,5_0118,1993-12-01,1994-09-01,2.0,,
5_0119_19931201,5_0119,1993-12-01,1994-09-01,2.0,,
5_0120_19931201,5_0120,1993-12-01,1994-09-01,2.0,,
5_0121_19931201,5_0121,1993-12-01,1994-09-01,2.0,,
5_0122_19931201,5_0122,1993-12-01,1994-09-01,2.0,,
5_0123_19931201,5_0123,1993-12-01,1994-09-01,2.0,,
5_0124_19931201,5_0124,1993-12-01,1994-09-01,2.0,,
5_0213_19951001,5_0213,1995-10-01,1995-12-01,2.0,,
5_0214_19951001,5_0214,1995-10-01,1995-12-01,2.0,,
5_0215_19951001,5_0215,1995-10-01,1995-12-01,2.0,,
5_0216_19951001,5_0216,1995-10-01,1995-12-01,2.0,,
5_0217_19951001,5_0217,1995-10-01,1995-12-01,2.0,,
5_0218_19951001,5_0218,1995-10-01,1995-12-01,2.0,,
5_0219_19951001,5_0219,1995-10-01,1995-12-01,2.0,,
5_0220_19951001,5_0220,1995-10-01,1995-12-01,2.0,,
5_0221_19951001,5_0221,1995-10-01,1995-12-01,2.0,,
5_0222_19951001,5_0222,1995-10-01,1995-12-01,2.0,,
5_0223_19951001,5_0223,1995-10-01,1995-12-01,2.0,,
5_0224_19951001,5_0224,1995-10-01,1995-12-01,2.0,,
5_0803_19971201,5_0803,1997-12-01,1997-12-01,1.0,,
5_0804_19971201,5_0804,1997-12-01,1997-12-01,1.0,,
5_0809_19971201,5_0809,1997-12-01,1997-12-01,1.0,,
5_0810_19971201,5_0810,1997-12-01,1997-12-01,1.0,,
5_3058_19900201,5_3058,1990-02-01,1990-02-01,,,
5_3071_19870701,5_3071,1987-07-01,1987-07-01,,,
5_A310_19870701,5_A310,1987-07-01,1987-07-01,,,
5_A320_19870701,5_A320,1987-07-01,1987-07-01,,,
5_A350_19870701,5_A350,1987-07-01,1987-07-01,,,
