scenario_id,closed_node_ids,delta_vht_proxy,pred_delta_vht_proxy,connectivity_loss_pct,pred_connectivity_loss_pct,disconnected_od_pct,pred_disconnected_od_pct
scenario_0898,32_AA03;32_AA59;32_AA60;32_AA61;32_AA62,23340322023.84482,1.822704e+10,0.01068040882361554,0.007642057,0.46911112499984514,0.3842525
scenario_0053,32_0102;32_0208;32_0210;32_0211;32_0259,20845611872.75994,2.2180398e+09,9.045082077763222e-05,0.00045911095,0.397539745114306,0.05438235
scenario_0260,32_AA01;32_AA02;32_AA03;32_AA60;32_AA61,16672141599.86018,1.7671647e+10,0.007089579075828523,0.0077602044,0.33507937499988943,0.37160957
scenario_1210,32_AA02;32_AA03;32_AA60;32_AA61;32_AA62,16671743768.650803,1.83623e+10,0.007089579075828523,0.0077611934,0.33507937499988943,0.3868179
scenario_1322,32_AA01;32_AA02;32_AA03;32_AA59;32_AA62,16671487547.829264,1.7584304e+10,0.00784457719328413,0.007814015,0.33507937499988943,0.36926568
scenario_0995,32_AA02;32_AA03;32_AA60;32_AA61,13337450389.319717,1.4146932e+10,0.005671663260662929,0.006162257,0.2680634999999116,0.29767048
scenario_0347,48_0901;48_0902;48_0903,10468686279.118607,8.090865e+08,3.059803334792832e-05,6.719603e-05,0.39446521214980285,0.020896014
scenario_0517,32_AA01;32_AA61;32_AA62,10003358915.661879,1.1453708e+10,0.004253747445497114,0.0048328186,0.20104762499993367,0.24110264
scenario_0105,32_AA01;32_AA02;32_AA03,10003307123.84462,1.008685e+10,0.004253747445497114,0.004856027,0.20104762499993367,0.2106666
scenario_1480,32_AA02;32_AA03;32_AA61,10002990239.094486,1.0619091e+10,0.004253747445497114,0.0047712754,0.20104762499993367,0.22285345
scenario_0980,32_AA02;32_AA59;32_AA62,10002788800.352037,1.0378022e+10,0.00500874556295261,0.0046384647,0.20104762499993367,0.21813051
scenario_0987,32_0103;32_0203;32_0206,8089410225.15973,6.572408e+08,1.3379970093096993e-05,0.00010395906,0.15021485021343486,0.015331194
scenario_0829,10_0201;32_AA01;48_0902,6898974419.475425,3.6586563e+09,0.0014319788867706018,0.0017287189,0.1985061389946675,0.0780685
scenario_0333,20_0110;32_AA01;32_AA60;39_0207;8_A415,6669151360.765691,6.068723e+09,0.0032996634998275765,0.0036667911,0.1340317499999558,0.12747554
scenario_0861,32_AA01;32_AA59,6669051788.923596,6.0105533e+09,0.002835831630331409,0.003106677,0.1340317499999558,0.1255464
scenario_0391,32_AA03;32_AA60,6668937770.955067,6.291452e+09,0.002835831630331409,0.0031280522,0.1340317499999558,0.131588
scenario_1093,20_0109;32_0207;32_AA03;32_AA60;39_0901;4_0215,6668937770.955067,5.652181e+09,0.0028852690544904913,0.002796816,0.1340317499999558,0.121354416
scenario_0044,32_AA59;32_AA61,6668780044.065169,6.4686766e+09,0.002835831630331409,0.0030725533,0.1340317499999558,0.13576996
scenario_0140,32_AA03;32_AA59,6668731404.198701,6.082916e+09,0.002835831630331409,0.0031372602,0.1340317499999558,0.12692595
scenario_1447,32_AA61;32_AA62,6668667705.121418,7.450107e+09,0.002835831630331409,0.0033186637,0.1340317499999558,0.15640835
scenario_1201,32_0104;32_0106;32_0110;32_0202;32_0206,5888886063.789549,1.6278605e+09,2.3271012011383263e-05,0.00036946998,0.10622750779972748,0.039431185
scenario_0438,32_0103;32_0109;32_0112;32_0206,5715357600.479088,6.8044614e+08,1.6387991456312534e-05,0.00017444551,0.10492187335791171,0.01605296
scenario_0558,32_0102;32_0104;32_0110;32_0202,5502715967.572085,1.3452055e+09,1.638892233679634e-05,0.00021996628,0.104926897010095,0.03282347
scenario_1246,32_0102;32_0104;32_0106;32_0112;32_0202,5502715967.572085,1.6837156e+09,1.970902146108955e-05,0.00036992715,0.104926897010095,0.040878754
scenario_0716,32_0106;32_0204;32_0206;32_0208;32_0209,5478501317.701565,1.3802542e+09,1.9210636224786803e-05,0.00033938786,0.0984057377583984,0.033383064
