scenario_id,closed_node_ids,delta_vht_proxy,pred_delta_vht_proxy,connectivity_loss_pct,pred_connectivity_loss_pct,disconnected_od_pct,pred_disconnected_od_pct
scenario_0390,53_A809;53_A810,131835291.36381008,6.452738e+06,0.0,0.00032998674,0.09093043540220393,0.021563241
scenario_1434,53_0202;53_0259,130173856.02228785,1.6642645e+06,0.0,-9.275964e-05,0.08947046321581732,0.0034223087
scenario_1130,53_0202;53_0203;53_0206;53_0211;53_0259,130173856.02228785,6.386983e+06,0.0,2.5374138e-05,0.08947046321581732,0.003430117
scenario_1317,53_0206;53_0207;53_0209;53_0259,130173856.02228785,5.347137e+06,0.0,5.7861e-06,0.08947046321581732,0.004050482
scenario_0691,53_0202;53_0203;53_0212;53_0259,130173856.02228785,5.484897e+06,0.0,3.8095386e-06,0.08947046321581732,0.004343383
scenario_0075,53_0204;53_0207;53_0208;53_0259,130173856.02228785,5.186503e+06,0.0,5.7330944e-06,0.08947046321581732,0.0042680493
scenario_0513,53_0202;53_0212;53_0259,130173856.02228785,3.7031552e+06,0.0,-5.3454787e-05,0.08947046321581732,0.0034843283
scenario_0237,53_3014,111843061.05000414,2.3516648e+06,0.0,0.0011021874,0.07644996827556362,0.0044352626
scenario_1052,27_3010;32_AA61;39_0202;4_0265;8_7776,91473586.70044279,2.041084e+06,0.0,-1.8528634e-05,0.19820354822654904,0.021240458
scenario_0865,8_7035;8_7776,87554797.32557559,4.0728965e+06,0.0,0.00011271032,0.08500290868500508,0.0050046584
scenario_0097,8_3032;8_7776;8_7783,87554797.32557559,3.4160028e+06,0.0,7.8093646e-05,0.08500290868500508,0.0038459674
scenario_1371,40_4154,52997605.10888406,981902.0,0.0,0.0012539838,0.03124183105827568,-0.0029044058
scenario_0971,30_0902;40_4154;48_0902;55_0124,52997605.10888406,2.7661765e+06,0.0,-6.0477003e-05,0.03124183105827568,0.0063026017
scenario_0400,40_4086;40_4154,52997605.10888406,1.5044064e+06,0.0,0.0013077571,0.03124183105827568,-0.0009114295
scenario_0242,53_0201;53_0204;53_0207;53_0208;53_0209,50282988.933656916,6.369345e+06,0.0,2.50519e-05,0.03441268413883036,0.0035397736
scenario_1125,53_0201;53_0204;53_0206;53_0208;53_0211,50246727.804412685,6.436525e+06,0.0,2.4426856e-05,0.034412533475126905,0.003781193
scenario_0819,53_0201;53_0204;53_0205;53_0206;53_0209,50235416.939540975,6.447269e+06,0.0,2.255836e-05,0.034409897584297494,0.0039657475
scenario_0072,53_0201;53_0202;53_0206;53_0207;53_0211,50196556.12674423,6.3485735e+06,0.0,1.9556115e-05,0.0344108765732531,0.0038409997
scenario_0144,53_0201;53_0203;53_0204;53_0205;53_0206,50164072.48417388,6.340359e+06,0.0,1.789406e-05,0.034410951930243364,0.004422839
scenario_1320,53_0201;53_0203;53_0207;53_0211;53_0212,50087826.19373627,6.5302185e+06,0.0,2.7370384e-05,0.03441388909244178,0.003377202
scenario_0964,26_0215;39_0101;40_4163;48_0123,41162330.433500044,3.015005e+06,0.0,-3.944817e-05,0.016276865007311302,0.007695128
scenario_0732,40_4163,41162330.433500044,1.1968808e+06,0.0,0.001071615,0.016276865007311302,-0.0031775534
scenario_0910,53_0204;53_0206;53_0207;53_0212,40306979.29307406,5.412933e+06,0.0,6.084625e-06,0.027530659409095024,0.004258778
scenario_0571,53_0205;53_0206;53_0209;53_0211,40141353.54372812,5.6850635e+06,0.0,-8.127681e-07,0.027528324733596708,0.004391202
scenario_1114,53_0203;53_0204;53_0209;53_0210,39909587.26927191,5.616855e+06,0.0,-4.035952e-06,0.02752930377859022,0.0045394907
