node_id_join,construction_no_snapshot,n_layers,total_thickness_in,max_layer_thickness_in,surface_thickness_in,binder_thickness_in,base_thickness_in,subbase_thickness_in,subgrade_thickness_in,material_codes,material_labels,total_thickness_mm,max_layer_thickness_mm,surface_thickness_mm,binder_thickness_mm,base_thickness_mm,subbase_thickness_mm,subgrade_thickness_mm,material_text,has_ac_layer,has_pcc_layer,surface_is_ac,surface_is_pcc,has_bound_base,has_granular_base,has_subbase_layer,has_engineering_fabric,has_stabilized_layer,n_bound_layers,n_unbound_layers
10_101,1,5,54.100000619888306,39.0,7.000000238418579,0.0,8.100000381469727,39.0,0.0,"1,202,214,303","Coarse-Grained Soil: Silty Sand,Coarse-Grained Soils: Poorly Graded Sand,Crushed Stone,Hot Mixed, Hot Laid AC, Dense Graded",1374.1400157451628,990.5999999999999,177.8000060558319,0.0,205.74000968933103,990.5999999999999,0.0,"Coarse-Grained Soil: Silty Sand | Subbase Layer | Unbound (granular) subbase | 214 | 6 | GS || Coarse-Grained Soils: Poorly Graded Sand | Subgrade | Subgrade (untreated) | 202 | 7 | SS || Crushed Stone | Base Layer | Unbound (granular) base | 303 | 5 | GB || Hot Mixed, Hot Laid AC, Dense Graded | AC Layer Below Surface (Binder Course) | Asphalt concrete layer | 1 | 4 | AC || Hot Mixed, Hot Laid AC, Dense Graded | Original Surface Layer | Asphalt concrete layer | 1 | 3 | AC",1,0,1,0,1,1,1,0,1,3,2
10_102,1,5,55.10000014305115,39.0,4.299999952316284,0.0,11.800000190734863,39.0,0.0,"1,202,214,303","Coarse-Grained Soil: Silty Sand,Coarse-Grained Soils: Poorly Graded Sand,Crushed Stone,Hot Mixed, Hot Laid AC, Dense Graded",1399.540003633499,990.5999999999999,109.2199987888336,0.0,299.72000484466554,990.5999999999999,0.0,"Coarse-Grained Soil: Silty Sand | Subbase Layer | Unbound (granular) subbase | 214 | 6 | GS || Coarse-Grained Soils: Poorly Graded Sand | Subgrade | Subgrade (untreated) | 202 | 7 | SS || Crushed Stone | Base Layer | Unbound (granular) base | 303 | 5 | GB || Hot Mixed, Hot Laid AC, Dense Graded | AC Layer Below Surface (Binder Course) | Asphalt concrete layer | 1 | 4 | AC || Hot Mixed, Hot Laid AC, Dense Graded | Original Surface Layer | Asphalt concrete layer | 1 | 3 | AC",1,0,1,0,1,1,1,0,1,3,2
10_103,1,5,60.59999990463257,48.0,4.599999904632568,0.0,8.0,48.0,0.0,"1,202,214,319","Coarse-Grained Soil: Silty Sand,Coarse-Grained Soils: Poorly Graded Sand,HMAC,Hot Mixed, Hot Laid AC, Dense Graded",1539.239997577667,1219.1999999999998,116.83999757766723,0.0,203.2,1219.1999999999998,0.0,"Coarse-Grained Soil: Silty Sand | Subbase Layer | Unbound (granular) subbase | 214 | 6 | GS || Coarse-Grained Soils: Poorly Graded Sand | Subgrade | Subgrade (untreated) | 202 | 7 | SS || HMAC | Base Layer | Bound (treated) base | 319 | 5 | TB || Hot Mixed, Hot Laid AC, Dense Graded | AC Layer Below Surface (Binder Course) | Asphalt concrete layer | 1 | 4 | AC || Hot Mixed, Hot Laid AC, Dense Graded | Original Surface Layer | Asphalt concrete layer | 1 | 3 | AC",1,0,1,0,1,0,1,0,1,4,1
10_104,1,5,58.39999985694885,40.0,6.700000047683716,0.0,11.699999809265137,40.0,0.0,"1,202,214,319","Coarse-Grained Soil: Silty Sand,Coarse-Grained Soils: Poorly Graded Sand,HMAC,Hot Mixed, Hot Laid AC, Dense Graded",1483.3599963665008,1016.0,170.18000121116637,0.0,297.17999515533444,1016.0,0.0,"Coarse-Grained Soil: Silty Sand | Subbase Layer | Unbound (granular) subbase | 214 | 6 | GS || Coarse-Grained Soils: Poorly Graded Sand | Subgrade | Subgrade (untreated) | 202 | 7 | SS || HMAC | Base Layer | Bound (treated) base | 319 | 5 | TB || Hot Mixed, Hot Laid AC, Dense Graded | AC Layer Below Surface (Binder Course) | Asphalt concrete layer | 1 | 4 | AC || Hot Mixed, Hot Laid AC, Dense Graded | Original Surface Layer | Asphalt concrete layer | 1 | 3 | AC",1,0,1,0,1,0,1,0,1,4,1
10_105,1,6,50.0,39.0,3.799999952316284,0.0,7.200000047683716,39.0,0.0,"1,202,214,303,319","Coarse-Grained Soil: Silty Sand,Coarse-Grained Soils: Poorly Graded Sand,Crushed Stone,HMAC,Hot Mixed, Hot Laid AC, Dense Graded",1270.0,990.5999999999999,96.51999878883362,0.0,182.88000121116636,990.5999999999999,0.0,"Coarse-Grained Soil: Silty Sand | Subbase Layer | Unbound (granular) subbase | 214 | 6 | GS || Coarse-Grained Soils: Poorly Graded Sand | Subgrade | Subgrade (untreated) | 202 | 7 | SS || Crushed Stone | Base Layer | Unbound (granular) base | 303 | 5 | GB || HMAC | Base Layer | Bound (treated) base | 319 | 5 | TB || Hot Mixed, Hot Laid AC, Dense Graded | AC Layer Below Surface (Binder Course) | Asphalt concrete layer | 1 | 4 | AC || Hot Mixed, Hot Laid AC, Dense Graded | Original Surface Layer | Asphalt concrete layer | 1 | 3 | AC",1,0,1,0,1,1,1,0,1,4,2
10_106,1,6,31.50000023841858,12.0,7.499999761581421,0.0,12.000000476837158,12.0,0.0,"1,202,214,303,319","Coarse-Grained Soil: Silty Sand,Coarse-Grained Soils: Poorly Graded Sand,Crushed Stone,HMAC,Hot Mixed, Hot Laid AC, Dense Graded",800.1000060558318,304.79999999999995,190.49999394416807,0.0,304.8000121116638,304.79999999999995,0.0,"Coarse-Grained Soil: Silty Sand | Subbase Layer | Unbound (granular) subbase | 214 | 6 | GS || Coarse-Grained Soils: Poorly Graded Sand | Subgrade | Subgrade (untreated) | 202 | 7 | SS || Crushed Stone | Base Layer | Unbound (granular) base | 303 | 5 | GB || HMAC | Base Layer | Bound (treated) base | 319 | 5 | TB || Hot Mixed, Hot Laid AC, Dense Graded | AC Layer Below Surface (Binder Course) | Asphalt concrete layer | 1 | 4 | AC || Hot Mixed, Hot Laid AC, Dense Graded | Original Surface Layer | Asphalt concrete layer | 1 | 3 | AC",1,0,1,0,1,1,1,0,1,4,2
10_107,1,6,60.299999833106995,48.0,4.199999928474426,0.0,8.099999904632568,48.0,0.0,"1,202,214,303,325","Coarse-Grained Soil: Silty Sand,Coarse-Grained Soils: Poorly Graded Sand,Crushed Stone,Hot Mixed, Hot Laid AC, Dense Graded,Open Graded, Hot Laid, Central Plant Mix",1531.6199957609176,1219.1999999999998,106.67999818325042,0.0,205.73999757766722,1219.1999999999998,0.0,"Coarse-Grained Soil: Silty Sand | Subbase Layer | Unbound (granular) subbase | 214 | 6 | GS || Coarse-Grained Soils: Poorly Graded Sand | Subgrade | Subgrade (untreated) | 202 | 7 | SS || Crushed Stone | Base Layer | Unbound (granular) base | 303 | 5 | GB || Hot Mixed, Hot Laid AC, Dense Graded | AC Layer Below Surface (Binder Course) | Asphalt concrete layer | 1 | 4 | AC || Hot Mixed, Hot Laid AC, Dense Graded | Original Surface Layer | Asphalt concrete layer | 1 | 3 | AC || Open Graded, Hot Laid, Central Plant Mix | Base Layer | Bound (treated) base | 325 | 5 | TB",1,0,1,0,1,1,1,0,1,4,2
10_108,1,6,61.200000286102295,43.0,7.1000001430511475,0.0,11.100000143051147,43.0,0.0,"1,202,216,303,325","Coarse-Grained Soil: Clayey Sand,Coarse-Grained Soils: Poorly Graded Sand,Crushed Stone,Hot Mixed, Hot Laid AC, Dense Graded,Open Graded, Hot Laid, Central Plant Mix",1554.4800072669982,1092.2,180.34000363349912,0.0,281.94000363349915,1092.2,0.0,"Coarse-Grained Soil: Clayey Sand | Subbase Layer | Unbound (granular) subbase | 216 | 6 | GS || Coarse-Grained Soils: Poorly Graded Sand | Subgrade | Subgrade (untreated) | 202 | 7 | SS || Crushed Stone | Base Layer | Unbound (granular) base | 303 | 5 | GB || Hot Mixed, Hot Laid AC, Dense Graded | AC Layer Below Surface (Binder Course) | Asphalt concrete layer | 1 | 4 | AC || Hot Mixed, Hot Laid AC, Dense Graded | Original Surface Layer | Asphalt concrete layer | 1 | 3 | AC || Open Graded, Hot Laid, Central Plant Mix | Base Layer | Bound (treated) base | 325 | 5 | TB",1,0,1,0,1,1,1,0,1,4,2
10_109,1,6,66.50000023841858,43.0,7.299999952316284,0.0,16.200000286102295,43.0,0.0,"1,202,216,303,325","Coarse-Grained Soil: Clayey Sand,Coarse-Grained Soils: Poorly Graded Sand,Crushed Stone,Hot Mixed, Hot Laid AC, Dense Graded,Open Graded, Hot Laid, Central Plant Mix",1689.1000060558317,1092.2,185.4199987888336,0.0,411.48000726699826,1092.2,0.0,"Coarse-Grained Soil: Clayey Sand | Subbase Layer | Unbound (granular) subbase | 216 | 6 | GS || Coarse-Grained Soils: Poorly Graded Sand | Subgrade | Subgrade (untreated) | 202 | 7 | SS || Crushed Stone | Base Layer | Unbound (granular) base | 303 | 5 | GB || Hot Mixed, Hot Laid AC, Dense Graded | AC Layer Below Surface (Binder Course) | Asphalt concrete layer | 1 | 4 | AC || Hot Mixed, Hot Laid AC, Dense Graded | Original Surface Layer | Asphalt concrete layer | 1 | 3 | AC || Open Graded, Hot Laid, Central Plant Mix | Base Layer | Bound (treated) base | 325 | 5 | TB",1,0,1,0,1,1,1,0,1,4,2
10_110,1,7,60.49999997764826,46.0,6.200000166893005,0.0,8.199999809265137,46.0,0.0,"1,202,214,319,325,75","Coarse-Grained Soil: Silty Sand,Coarse-Grained Soils: Poorly Graded Sand,HMAC,Hot Mixed, Hot Laid AC, Dense Graded,Nonwoven Geotextile,Open Graded, Hot Laid, Central Plant Mix",1536.6999994322657,1168.3999999999999,157.48000423908232,0.0,208.27999515533446,1168.3999999999999,0.0,"Coarse-Grained Soil: Silty Sand | Subbase Layer | Unbound (granular) subbase | 214 | 6 | GS || Coarse-Grained Soils: Poorly Graded Sand | Subgrade | Subgrade (untreated) | 202 | 7 | SS || HMAC | Base Layer | Bound (treated) base | 319 | 5 | TB || Hot Mixed, Hot Laid AC, Dense Graded | AC Layer Below Surface (Binder Course) | Asphalt concrete layer | 1 | 4 | AC || Hot Mixed, Hot Laid AC, Dense Graded | Original Surface Layer | Asphalt concrete layer | 1 | 3 | AC || Nonwoven Geotextile | Interlayer | Engineering Fabric | 75 | 8 | EF || Open Graded, Hot Laid, Central Plant Mix | Base Layer | Bound (treated) base | 325 | 5 | TB",1,0,1,0,1,0,1,1,1,5,1
