family,annual_column,monthly_column,closest_monthly_aggregation,correlation,mae,rmse,n_pairs,appears_monthly_derived
humidity,REL_HUM_AVG_AVG,REL_HUM_AVG_AVG,mean,0.999712658090527,0.2507043478260869,0.2912504276292192,28750,True
precipitation,EVAPORATION,EVAPORATION,sum,0.9999999993753621,0.008842086956525948,0.011686781830991885,28750,True
precipitation,PRECIPITATION,PRECIPITATION,sum,0.9999999997352512,0.008784347826092897,0.011710270482896856,28750,True
precipitation,PRECIP_DAYS,PRECIP_DAYS,sum,1.0,0.0,0.0,28750,True
solar,CLOUD_COVER_AVG,CLOUD_COVER_AVG,mean,0.7576995782130299,0.29908405797101456,0.3399566610627981,28750,False
solar,SHORTWAVE_SURFACE_AVG,SHORTWAVE_SURFACE_AVG,sum,0.9999687779629097,87690.28234434783,88403.680077799,28750,False
temperature,FREEZE_INDEX,FREEZE_INDEX,sum,0.9999990058324497,0.3728,0.647209394245788,28125,True
temperature,FREEZE_THAW,FREEZE_THAW,sum,1.0,0.0,0.0,28125,True
temperature,TEMP_AVG,TEMP_AVG,mean,0.9984821895414044,0.2586927536231884,0.3048310690797913,28750,True
temperature,TEMP_MEAN_AVG,TEMP_MEAN_AVG,mean,0.9985396940921558,0.25887536231884056,0.3053065300557556,28750,True
wind,WIND_VELOCITY_AVG,WIND_VELOCITY_AVG,mean,0.978513186257081,0.2235014492753623,0.27713248719509087,28750,False
