source,target,edge_type,distance_km,overlap_change_years,corr_change,overlap_level_years,corr_level
1_0107,1_1001,spatial,17.722272986787758,0,,0,
1_0108,1_1001,spatial,17.94366553011456,1,,1,
1_0109,1_1001,spatial,18.128443954414244,1,,1,
1_0163,1_1001,spatial,18.35509150871872,1,,1,
1_0110,1_1001,spatial,18.677115025761243,1,,1,
1_0111,1_1001,spatial,18.928426476552257,1,,1,
1_0112,1_1001,spatial,19.203507907810817,1,,1,
1_0106,1_1001,spatial,20.28343264790339,1,,1,
1_0101,1_0105,spatial,0.2534536196136752,8,-0.16155303036687052,9,0.8633713706124856
1_0101,1_0103,spatial,0.4669736744188823,8,0.06276684635743449,9,0.9686967158656383
1_0101,1_0162,spatial,0.6743283139562526,7,0.14061240698090977,8,0.9298659845412355
1_0101,1_0104,spatial,1.1072517813735288,8,-0.44775394831305687,9,0.8142093949660911
1_0101,1_0106,spatial,1.1980780151828223,8,0.16900649819375096,9,0.9665685463056801
1_0101,1_0102,spatial,1.567585828395568,10,0.2230398490633633,11,0.8675105836340143
1_0101,1_0161,spatial,1.8310426215372444,6,0.03665492060669407,7,0.9080128756359794
1_0101,1_0112,spatial,2.2974788620735103,8,-0.5470803872831099,9,0.9440905444636803
1_1011,1_4127,spatial,42.76284909326402,2,,3,
1_1019,1_B310,spatial,0.4184417131909111,3,-0.45246269757536495,4,0.4103472672323844
1_1019,1_B340,spatial,0.5762831481433264,3,0.6591732824491996,4,0.9253015163787472
1_1019,1_B320,spatial,0.7142577728325538,3,-0.5098729558885855,4,0.675494515682991
1_1019,1_B330,spatial,0.928055551089802,3,0.7194416777772261,4,0.8676623200663028
1_1019,1_B350,spatial,1.2250181799040911,3,,4,
1_1019,1_6019,spatial,51.32279728453867,3,,4,
1_0102,1_0161,spatial,0.2848691183649057,6,0.39667487830949755,7,0.9882433548020235
1_0102,1_0105,spatial,1.8054101519443495,8,0.36756595663482916,9,0.9719630002666612
1_0102,1_0103,spatial,2.012912599733924,8,-0.1510971637650915,9,0.9120445053492892
1_0102,1_0162,spatial,2.221224867184774,7,0.2516792694021549,8,0.8289010845744712
1_0102,1_0104,spatial,2.6567709326341618,8,-0.5659377312326064,9,0.5759811079515734
1_0102,1_0106,spatial,2.747828650051735,8,0.3198135913168637,9,0.8705952028066845
1_0102,1_0112,spatial,3.848841433036001,8,-0.2636224704502813,9,0.8589631579982767
1_1021,1_4125,spatial,14.977445896169415,1,,2,
1_1021,1_A310,spatial,15.097594349606563,1,,2,
1_1021,1_A320,spatial,15.326490320898428,1,,2,
1_1021,1_A330,spatial,15.347817055192545,1,,2,
1_1021,1_A340,spatial,15.371129666786535,1,,2,
1_1021,1_A350,spatial,15.380455321302644,1,,2,
1_1021,1_4129,spatial,55.92224635988448,1,,2,
1_0103,1_0162,spatial,0.2093250102561925,7,0.8311766194459776,8,0.925571938481885
1_0103,1_0105,spatial,0.2138084515925978,8,-0.45787118981583086,9,0.8985591086234009
1_0103,1_0104,spatial,0.6452810558322932,8,0.6855389763046582,9,0.8445983091273496
1_0103,1_0106,spatial,0.7364413378655261,8,0.5262719079253707,9,0.973944125158668
1_0103,1_0112,spatial,1.8380722913045675,8,0.20652732224272996,9,0.9726461477078612
1_0103,1_0111,spatial,2.1196908735502187,8,0.22332800599120547,9,0.975497147613613
1_0104,1_0106,spatial,0.0911633930943752,8,0.3731758962665826,9,0.8847989072341985
1_0104,1_0162,spatial,0.4360695627532013,7,0.5468856814652783,8,0.9223872131213822
1_0104,1_0105,spatial,0.8571867130598106,8,-0.4632577852876854,9,0.5791481898813121
1_0104,1_0112,spatial,1.1928362660643823,8,0.5880906525163127,9,0.8955202703354167
1_0104,1_0111,spatial,1.4744471808759405,8,-0.047134039720768524,9,0.7469880860781262
1_0104,1_0110,spatial,1.7315425800880266,8,0.40085408030761127,9,0.8098439190304871
1_0105,1_0162,spatial,0.4222816702361444,7,-0.48847573753440465,8,0.7923454856254675
1_0105,1_0106,spatial,0.9482587326362796,8,-0.4173500797887767,9,0.8311510337741855
1_0105,1_0112,spatial,2.0493241885783093,8,-0.22991977310317294,9,0.8483510590628071
1_0105,1_0161,spatial,2.062801628385086,6,0.7286855658637896,7,0.9892511816421707
1_0106,1_0162,spatial,0.5272323008081036,7,0.9803562608405868,8,0.9870072017990337
1_0106,1_0112,spatial,1.1016745559087882,8,0.601216788096857,9,0.9879558343307726
1_0106,1_0111,spatial,1.3832845954147797,8,0.7791551819163958,9,0.9585580184077768
1_0106,1_0110,spatial,1.640379927204201,8,0.46148957553731457,9,0.968126257201794
1_0107,1_0108,spatial,0.2271640761903791,3,0.8383862466653079,4,0.8265198780169928
1_0107,1_0109,spatial,0.4161883577642061,3,0.8727633380731868,4,0.8404674764555317
1_0107,1_0163,spatial,0.6477018053510564,3,-0.17557346694171133,4,0.6688076209105975
1_0107,1_0110,spatial,0.9773011217865524,3,0.7405401762722642,4,0.7979281714510346
1_0107,1_0111,spatial,1.2343942766518516,3,-0.34645045080597764,4,0.6415458894486714
1_0107,1_0112,spatial,1.5160028747157968,3,-0.48814358104490974,4,0.611779671143994
1_0106,1_0107,spatial,2.617676827587112,3,-0.48814358104490974,4,0.611779671143994
1_0104,1_0107,spatial,2.708838875391283,3,,4,
1_0108,1_0109,spatial,0.1890303747477745,8,0.25404973096124633,9,0.9596370222577846
1_0108,1_0163,spatial,0.42055091053655,7,0.2832282680252955,8,0.9835566720998394
1_0108,1_0110,spatial,0.7501437503595583,8,0.15715679000339586,9,0.9601010076099048
1_0108,1_0111,spatial,1.0072347668606068,8,0.14286648879081068,9,0.9697565777705219
