node_id,n_observations,median_gap_days,median_gap_months,min_gap_days,max_gap_days
10_0101,9,0.371,0.012188911704312114,0.225,0.958
10_0102,13,0.30000000000000004,0.009856262833675565,0.062,0.433
10_0103,9,0.371,0.012188911704312114,0.225,0.958
10_0104,9,0.3745,0.012303901437371664,0.224,0.952
10_0105,10,0.39,0.012813141683778234,0.226,0.49
10_0106,9,0.3745,0.012303901437371664,0.224,0.952
10_0107,9,0.3735,0.012271047227926078,0.226,0.953
10_0108,9,0.371,0.012188911704312114,0.225,0.959
10_0109,9,0.3745,0.012303901437371664,0.224,0.952
10_0110,9,0.371,0.012188911704312114,0.225,0.959
10_0111,9,0.3715,0.012205338809034908,0.225,0.958
10_0112,9,0.3715,0.012205338809034908,0.225,0.958
10_0159,9,0.3745,0.012303901437371664,0.224,0.952
10_0160,9,0.3735,0.012271047227926078,0.226,0.953
10_0201,14,0.413,0.013568788501026694,0.218,1.301
10_0202,13,0.4265,0.014012320328542095,0.342,1.302
10_0203,12,0.506,0.01662422997946612,0.343,1.302
10_0204,13,0.424,0.013930184804928131,0.343,1.302
10_0205,13,0.4245,0.013946611909650923,0.343,1.301
10_0206,13,0.4265,0.014012320328542095,0.343,1.302
10_0207,13,0.427,0.014028747433264887,0.343,1.302
10_0208,13,0.4235,0.013913757700205339,0.343,1.302
10_0209,14,0.413,0.013568788501026694,0.218,1.301
10_0210,13,0.4235,0.013913757700205339,0.343,1.302
10_0211,12,0.506,0.01662422997946612,0.343,1.302
10_0212,13,0.4235,0.013913757700205339,0.343,1.302
10_0259,13,0.424,0.013930184804928131,0.343,1.302
10_0260,13,0.424,0.013930184804928131,0.343,1.301
10_1201,2,0.937,0.03078439425051335,0.937,0.937
10_1450,9,0.661,0.02171663244353183,0.19,1.911
10_4002,5,1.3615,0.04473100616016427,0.629,1.91
10_5005,9,1.1945000000000001,0.039244353182751546,0.56,1.603
12_0101,10,0.455,0.014948665297741274,0.252,1.154
12_0102,10,0.455,0.014948665297741274,0.252,1.154
12_0103,10,0.455,0.014948665297741274,0.252,1.155
12_0104,10,0.455,0.014948665297741274,0.252,1.155
12_0105,10,0.455,0.014948665297741274,0.251,1.154
12_0106,10,0.455,0.014948665297741274,0.252,1.155
12_0107,10,0.455,0.014948665297741274,0.253,1.155
12_0108,10,0.455,0.014948665297741274,0.253,1.155
12_0109,10,0.455,0.014948665297741274,0.252,1.153
12_0110,10,0.455,0.014948665297741274,0.252,1.155
12_0111,10,0.455,0.014948665297741274,0.253,1.154
12_0112,10,0.455,0.014948665297741274,0.252,1.154
12_0161,8,0.448,0.014718685831622176,0.252,1.154
12_0502,15,0.479,0.01573716632443532,0.26,2.156
12_0503,15,0.479,0.01573716632443532,0.26,2.156
12_0504,15,0.479,0.01573716632443532,0.26,2.156
12_0505,15,0.479,0.01573716632443532,0.26,2.156
12_0506,15,0.479,0.01573716632443532,0.26,2.156
12_0507,15,0.479,0.01573716632443532,0.261,2.156
12_0508,15,0.4785,0.015720739219712523,0.26,2.156
12_0509,15,0.479,0.01573716632443532,0.26,2.156
12_0561,12,0.467,0.015342915811088296,0.26,2.521
12_0562,13,0.47150000000000003,0.01549075975359343,0.26,2.521
12_0563,13,0.47150000000000003,0.01549075975359343,0.26,2.521
12_0564,13,0.472,0.015507186858316221,0.259,2.522
12_0565,13,0.471,0.015474332648870636,0.26,2.52
12_0566,13,0.47150000000000003,0.01549075975359343,0.261,2.521
12_0901,9,0.4115,0.013519507186858315,0.07,1.087
12_0902,9,0.4115,0.013519507186858315,0.072,1.087
12_0903,9,0.4115,0.013519507186858315,0.071,1.087
12_0959,8,0.397,0.013043121149897332,0.072,1.087
12_1030,15,0.4785,0.015720739219712523,0.259,2.156
12_1060,3,0.929,0.030521560574948668,0.733,1.125
12_1370,10,0.889,0.029207392197125256,0.289,1.612
12_3804,5,0.8825,0.028993839835728952,0.075,2.116
12_3811,6,1.063,0.03492402464065708,0.729,1.094
12_3996,3,1.0434999999999999,0.034283367556468165,0.5,1.587
12_3997,6,0.521,0.017117043121149898,0.373,1.077
12_4000,13,0.823,0.02703901437371663,0.066,2.304
12_4057,8,0.936,0.030751540041067765,0.075,2.612
12_4059,12,0.988,0.03245995893223819,0.512,1.567
12_4096,11,0.9864999999999999,0.032410677618069816,0.135,1.985
12_4097,6,0.917,0.030127310061601645,0.723,1.063
12_4100,11,0.948,0.031145790554414785,0.328,2.364
12_4103,3,0.8205,0.02695687885010267,0.734,0.907
12_4105,2,0.521,0.017117043121149898,0.521,0.521
12_4106,7,0.9515,0.03126078028747433,0.651,2.01
12_4107,3,1.0415,0.034217659137577,0.602,1.481
12_4108,2,1.062,0.0348911704312115,1.062,1.062
12_4109,12,1.027,0.03374127310061601,0.078,1.5
12_4135,5,0.9275,0.030472279260780288,0.721,1.496
12_4136,5,0.9275,0.030472279260780288,0.721,1.496
12_4137,5,1.1564999999999999,0.0379958932238193,1.028,1.496
12_4138,9,1.0025,0.03293634496919918,0.065,1.504
12_4154,6,0.406,0.013338809034907598,0.094,0.883
