variant,state_held_out,n_test_nodes,n_test_transitions,rf_test_r2,rgcn_test_r2,ensemble_test_r2,rf_test_mae,rgcn_test_mae,ensemble_test_mae
baseline_mixed_current,48,172,1254,-0.040407089111528904,-0.09778190916750562,-0.14243133079157788,7.876224643477935,8.16610509420189,8.546791057250246
unified_full_formula,48,172,1254,-0.040407089111528904,-0.41007642527559995,-0.17964542644924641,7.876224643477935,9.517245564797912,8.872943640217118
distance_only,48,172,1254,-0.040407089111528904,-0.4966972643069658,-0.15924100903268523,7.876224643477935,10.670890302622592,8.622450806227754
baseline_mixed_current,4,104,681,0.36033332029241516,-0.09024156466816713,0.2071596142187201,8.868336683483848,11.662142951197913,10.172087071401357
unified_full_formula,4,104,681,0.36033332029241516,-0.13555702856023788,0.20305399605762697,8.868336683483848,12.440857669178667,10.446126462416196
distance_only,4,104,681,0.36033332029241516,-0.0798193793161559,0.2651243688878713,8.868336683483848,12.48796908816927,10.015044019638852
baseline_mixed_current,12,75,572,0.14042046427393662,-0.06730803758954607,0.13234989882449943,10.90977784653355,12.585464335821726,9.66946711762996
unified_full_formula,12,75,572,0.14042046427393662,-0.8115676665207245,0.10230724527929869,10.90977784653355,18.731355701293143,9.85030689455125
distance_only,12,75,572,0.14042046427393662,-0.2324442846659147,0.03863245099152035,10.90977784653355,15.027364489915488,10.099090017141421
baseline_mixed_current,6,69,564,0.23262626173328882,-0.0518073033969233,0.26641056749650993,11.19099488776276,13.350644397397414,10.750943847102453
unified_full_formula,6,69,564,0.23262626173328882,-0.031041489935758726,0.2656600417074838,11.19099488776276,13.647262140368738,10.800199982797281
distance_only,6,69,564,0.23262626173328882,-0.2081707271036941,0.2435640281567899,11.19099488776276,14.365430601099705,10.972045590934348
baseline_mixed_current,40,59,495,0.1742251764078243,0.0440292799006855,0.23068634767192353,6.369122210903199,8.136718901239261,6.335138273173779
unified_full_formula,40,59,495,0.1742251764078243,0.22416240209829907,0.25173404899075436,6.369122210903199,7.266384376179088,5.908625102899295
distance_only,40,59,495,0.1742251764078243,0.24749798675673884,0.22961287414681242,6.369122210903199,6.9802711640945585,6.1811000695383305
