monthly_feature,closest_annual_feature,correlation,missingness_pct,variance,keep_redundant_recommendation
monthly_m3_temp_avg_mean,annual_t1_t5_temp_year_temp_mean_avg_max,0.5282593466554393,3.1257877489286616,69.95347350995677,keep
monthly_m3_temp_avg_min,annual_t1_t5_temp_year_temp_mean_avg_max,0.5380440297645664,3.1257877489286616,88.04554868368771,keep
monthly_m3_temp_avg_max,annual_t1_t5_temp_year_temp_avg_max,0.5104448561137009,3.1257877489286616,51.51254873498546,keep
monthly_m3_temp_avg_range,annual_t1_t5_temp_year_freeze_index_mean,0.35239342425983194,3.1257877489286616,17.249507854736265,keep
monthly_m3_temp_avg_std,annual_t1_t5_temp_year_freeze_index_sum,0.3643095374423709,3.1257877489286616,2.9236985167970473,keep
monthly_m3_temp_extreme_cold_months,annual_t1_t5_temp_year_temp_mean_avg_min,0.2512143866899203,3.1257877489286616,0.2584841665155668,keep
monthly_m3_temp_extreme_hot_months,annual_t1_precip_evaporation_sum,0.042445116108720295,3.1257877489286616,0.45187528854988346,keep
monthly_m3_freeze_thaw_active_months,annual_t1_t5_temp_year_freeze_thaw_sum,0.4046311173239926,3.1257877489286616,1.4099172108376754,keep
monthly_m3_freeze_thaw_total,annual_t1_t3_temp_year_freeze_thaw_mean,0.48843511557408986,3.1257877489286616,373.19406381678,keep
monthly_m3_freeze_index_total,annual_t1_t5_temp_year_freeze_index_sum,0.5700698839381312,3.1257877489286616,17749.35968121576,keep
monthly_m3_freeze_index_max,annual_t1_t5_temp_year_freeze_index_sum,0.5923791746989739,3.1257877489286616,6734.2520599943355,keep
monthly_m3_precip_total,annual_t1_t5_precip_precipitation_sum,0.6545613823429955,3.1257877489286616,18123.169370895957,keep
monthly_m3_precip_mean,annual_t1_t5_precip_precipitation_sum,0.6545613823429952,3.1257877489286616,2013.6854856551065,keep
monthly_m3_precip_max,annual_t1_t5_precip_precipitation_sum,0.5804170476996321,3.1257877489286616,4621.414932676783,keep
monthly_m3_precip_std,annual_t1_t5_precip_precipitation_sum,0.3551000981455774,3.1257877489286616,520.4706541026225,keep
monthly_m3_wet_month_count,annual_t1_t3_solar_cloud_cover_avg_min,0.07530741097594958,3.1257877489286616,0.25077912489412435,keep
monthly_m3_extreme_precip_months,annual_t1_t5_solar_cloud_cover_avg_min,0.07155176536710131,3.1257877489286616,0.3602603217266656,keep
monthly_m3_precip_days_total,annual_t1_t5_humid_rel_hum_avg_avg_min,0.10663710627600703,3.1257877489286616,0.7631370762411643,keep
monthly_m3_precip_days_max,,,3.1257877489286616,0.0,drop
monthly_m3_evap_total,annual_t1_t5_precip_evaporation_sum,0.5317456429582185,3.1257877489286616,13297.322019568108,keep
monthly_m3_humidity_mean,annual_t1_humid_rel_hum_avg_avg_mean,0.8583107692892431,3.1257877489286616,210.36286763416078,keep
monthly_m3_humidity_max,annual_t1_humid_rel_hum_avg_avg_mean,0.8207396150502277,3.1257877489286616,181.07701467708398,keep
monthly_m3_humidity_min,annual_t1_humid_rel_hum_avg_avg_mean,0.862469981216805,3.1257877489286616,258.70116322319893,keep
monthly_m3_humidity_std,annual_t1_humid_rel_hum_avg_avg_mean,0.41512723005573954,3.1257877489286616,8.365349680200852,keep
monthly_m3_high_humidity_months,annual_t1_temp_year_temp_mean_avg_mean,0.169903134643581,3.1257877489286616,0.5676531919479113,keep
monthly_m3_wind_mean,annual_t1_t5_wind_wind_velocity_avg_mean,0.9353952420509548,3.1257877489286616,1.5348946643729966,keep
monthly_m3_wind_max,annual_t1_t5_wind_wind_velocity_avg_mean,0.9233837333673576,3.1257877489286616,1.8498201615760839,keep
monthly_m3_wind_std,annual_t1_t5_wind_wind_velocity_avg_mean,0.3855534523472484,3.1257877489286616,0.06374998164871232,keep
monthly_m3_wind_range,annual_t1_t3_wind_wind_velocity_avg_mean,0.3840334158414471,3.1257877489286616,0.30356558350521473,keep
monthly_m3_high_wind_months,annual_t1_t5_wind_wind_velocity_avg_min,0.21529832535289825,3.1257877489286616,1.4837974764550912,keep
monthly_m3_cloud_mean,annual_t1_t3_solar_shortwave_surface_avg_mean,0.5216547421343414,3.1257877489286616,0.1443156075034228,keep
monthly_m3_cloud_std,annual_t1_t5_precip_precipitation_sum,0.22974357131894052,3.1257877489286616,0.055362029264777846,keep
monthly_m3_shortwave_mean,annual_t1_humid_rel_hum_avg_avg_mean,0.24514403986625216,3.1257877489286616,2812803.6673659966,keep
monthly_m3_shortwave_max,annual_t1_humid_rel_hum_avg_avg_mean,0.27331767886728703,3.1257877489286616,2536437.0524095586,keep
monthly_m3_shortwave_std,annual_t1_t5_temp_year_temp_avg_max,0.1517527682000903,3.1257877489286616,75852.9312085948,keep
monthly_m3_high_shortwave_months,annual_t1_t3_precip_precip_days_sum,0.08634479848613921,3.1257877489286616,0.37141722836017654,keep
monthly_m6_temp_avg_mean,annual_t1_temp_year_temp_mean_avg_mean,0.7411866281019663,3.1257877489286616,60.40755499944423,keep
monthly_m6_temp_avg_min,annual_t1_t5_temp_year_temp_mean_avg_mean,0.8369720833118046,3.1257877489286616,70.21810209811213,keep
monthly_m6_temp_avg_max,annual_t1_temp_year_temp_avg_mean,0.639581292284119,3.1257877489286616,45.56747654482011,keep
monthly_m6_temp_avg_range,annual_t1_t5_temp_year_freeze_index_mean,0.5096804551024148,3.1257877489286616,39.71468500722316,keep
monthly_m6_temp_avg_std,annual_t1_t5_temp_year_freeze_index_sum,0.49356799009167446,3.1257877489286616,5.682032414813362,keep
monthly_m6_temp_extreme_cold_months,annual_t1_t5_precip_precip_days_sum,0.15174563196924779,3.1257877489286616,0.7561761568363743,keep
monthly_m6_temp_extreme_hot_months,annual_t1_temp_year_temp_mean_avg_mean,0.18351775969058123,3.1257877489286616,0.7496397559987479,keep
monthly_m6_freeze_thaw_active_months,annual_t1_t5_temp_year_freeze_thaw_mean,0.5692993805746717,3.1257877489286616,3.246121339342112,keep
monthly_m6_freeze_thaw_total,annual_t1_temp_year_freeze_thaw_sum,0.7016036659733114,3.1257877489286616,1001.9928637032139,keep
monthly_m6_freeze_index_total,annual_t1_t3_temp_year_freeze_index_sum,0.75352848478577,3.1257877489286616,101543.0290846093,keep
monthly_m6_freeze_index_max,annual_t1_temp_year_freeze_index_sum,0.8213451717018301,3.1257877489286616,17997.598356846498,keep
monthly_m6_precip_total,annual_t1_t3_precip_precipitation_sum,0.790036823099284,3.1257877489286616,50621.35325368376,keep
monthly_m6_precip_mean,annual_t1_t3_precip_precipitation_mean,0.7900368230992836,3.1257877489286616,1406.1487014912157,keep
monthly_m6_precip_max,annual_t1_t5_precip_precipitation_mean,0.6377381411711766,3.1257877489286616,5074.125426569049,keep
monthly_m6_precip_std,annual_t1_t5_precip_precipitation_sum,0.45086762474109504,3.1257877489286616,477.10820761059136,keep
monthly_m6_wet_month_count,annual_t1_t5_solar_cloud_cover_avg_min,0.08915818662808582,3.1257877489286616,0.46754597455665103,keep
monthly_m6_extreme_precip_months,annual_t1_t3_precip_precip_days_sum,0.10485660404832939,3.1257877489286616,0.5726247064557803,keep
monthly_m6_precip_days_total,annual_t1_t5_precip_precip_days_sum,0.12254468763246372,3.1257877489286616,1.4123593057432664,keep
monthly_m6_precip_days_max,,,3.1257877489286616,0.0,drop
monthly_m6_evap_total,annual_t1_precip_evaporation_sum,0.7244768978703204,3.1257877489286616,30100.336570182193,keep
monthly_m6_humidity_mean,annual_t1_humid_rel_hum_avg_avg_mean,0.9174326884555395,3.1257877489286616,180.54212249388965,keep
monthly_m6_humidity_max,annual_t1_humid_rel_hum_avg_avg_mean,0.8668770374661492,3.1257877489286616,131.65141878930183,keep
monthly_m6_humidity_min,annual_t1_humid_rel_hum_avg_avg_mean,0.8781607800976642,3.1257877489286616,262.0134461917849,keep
monthly_m6_humidity_std,annual_t1_humid_rel_hum_avg_avg_mean,0.4258866999391998,3.1257877489286616,12.65672221826237,keep
monthly_m6_high_humidity_months,annual_t1_precip_evaporation_sum,0.10957726587601495,3.1257877489286616,1.031149064679361,keep
monthly_m6_wind_mean,annual_t1_t5_wind_wind_velocity_avg_mean,0.9546532307662572,3.1257877489286616,1.4705627736409437,redundant
monthly_m6_wind_max,annual_t1_t5_wind_wind_velocity_avg_mean,0.9335490855298977,3.1257877489286616,1.9378177053785275,keep
monthly_m6_wind_std,annual_t1_t5_wind_wind_velocity_avg_max,0.5159556317186726,3.1257877489286616,0.0595833849261994,keep
monthly_m6_wind_range,annual_t1_t5_wind_wind_velocity_avg_mean,0.5041604156638645,3.1257877489286616,0.4332360030345248,keep
monthly_m6_high_wind_months,annual_t1_t3_wind_wind_velocity_avg_min,0.267094049252363,3.1257877489286616,4.257969699109028,keep
monthly_m6_cloud_mean,annual_t1_t3_solar_shortwave_surface_avg_min,0.6393487488266022,3.1257877489286616,0.10565294322809317,keep
monthly_m6_cloud_std,annual_t1_t5_humid_rel_hum_avg_avg_mean,0.3014970374021915,3.1257877489286616,0.04145336175381515,keep
monthly_m6_shortwave_mean,annual_t1_t3_solar_shortwave_surface_avg_mean,0.48454319192180506,3.1257877489286616,1223279.0390539248,keep
monthly_m6_shortwave_max,annual_t1_t3_solar_shortwave_surface_avg_min,0.46782545084278876,3.1257877489286616,935536.7205219221,keep
