node_id,state,route,treatment_label,broad_treatment_group,event_date,event_year,pre_cracking_treated,post_cracking_treated,treated_delta_cracking,pre_cracking_neighbours_mean,post_cracking_neighbours_mean,neighbour_delta_cracking_mean,n_graph_neighbours,n_neighbours_with_pre_post,traffic_aadtt_all_trucks,climate_temp_year_temp_avg,why_good_case_study,case_study_score
55_0901,Wisconsin,_,"AC Shoulder Restoration, Asphalt Concrete Overlay, Partial depth patching of PCC pavements at joints",asphalt_overlay,1992-07-15,1992,100.0,0.0,-100.0,97.2,0.0,-97.2,5,5,1290.0,6.0,"Clear treatment label, dated event, available pre/post distress, and observable neighbour coverage.",198.45
55_0903,Wisconsin,_,"AC Shoulder Restoration, Asphalt Concrete Overlay, Partial depth patching of PCC pavements at joints",asphalt_overlay,1992-07-15,1992,100.0,0.0,-100.0,97.2,0.0,-97.2,5,5,1290.0,6.0,"Clear treatment label, dated event, available pre/post distress, and observable neighbour coverage.",198.45
55_0908,Wisconsin,_,"AC Shoulder Restoration, Asphalt Concrete Overlay, Partial depth patching of PCC pavements at joints",asphalt_overlay,1992-07-15,1992,100.0,0.0,-100.0,97.2,0.0,-97.2,5,5,1290.0,6.0,"Clear treatment label, dated event, available pre/post distress, and observable neighbour coverage.",198.45
55_0907,Wisconsin,_,"AC Shoulder Restoration, Asphalt Concrete Overlay, Partial depth patching of PCC pavements at joints",asphalt_overlay,1992-07-01,1992,100.0,0.0,-100.0,97.2,0.0,-97.2,5,5,1290.0,6.0,"Clear treatment label, dated event, available pre/post distress, and observable neighbour coverage.",198.45
55_0909,Wisconsin,_,"AC Shoulder Restoration, Asphalt Concrete Overlay, Partial depth patching of PCC pavements at joints",asphalt_overlay,1992-07-15,1992,100.0,0.0,-100.0,97.2,0.0,-97.2,5,5,1290.0,6.0,"Clear treatment label, dated event, available pre/post distress, and observable neighbour coverage.",198.45
55_0902,Wisconsin,_,"AC Shoulder Restoration, Asphalt Concrete Overlay, Partial depth patching of PCC pavements at joints",asphalt_overlay,1992-07-15,1992,86.0,0.0,-86.0,100.0,0.0,-100.0,5,5,1290.0,6.0,"Clear treatment label, dated event, available pre/post distress, and observable neighbour coverage.",187.25
29_0608,Missouri,_,Longitudinal Subdrains,reconstruction_or_major_rehab,1992-06-07,1992,100.0,0.0,-100.0,74.625,4.625,-70.0,8,8,1649.0,11.0,"Clear treatment label, dated event, available pre/post distress, and observable neighbour coverage.",172.0
29_0660,Missouri,_,"Asphalt Concrete Overlay, Fracture Treatment of PCC Pavement as Base for New AC Surface",asphalt_overlay,1992-06-07,1992,100.0,0.0,-100.0,74.625,4.625,-70.0,8,8,1649.0,11.0,"Clear treatment label, dated event, available pre/post distress, and observable neighbour coverage.",172.0
29_0659,Missouri,_,"Asphalt Concrete Overlay, Fracture Treatment of PCC Pavement as Base for New AC Surface",asphalt_overlay,1992-06-07,1992,100.0,3.0,-97.0,74.625,4.25,-70.375,8,8,1649.0,11.0,"Clear treatment label, dated event, available pre/post distress, and observable neighbour coverage.",169.375
55_A901,Wisconsin,2_43,"AC Shoulder Restoration, Asphalt Concrete Overlay, Partial depth patching of PCC pavements at joints",asphalt_overlay,1992-08-15,1992,100.0,0.0,-100.0,64.75,0.0,-64.75,9,8,1909.0,7.0,"Clear treatment label, dated event, available pre/post distress, and observable neighbour coverage.",166.75
55_A908,Wisconsin,2_43,"AC Shoulder Restoration, Asphalt Concrete Overlay, Partial depth patching of PCC pavements at joints",asphalt_overlay,1992-08-20,1992,100.0,0.0,-100.0,63.72727272727273,0.0,-63.72727272727273,11,11,1909.0,7.0,"Clear treatment label, dated event, available pre/post distress, and observable neighbour coverage.",166.47727272727272
29_0662,Missouri,_,"Asphalt Concrete Overlay, Longitudinal Subdrains, Fracture Treatment of PCC Pavement as Base for New AC Surface",asphalt_overlay,1992-06-08,1992,100.0,0.0,-100.0,73.44444444444444,11.222222222222221,-62.22222222222222,9,9,1649.0,11.0,"Clear treatment label, dated event, available pre/post distress, and observable neighbour coverage.",164.47222222222223
55_B907,Wisconsin,2_43,"AC Shoulder Restoration, Asphalt Concrete Overlay, Partial depth patching of PCC pavements at joints",asphalt_overlay,1992-07-15,1992,88.0,0.0,-88.0,64.81818181818181,0.0,-64.81818181818181,12,11,1909.0,7.0,"Clear treatment label, dated event, available pre/post distress, and observable neighbour coverage.",155.5681818181818
29_0607,Missouri,_,"Longitudinal Subdrains, Fracture Treatment of PCC Pavement as Base for New AC Surface",reconstruction_or_major_rehab,1992-06-07,1992,82.0,2.0,-80.0,76.875,4.375,-72.5,8,8,1649.0,11.0,"Clear treatment label, dated event, available pre/post distress, and observable neighbour coverage.",154.5
55_A903,Wisconsin,2_43,"AC Shoulder Restoration, Asphalt Concrete Overlay, Partial depth patching of PCC pavements at joints",asphalt_overlay,1992-08-19,1992,86.0,0.0,-86.0,65.0,0.0,-65.0,12,11,1909.0,7.0,"Clear treatment label, dated event, available pre/post distress, and observable neighbour coverage.",153.75
55_B909,Wisconsin,2_43,"AC Shoulder Restoration, Asphalt Concrete Overlay, Partial depth patching of PCC pavements at joints",asphalt_overlay,1992-07-15,1992,80.0,0.0,-80.0,66.5,0.0,-66.5,9,8,1909.0,7.0,"Clear treatment label, dated event, available pre/post distress, and observable neighbour coverage.",148.5
55_A902,Wisconsin,2_43,"AC Shoulder Restoration, Asphalt Concrete Overlay, Partial depth patching of PCC pavements at joints",asphalt_overlay,1992-08-15,1992,64.0,0.0,-64.0,69.25,0.0,-69.25,9,8,1909.0,7.0,"Clear treatment label, dated event, available pre/post distress, and observable neighbour coverage.",135.25
55_A909,Wisconsin,2_43,"AC Shoulder Restoration, Asphalt Concrete Overlay, Partial depth patching of PCC pavements at joints",asphalt_overlay,1992-08-15,1992,64.0,0.0,-64.0,68.5,0.0,-68.5,9,8,1909.0,7.0,"Clear treatment label, dated event, available pre/post distress, and observable neighbour coverage.",134.5
