treated_node_id,control_node_id,state_code,functional_class,treated_cracking_change,control_cracking_change,treated_traffic_change,control_traffic_change,treated_esal_change,control_esal_change
8_7780,8_1029,8,2.0,,13.0,19.0,-60.0,971.0,-10746.0
25_1002,25_1004,25,11.0,-24.0,-1.0,28.0,45.0,4292.0,35439.0
5_A601,5_3071,5,2.0,0.0,0.0,154.0,274.0,64834.0,-62458.0
18_3002,18_3003,18,2.0,0.0,,125.0,225.0,-264634.0,88598.0
55_A901,55_3008,55,1.0,0.0,,96.0,174.0,445059.0,94933.0
55_B901,55_3008,55,1.0,0.0,,74.0,174.0,445654.0,94933.0
8_7780,8_1029,8,2.0,0.0,13.0,19.0,-60.0,1054.0,-10746.0
25_1002,25_1004,25,11.0,14.0,-1.0,25.0,45.0,3832.0,35439.0
5_A605,5_3071,5,2.0,0.0,0.0,154.0,274.0,59777.0,-62458.0
5_A601,5_3071,5,2.0,0.0,0.0,-66.0,274.0,63903.0,-62458.0
6_8156,6_7452,6,6.0,-27.0,-23.0,43.0,95.0,-82671.0,13646.0
28_5803,28_1001,28,2.0,-42.0,26.0,113.0,-110.0,-455061.0,-20476.0
55_B907,55_3008,55,1.0,-32.0,,74.0,174.0,445654.0,94933.0
55_B909,55_A902,55,1.0,-37.0,17.0,74.0,97.0,445654.0,37175.0
55_B902,55_3008,55,1.0,6.0,,74.0,174.0,445654.0,94933.0
8_7780,8_1029,8,2.0,0.0,13.0,20.0,-60.0,-31893.0,-10746.0
4_1024,4_1018,4,1.0,-30.0,0.0,65.0,104.0,-379400.0,32737.0
56_7772,56_7773,56,6.0,,0.0,-25.0,-12.0,2919.0,-2000.0
31_6700,31_A353,31,2.0,5.0,0.0,-3.0,-29.0,1062.0,-5194.0
48_1039,48_3835,48,2.0,-14.0,-19.0,36.0,192.0,160160.0,89878.0
21_A410,21_4025,21,1.0,0.0,,353.0,209.0,1074420.0,-455540.0
6_9048,6_2053,6,1.0,3.0,0.0,-74.0,-75.0,-10717.0,-26000.0
25_1002,25_1004,25,11.0,-9.0,-1.0,67.0,45.0,45947.0,35439.0
8_7776,8_3032,8,1.0,-2.0,3.0,142.0,-278.0,45706.0,-106780.0
18_3002,18_3003,18,2.0,0.0,,-51.0,225.0,-126995.0,88598.0
5_A602,5_3071,5,2.0,0.0,0.0,154.0,274.0,68182.0,-62458.0
5_A605,5_3071,5,2.0,0.0,0.0,-66.0,274.0,-78610.0,-62458.0
5_A601,5_3071,5,2.0,0.0,0.0,42.0,274.0,152950.0,-62458.0
1_C330,1_1019,1,2.0,0.0,,21.0,14.0,5234.0,3186.0
48_C420,48_1077,48,2.0,0.0,2.0,363.0,28.0,532576.0,4865.0
12_4154,12_A350,12,6.0,-6.0,-30.0,150.0,131.0,114095.0,67078.0
4_1062,4_1007,4,1.0,-37.0,13.0,169.0,-372.0,55505.0,-346985.0
55_A907,55_3008,55,1.0,-21.0,,96.0,174.0,445059.0,94933.0
55_A908,55_3008,55,1.0,-50.0,,96.0,174.0,445059.0,94933.0
55_A902,55_3008,55,1.0,0.0,,96.0,174.0,445059.0,94933.0
55_A903,55_3008,55,1.0,1.0,,96.0,174.0,445059.0,94933.0
55_B902,55_3008,55,1.0,-45.0,,74.0,174.0,-391893.0,94933.0
31_4019,31_5052,31,11.0,-100.0,,36.0,25.0,9461.0,10000.0
17_5843,17_5453,17,1.0,-14.0,,162.0,1326.0,1268050.0,982712.0
19_1044,19_3006,19,2.0,10.0,,35.0,91.0,4343.0,181437.0
17_5151,17_5843,17,1.0,0.0,,-120.0,-483.0,16000.0,-45000.0
8_7780,8_7781,8,2.0,3.0,0.0,19.0,14.0,-31845.0,-42318.0
30_7076,30_7066,30,1.0,-3.0,,-80.0,27.0,-15651.0,10740.0
48_1096,48_1039,48,2.0,-45.0,-4.0,67.0,172.0,8508.0,-102845.0
42_1597,42_1608,42,6.0,11.0,,3.0,10.0,4905.0,4048.0
46_9197,46_7049,46,6.0,0.0,,4.0,42.0,1750.0,26360.0
6_2002,6_2038,6,2.0,3.0,-5.0,54.0,152.0,,
