feature_set,model,n_rows,n_classes,accuracy,macro_f1,balanced_accuracy
distress_only,decision_tree,5076,7,0.36387184360575614,0.16682651624462647,0.18567413384427187
distress_only,random_forest,5076,7,0.3506694852798572,0.1604106601210943,0.17791106691519645
distress_only,logistic_regression,5076,7,0.32565241844769405,0.10813957369256937,0.14977314119449187
traffic_only,decision_tree,5076,7,0.40189713354796164,0.2229600269528816,0.22563139268457913
traffic_only,random_forest,5076,7,0.6156388425584733,0.47135962400500137,0.4363263838722899
traffic_only,logistic_regression,5076,7,0.3569741282339708,0.16174464006012917,0.17623662772588933
annual_climate_only,decision_tree,5076,7,0.40701427407780927,0.20602673218272907,0.21312486570285083
annual_climate_only,random_forest,5076,7,0.6467677747178155,0.5078439887938856,0.4683168091894059
annual_climate_only,logistic_regression,5076,7,0.41706062604243427,0.2889439782962278,0.26599283598910717
monthly_climate_only,decision_tree,5076,7,0.46237519878980643,0.2685623576214505,0.26433928462866674
monthly_climate_only,random_forest,5076,7,0.698580931693883,0.5525157629239793,0.5108359047384449
monthly_climate_only,logistic_regression,5076,7,0.5409730033745783,0.4387447749893423,0.41625446598988314
distress_plus_traffic,decision_tree,5076,7,0.41253326092859083,0.21558515589806806,0.22367162087294507
distress_plus_traffic,random_forest,5076,7,0.5925895038982196,0.448440199534093,0.4105758283116199
distress_plus_traffic,logistic_regression,5076,7,0.38081319576432254,0.17810662326765409,0.1923207050750665
distress_plus_traffic_plus_annual,decision_tree,5076,7,0.42730906481517394,0.2864490576442182,0.27322168171815003
distress_plus_traffic_plus_annual,random_forest,5076,7,0.661344788797952,0.5097929910015171,0.47244927795971403
distress_plus_traffic_plus_annual,logistic_regression,5076,7,0.4623719017881386,0.3257786027458301,0.3025178109525203
distress_plus_traffic_plus_monthly,decision_tree,5076,7,0.4686815872153912,0.30017286419613515,0.2909798070190536
distress_plus_traffic_plus_monthly,random_forest,5076,7,0.7064599899150537,0.5562194444975923,0.516785231805637
distress_plus_traffic_plus_monthly,logistic_regression,5076,7,0.5652061595748807,0.4608666213523729,0.4405740667501252
distress_plus_traffic_plus_annual_plus_monthly,decision_tree,5076,7,0.46454365618090837,0.2912801304590459,0.28555388912481633
distress_plus_traffic_plus_annual_plus_monthly,random_forest,5076,7,0.7137486908963966,0.5583745133402873,0.5195401114425655
distress_plus_traffic_plus_annual_plus_monthly,logistic_regression,5076,7,0.5789953841976649,0.4727040849610143,0.45562177101662726
