node_id,state_code,state_name,route_key,treatment_label,broad_treatment_group,event_year,n_1hop_neighbours,n_neighbours_with_pre_post,treated_pre_cracking,treated_post_cracking,treated_delta_cracking,neighbour_pre_cracking_mean,neighbour_post_cracking_mean,neighbour_delta_cracking_mean,delta_gap_treated_minus_neighbour
19_0602,19,Iowa,_,Asphalt Concrete Overlay,asphalt_overlay,2017,8,2,38.0,0.0,-38.0,27.0,0.0,-27.0,-11.0
19_0601,19,Iowa,_,Asphalt Concrete Overlay,asphalt_overlay,2017,8,2,23.0,0.0,-23.0,34.5,0.0,-34.5,11.5
46_0601,46,South Dakota,_,Crack Sealing,crack_sealing,2013,8,8,8.0,1.0,-7.0,15.25,0.125,-15.125,8.125
46_0602,46,South Dakota,_,Crack Sealing,crack_sealing,2013,8,8,1.0,1.0,0.0,16.125,0.125,-16.0,16.0
19_0602,19,Iowa,_,"Full Depth Patch of AC Pavement (removing damaged material, repairing supporting material, and repairing)",patching,2014,8,2,18.0,38.0,20.0,19.5,27.0,7.5,12.5
46_0605,46,South Dakota,_,Crack Sealing,crack_sealing,2013,10,10,1.0,0.0,-1.0,20.8,0.2,-20.6,19.6
46_0601,46,South Dakota,_,"AC Shoulder Restoration, Mill Off AC and Overlay with AC",asphalt_overlay,2011,8,8,8.0,1.0,-7.0,15.25,0.125,-15.125,8.125
46_0602,46,South Dakota,_,"AC Shoulder Restoration, Mill Off AC and Overlay with AC",asphalt_overlay,2011,8,8,1.0,1.0,0.0,16.125,0.125,-16.0,16.0
19_0601,19,Iowa,_,Machine Premix Patch (placing premix with paver roller),patching,2014,8,2,15.0,23.0,8.0,21.0,34.5,13.5,-5.5
19_0602,19,Iowa,_,"Crack Sealing, AC Shoulder Restoration, Skin Patching (hand tools/hot pot to apply liquid asphalt and aggregate)",crack_sealing,2011,8,2,13.0,18.0,5.0,10.5,19.5,9.0,-4.0
42_0605,42,Pennsylvania,_,"Partial depth patching of PCC pavements at joints, Partial Depth Patching of PCC Pavement Other Than at Joint",patching,2004,11,11,32.0,18.0,-14.0,8.545454545454545,5.545454545454546,-2.999999999999999,-11.0
46_0605,46,South Dakota,_,"AC Shoulder Restoration, Mill Off AC and Overlay with AC",asphalt_overlay,2011,10,10,1.0,0.0,-1.0,20.8,0.2,-20.6,19.6
46_0601,46,South Dakota,_,Aggregate Seal Coat,seal_coat,2008,8,8,2.0,6.0,4.0,5.125,8.25,3.125,0.875
46_0602,46,South Dakota,_,Aggregate Seal Coat,seal_coat,2008,8,8,0.0,1.0,1.0,5.375,8.875,3.5,-2.5
19_0601,19,Iowa,_,"Crack Sealing, AC Shoulder Restoration, Skin Patching (hand tools/hot pot to apply liquid asphalt and aggregate)",crack_sealing,2011,8,2,7.0,15.0,8.0,13.5,21.0,7.5,0.5
19_0602,19,Iowa,_,Crack Sealing,crack_sealing,2007,8,2,1.0,4.0,3.0,1.5,8.5,7.0,-4.0
38_0217,38,North Dakota,_,"AC Shoulder Restoration, PCC Slab Replacement",shoulder_restoration,2016,11,11,0.0,0.0,0.0,0.2727272727272727,0.2727272727272727,0.0,0.0
17_0606,17,Illinois,_,Skin Patching (hand tools/hot pot to apply liquid asphalt and aggregate),patching,2008,13,13,36.0,53.0,17.0,20.307692307692307,31.0,10.692307692307693,6.307692307692307
40_0605,40,Oklahoma,_,Partial depth patching of PCC pavements at joints,patching,2006,12,6,58.0,58.0,0.0,25.0,32.666666666666664,7.666666666666664,-7.666666666666664
42_0659,42,Pennsylvania,_,Partial depth patching of PCC pavements at joints,patching,2004,8,8,38.0,25.0,-13.0,11.0,6.75,-4.25,-8.75
42_0605,42,Pennsylvania,_,"Partial depth patching of PCC pavements at joints, Partial Depth Patching of PCC Pavement Other Than at Joint",patching,2003,11,11,29.0,32.0,3.0,5.2727272727272725,8.545454545454545,3.2727272727272725,-0.2727272727272725
55_0907,55,Wisconsin,_,Mill Off AC and Overlay with AC,asphalt_overlay,2013,5,4,51.0,0.0,-51.0,17.25,0.0,-17.25,-33.75
55_0902,55,Wisconsin,_,Mill Off AC and Overlay with AC,asphalt_overlay,2013,5,4,1.0,0.0,-1.0,29.75,0.0,-29.75,28.75
46_0605,46,South Dakota,_,Aggregate Seal Coat,seal_coat,2008,10,10,1.0,1.0,0.0,5.4,10.6,5.199999999999999,-5.199999999999999
46_0601,46,South Dakota,_,"Crack Sealing, Lane-Shoulder Longitudinal Joint Sealing",crack_sealing,2005,8,8,0.0,2.0,2.0,1.25,5.125,3.875,-1.875
46_0602,46,South Dakota,_,"Crack Sealing, Lane-Shoulder Longitudinal Joint Sealing",crack_sealing,2005,8,8,1.0,0.0,-1.0,1.125,5.375,4.25,-5.25
17_0602,17,Illinois,_,Skin Patching (hand tools/hot pot to apply liquid asphalt and aggregate),patching,2008,8,8,0.0,2.0,2.0,17.375,23.875,6.5,-4.5
19_0601,19,Iowa,_,Lane-Shoulder Longitudinal Joint Sealing,crack_sealing,2010,8,2,7.0,7.0,0.0,7.0,13.5,6.5,-6.5
19_0602,19,Iowa,_,Crack Sealing,crack_sealing,2003,8,8,0.0,0.0,0.0,30.25,38.875,8.625,-8.625
38_0217,38,North Dakota,_,Skin Patching (hand tools/hot pot to apply liquid asphalt and aggregate),patching,2014,11,11,5.0,0.0,-5.0,0.0,0.2727272727272727,0.2727272727272727,-5.2727272727272725
25_1002,25,Massachusetts,2_391,"Patch Pot Holes - Hand Spread, Compacted with Truck",patching,2002,2,2,50.0,26.0,-24.0,23.5,27.0,3.5,-27.5
5_A601,5,Arkansas,3_65,Partial Depth Patching of PCC Pavement Other Than at Joint,patching,2011,14,11,0.0,0.0,0.0,10.818181818181818,16.181818181818183,5.363636363636365,-5.363636363636365
17_0659,17,Illinois,_,Skin Patching (hand tools/hot pot to apply liquid asphalt and aggregate),patching,2008,9,9,24.0,53.0,29.0,30.666666666666668,44.44444444444444,13.777777777777775,15.222222222222225
17_0662,17,Illinois,_,Skin Patching (hand tools/hot pot to apply liquid asphalt and aggregate),patching,2008,13,13,53.0,53.0,0.0,19.0,31.0,12.0,-12.0
17_0607,17,Illinois,_,"Full Depth Patch of AC Pavement (removing damaged material, repairing supporting material, and repairing)",patching,2008,8,8,54.0,51.0,-3.0,30.75,50.25,19.5,-22.5
17_0606,17,Illinois,_,Skin Patching (hand tools/hot pot to apply liquid asphalt and aggregate),patching,2006,13,13,32.0,36.0,4.0,16.615384615384617,20.307692307692307,3.69230769230769,0.30769230769231015
40_0605,40,Oklahoma,_,Partial Depth Patching of PCC Pavement Other Than at Joint,patching,2004,12,7,58.0,58.0,0.0,19.428571428571427,21.428571428571427,2.0,-2.0
6_0663,6,California,_,"Crack Sealing, Transverse Joint Sealing, Lane-Shoulder Longitudinal Joint Sealing",crack_sealing,2004,12,11,15.0,23.0,8.0,,,,
42_0601,42,Pennsylvania,_,Partial depth patching of PCC pavements at joints,patching,2004,8,8,29.0,14.0,-15.0,12.125,8.125,-4.0,-11.0
42_0605,42,Pennsylvania,_,"Partial depth patching of PCC pavements at joints, Partial Depth Patching of PCC Pavement Other Than at Joint",patching,2002,11,11,25.0,25.0,0.0,1.7272727272727273,2.909090909090909,1.1818181818181819,-1.1818181818181819
42_0659,42,Pennsylvania,_,Partial depth patching of PCC pavements at joints,patching,2002,8,8,0.0,0.0,0.0,5.5,7.125,1.625,-1.625
29_0602,29,Missouri,_,Full Depth Patching of PCC Pavement Other Than at Joint,patching,2000,10,10,31.0,28.0,-3.0,12.0,12.7,0.6999999999999993,-3.6999999999999993
29_0605,29,Missouri,_,Full Depth Patching of PCC Pavement Other Than at Joint,patching,2000,15,13,35.0,31.0,-4.0,11.307692307692308,9.538461538461538,-1.76923076923077,-2.23076923076923
55_A901,55,Wisconsin,2_43,Mill Off AC and Overlay with AC,asphalt_overlay,2012,9,8,0.0,0.0,0.0,19.625,0.875,-18.75,18.75
55_B901,55,Wisconsin,2_43,Mill Off AC and Overlay with AC,asphalt_overlay,2012,9,8,0.0,0.0,0.0,19.625,0.875,-18.75,18.75
55_0902,55,Wisconsin,_,"Full Depth Patch of AC Pavement (removing damaged material, repairing supporting material, and repairing), Patch Pot Holes - Hand Spread, Compacted with Truck",patching,2012,5,4,54.0,1.0,-53.0,41.5,29.75,-11.75,-41.25
46_0607,46,South Dakota,_,Crack Sealing,crack_sealing,2013,10,10,52.0,0.0,-52.0,15.7,0.2,-15.5,-36.5
46_0608,46,South Dakota,_,Crack Sealing,crack_sealing,2013,8,8,33.0,0.0,-33.0,20.875,0.0,-20.875,-12.125
46_0660,46,South Dakota,_,Crack Sealing,crack_sealing,2013,8,8,46.0,0.0,-46.0,19.25,0.0,-19.25,-26.75
46_0605,46,South Dakota,_,"Crack Sealing, Lane-Shoulder Longitudinal Joint Sealing",crack_sealing,2005,10,10,0.0,1.0,1.0,1.2,5.4,4.2,-3.2
46_0601,46,South Dakota,_,"AC Shoulder Restoration, Asphalt Concrete Overlay",asphalt_overlay,2003,8,8,16.0,0.0,-16.0,6.875,1.25,-5.625,-10.375
46_0602,46,South Dakota,_,"AC Shoulder Restoration, Asphalt Concrete Overlay",asphalt_overlay,2003,8,8,14.0,1.0,-13.0,7.125,1.125,-6.0,-7.0
17_0605,17,Illinois,_,Skin Patching (hand tools/hot pot to apply liquid asphalt and aggregate),patching,2008,8,8,0.0,1.0,1.0,17.375,24.0,6.625,-5.625
17_0602,17,Illinois,_,Skin Patching (hand tools/hot pot to apply liquid asphalt and aggregate),patching,2005,8,8,2.0,0.0,-2.0,14.25,14.875,0.625,-2.625
9_4020,9,Connecticut,4_2,"AC Shoulder Restoration, Patch Pot Holes - Hand Spread, Compacted with Truck, Longitudinal Subdrains",patching,2013,8,1,15.0,25.0,10.0,11.0,11.0,0.0,10.0
19_0601,19,Iowa,_,Crack Sealing,crack_sealing,2007,8,2,1.0,7.0,6.0,1.5,7.0,5.5,0.5
38_0215,38,North Dakota,_,"AC Shoulder Restoration, Partial depth patching of PCC pavements at joints",patching,2016,8,8,0.0,0.0,0.0,0.375,0.375,0.0,0.0
38_0216,38,North Dakota,_,AC Shoulder Restoration,shoulder_restoration,2016,10,10,0.0,0.0,0.0,0.3,0.3,0.0,0.0
38_0217,38,North Dakota,_,Grinding Surface,grinding,2011,11,11,0.0,5.0,5.0,0.0,0.0,0.0,5.0
55_0907,55,Wisconsin,_,"Full Depth Patch of AC Pavement (removing damaged material, repairing supporting material, and repairing)",patching,2012,5,4,52.0,51.0,-1.0,42.0,17.25,-24.75,23.75
25_1002,25,Massachusetts,2_391,"Patch Pot Holes - Hand Spread, Compacted with Truck",patching,2000,2,2,36.0,50.0,14.0,23.0,19.5,-3.5,17.5
5_A605,5,Arkansas,3_65,Partial Depth Patching of PCC Pavement Other Than at Joint,patching,2011,8,7,0.0,0.0,0.0,16.857142857142858,25.142857142857142,8.285714285714285,-8.285714285714285
5_A601,5,Arkansas,3_65,"Partial depth patching of PCC pavements at joints, Partial Depth Patching of PCC Pavement Other Than at Joint",patching,2008,14,11,0.0,0.0,0.0,8.454545454545455,10.818181818181818,2.3636363636363633,-2.3636363636363633
17_0607,17,Illinois,_,"Full Depth Patch of AC Pavement (removing damaged material, repairing supporting material, and repairing)",patching,2006,8,8,54.0,51.0,-3.0,30.75,50.25,19.5,-22.5
17_0659,17,Illinois,_,Skin Patching (hand tools/hot pot to apply liquid asphalt and aggregate),patching,2006,9,9,22.0,24.0,2.0,25.11111111111111,30.666666666666668,5.555555555555557,-3.555555555555557
17_0662,17,Illinois,_,Skin Patching (hand tools/hot pot to apply liquid asphalt and aggregate),patching,2006,13,13,43.0,53.0,10.0,15.76923076923077,19.0,3.23076923076923,6.76923076923077
17_0606,17,Illinois,_,Skin Patching (hand tools/hot pot to apply liquid asphalt and aggregate),patching,2002,13,12,5.0,18.0,13.0,32.833333333333336,3.8333333333333335,-29.000000000000004,42.0
40_0605,40,Oklahoma,_,Partial Depth Patching of PCC Pavement Other Than at Joint,patching,2003,12,7,50.0,58.0,8.0,20.285714285714285,19.428571428571427,-0.8571428571428577,8.857142857142858
6_0664,6,California,_,"Crack Sealing, Full Depth Patch of AC Pavement (removing damaged material, repairing supporting material, and repairing), Patch Pot Holes - Hand Spread, Compacted with Truck",crack_sealing,2004,9,8,23.0,24.0,1.0,,,,
6_0604,6,California,_,"Crack Sealing, Full Depth Patch of AC Pavement (removing damaged material, repairing supporting material, and repairing)",crack_sealing,2004,9,8,34.0,1.0,-33.0,,,,
6_0663,6,California,_,Full Depth Patching of PCC Pavement Other Than at Joint,patching,2003,12,12,40.0,15.0,-25.0,,,,
42_0602,42,Pennsylvania,_,Skin Patching (hand tools/hot pot to apply liquid asphalt and aggregate),patching,2004,8,8,24.0,18.0,-6.0,12.75,7.625,-5.125,-0.875
42_0601,42,Pennsylvania,_,Partial depth patching of PCC pavements at joints,patching,2003,8,8,13.0,29.0,16.0,9.25,12.125,2.875,13.125
42_0659,42,Pennsylvania,_,"Partial depth patching of PCC pavements at joints, Partial Depth Patching of PCC Pavement Other Than at Joint",patching,2001,8,8,11.0,0.0,-11.0,4.75,5.5,0.75,-11.75
42_0605,42,Pennsylvania,_,"Partial depth patching of PCC pavements at joints, Partial Depth Patching of PCC Pavement Other Than at Joint",patching,2001,11,11,25.0,25.0,0.0,2.1818181818181817,1.7272727272727273,-0.45454545454545436,0.45454545454545436
29_0602,29,Missouri,_,"Transverse Joint Sealing, Lane-Shoulder Longitudinal Joint Sealing, Full Depth Patching of PCC Pavement Other Than at Joint",crack_sealing,1999,10,10,30.0,31.0,1.0,9.0,12.0,3.0,-2.0
29_0605,29,Missouri,_,"Transverse Joint Sealing, Lane-Shoulder Longitudinal Joint Sealing, Full Depth Patching of PCC Pavement Other Than at Joint",crack_sealing,1999,15,13,32.0,35.0,3.0,6.923076923076923,11.307692307692308,4.384615384615385,-1.384615384615385
55_0901,55,Wisconsin,_,Mill Off AC and Overlay with AC,asphalt_overlay,2013,5,4,7.0,0.0,-7.0,28.25,0.0,-28.25,21.25
55_0908,55,Wisconsin,_,Mill Off AC and Overlay with AC,asphalt_overlay,2013,5,4,26.0,0.0,-26.0,23.5,0.0,-23.5,-2.5
28_5803,28,Mississippi,3_78,Asphalt Concrete Overlay,asphalt_overlay,2012,6,2,42.0,0.0,-42.0,30.5,6.5,-24.0,-18.0
55_B907,55,Wisconsin,2_43,Mill Off AC and Overlay with AC,asphalt_overlay,2012,12,11,32.0,0.0,-32.0,23.727272727272727,0.6363636363636364,-23.09090909090909,-8.90909090909091
55_B909,55,Wisconsin,2_43,Mill Off AC and Overlay with AC,asphalt_overlay,2012,9,8,37.0,0.0,-37.0,32.0,0.875,-31.125,-5.875
55_B902,55,Wisconsin,2_43,Mill Off AC and Overlay with AC,asphalt_overlay,2012,12,11,0.0,6.0,6.0,26.636363636363637,0.09090909090909091,-26.545454545454547,32.54545454545455
55_0902,55,Wisconsin,_,Mill Off AC and Overlay with AC,asphalt_overlay,2011,5,4,54.0,1.0,-53.0,41.5,29.75,-11.75,-41.25
46_0603,46,South Dakota,_,Crack Sealing,crack_sealing,2013,10,10,4.0,0.0,-4.0,20.5,0.2,-20.3,16.3
46_0662,46,South Dakota,_,Crack Sealing,crack_sealing,2013,10,10,41.0,0.0,-41.0,16.8,0.2,-16.6,-24.4
46_0607,46,South Dakota,_,"AC Shoulder Restoration, Mill Off AC and Overlay with AC",asphalt_overlay,2011,10,10,52.0,0.0,-52.0,15.7,0.2,-15.5,-36.5
46_0608,46,South Dakota,_,"AC Shoulder Restoration, Mill Off AC and Overlay with AC",asphalt_overlay,2011,8,8,33.0,0.0,-33.0,20.875,0.0,-20.875,-12.125
46_0660,46,South Dakota,_,"AC Shoulder Restoration, Mill Off AC and Overlay with AC",asphalt_overlay,2011,8,8,46.0,0.0,-46.0,19.25,0.0,-19.25,-26.75
