column_name,field_alias,field_description,field_unit,field_codetype,unit_system,table_alias,table_description,class_name,semantic_type,missing_count,missing_pct,n_unique,example_values
STATE_CODE,State Code,Numerical code for state or province. U.S. codes are consistent with Federal Information Processing Standards.,,STATE_PROVINCE,,Experiment Section,"Contains the time history of changes in construction numbers, experiment designations, and reasons for these changes.",Experiment Type and Improvement (M&R) History,id,0,0.0,62,19 | 83 | 46 | 42 | 89
STATE_CODE_EXP,State Code (Code Expansion),Numerical code for state or province. U.S. codes are consistent with Federal Information Processing Standards. (Code Expansion),,,,Experiment Section,"Contains the time history of changes in construction numbers, experiment designations, and reasons for these changes.",Experiment Type and Improvement (M&R) History,descriptive,0,0.0,62,Iowa | Manitoba | South Dakota | Pennsylvania | Quebec
SHRP_ID,LTPP Section Identifier,Test section identification number assigned by LTPP program. Must be combined with STATE_CODE to be unique.,,,,Experiment Section,"Contains the time history of changes in construction numbers, experiment designations, and reasons for these changes.",Experiment Type and Improvement (M&R) History,id,0,0.0,1064,0605 | 6454 | 0602 | 0601 | 3015
CONSTRUCTION_NO,Construction Number,Event number used to relate changes in pavement structure with other time dependent data elements. This field is set to 1 when a test section is initially accepted into LTPP and is incremented with each change to the layer structure.,,,,Experiment Section,"Contains the time history of changes in construction numbers, experiment designations, and reasons for these changes.",Experiment Type and Improvement (M&R) History,id,0,0.0,15,1 | 15 | 14 | 2 | 13
CN_ASSIGN_DATE,Construction Number Assign Date,"The assignment date for the beginning of a construction event. It is equal to acceptance date when a test section is first included in LTPP, i.e. CONSTRUCTION_NO = 1.",,,,Experiment Section,"Contains the time history of changes in construction numbers, experiment designations, and reasons for these changes.",Experiment Type and Improvement (M&R) History,date,0,0.0,1448,1987-01-01 | 2012-08-07 | 2017-06-01 | 2019-06-01 | 2007-06-01
CN_CHANGE_REASON,Construction Number Change Reason Code,IMP_TYPE rehabilitation and maintenance activity codes that caused the change in Construction Number (CONSTRUCTION_NO).,,MAINT_WORK,,Experiment Section,"Contains the time history of changes in construction numbers, experiment designations, and reasons for these changes.",Experiment Type and Improvement (M&R) History,treatment_code,2829,35.65666750693219,475,"22 | 19 | 27 | 31 | 38,50,54"
CN_CHANGE_REASON_EXP,Construction Number Change Reason Code (Code Expansion),IMP_TYPE rehabilitation and maintenance activity codes that caused the change in Construction Number (CONSTRUCTION_NO). (Code Expansion),,,,Experiment Section,"Contains the time history of changes in construction numbers, experiment designations, and reasons for these changes.",Experiment Type and Improvement (M&R) History,treatment_label,2840,35.795311318376605,406,"Manual Premix Spot Patch (hand spreading and compacting with roller) | Asphalt Concrete Overlay | Strip Patching (using spreader and distributor to apply hot liquid asphalt and aggregate) | Aggregate Seal Coat | Longitudinal Subdrains, Joint Load Transfer Restoration in PCC Pavements, Partial depth patching of PCC pavements at joints"
RECORD_STATUS,Record Status,A code indicating the general quality of the data.,,,,Experiment Section,"Contains the time history of changes in construction numbers, experiment designations, and reasons for these changes.",Experiment Type and Improvement (M&R) History,status,0,0.0,1,E
GPS_SPS,Experiment Classification Code,Code indicating if the section is a GPS or SPS section.,,GPS_SPS,,Experiment Section,"Contains the time history of changes in construction numbers, experiment designations, and reasons for these changes.",Experiment Type and Improvement (M&R) History,experiment_code,0,0.0,2,S | G
GPS_SPS_EXP,Experiment Classification Code (Code Expansion),Code indicating if the section is a GPS or SPS section. (Code Expansion),,,,Experiment Section,"Contains the time history of changes in construction numbers, experiment designations, and reasons for these changes.",Experiment Type and Improvement (M&R) History,experiment_code,0,0.0,2,Specific Pavement Studies | General Pavement Studies
