node_id,state_code,shrp_id,construction_no,event_start_date,event_end_date,event_year,cn_change_reason,cn_change_reason_exp,treatment_label,broad_treatment_group,experiment_no,experiment_label,status,status_label,gps_sps,gps_sps_label,state_name,route_key,functional_class,NO_OF_LANES
19_0605,19,0605,1,1987-01-01,1997-07-13,1987,,,,unknown,6,Rehabilitation of Jointed PCC Pavement,O,Out-of-study,S,Specific Pavement Studies,Iowa,_,,
83_6454,83,6454,15,2012-08-07,2017-05-15,2012,22,Manual Premix Spot Patch (hand spreading and compacting with roller),Manual Premix Spot Patch (hand spreading and compacting with roller),patching,6S,AC Overlay on AC Pavement with Milling and/or Fabric Pretreatment,O,Out-of-study,G,General Pavement Studies,State 83,,,
19_0602,19,0602,14,2017-06-01,2019-03-06,2017,19,Asphalt Concrete Overlay,Asphalt Concrete Overlay,asphalt_overlay,7D,"Multiple AC Overlays with Conventional Asphalt Cement on PCC Pavement, with No Pretreatment",O,Out-of-study,G,General Pavement Studies,Iowa,_,,
46_0601,46,0601,14,2019-06-01,,2019,27,Strip Patching (using spreader and distributor to apply hot liquid asphalt and aggregate),Strip Patching (using spreader and distributor to apply hot liquid asphalt and aggregate),patching,7S,AC Overlay on PCC Pavement with Pretreatment,,,G,General Pavement Studies,South Dakota,_,,
83_6454,83,6454,14,2007-06-01,2017-05-15,2007,31,Aggregate Seal Coat,Aggregate Seal Coat,seal_coat,6S,AC Overlay on AC Pavement with Milling and/or Fabric Pretreatment,O,Out-of-study,G,General Pavement Studies,State 83,,,
19_0605,19,0605,2,1989-07-17,1997-07-13,1989,"38,50,54","Longitudinal Subdrains, Joint Load Transfer Restoration in PCC Pavements, Partial depth patching of PCC pavements at joints","Longitudinal Subdrains, Joint Load Transfer Restoration in PCC Pavements, Partial depth patching of PCC pavements at joints",patching,6,Rehabilitation of Jointed PCC Pavement,O,Out-of-study,S,Specific Pavement Studies,Iowa,_,,
19_0601,19,0601,13,2017-06-01,2019-03-06,2017,19,Asphalt Concrete Overlay,Asphalt Concrete Overlay,asphalt_overlay,7D,"Multiple AC Overlays with Conventional Asphalt Cement on PCC Pavement, with No Pretreatment",O,Out-of-study,G,General Pavement Studies,Iowa,_,,
46_0601,46,0601,13,2013-06-01,,2013,1,Crack Sealing,Crack Sealing,crack_sealing,7S,AC Overlay on PCC Pavement with Pretreatment,,,G,General Pavement Studies,South Dakota,_,,
46_0602,46,0602,13,2013-06-01,,2013,1,Crack Sealing,Crack Sealing,crack_sealing,7S,AC Overlay on PCC Pavement with Pretreatment,,,G,General Pavement Studies,South Dakota,_,,
83_6454,83,6454,13,1999-06-30,2017-05-15,1999,1,Crack Sealing,Crack Sealing,crack_sealing,6S,AC Overlay on AC Pavement with Milling and/or Fabric Pretreatment,O,Out-of-study,G,General Pavement Studies,State 83,,,
