broad_treatment_group,count,breakdown,treatment_label,event_year,state_name,functional_class
asphalt_overlay,1219,broad_treatment_group,,,,
crack_sealing,1409,broad_treatment_group,,,,
grinding,124,broad_treatment_group,,,,
other_maintenance,1,broad_treatment_group,,,,
patching,1639,broad_treatment_group,,,,
reconstruction_or_major_rehab,66,broad_treatment_group,,,,
seal_coat,519,broad_treatment_group,,,,
shoulder_restoration,117,broad_treatment_group,,,,
unknown,2840,broad_treatment_group,,,,
asphalt_overlay,6,broad_treatment_group + treatment_label,"AC Shoulder Replacement, Asphalt Concrete Overlay",,,
asphalt_overlay,1,broad_treatment_group + treatment_label,"AC Shoulder Replacement, Asphalt Concrete Overlay, Aggregate Seal Coat",,,
asphalt_overlay,4,broad_treatment_group + treatment_label,"AC Shoulder Replacement, Asphalt Concrete Overlay, Fracture Treatment of PCC Pavement as Base for New AC Surface",,,
asphalt_overlay,1,broad_treatment_group + treatment_label,"AC Shoulder Replacement, Asphalt Concrete Overlay, Full Depth Patch of AC Pavement (removing damaged material, repairing supporting material, and repairing), Longitudinal Subdrains, Transverse Subdrainage, Other",,,
asphalt_overlay,2,broad_treatment_group + treatment_label,"AC Shoulder Replacement, Asphalt Concrete Overlay, Hot-Mix Recycled Asphalt Concrete Overlay",,,
asphalt_overlay,2,broad_treatment_group + treatment_label,"AC Shoulder Replacement, Asphalt Concrete Overlay, Longitudinal Subdrains",,,
asphalt_overlay,5,broad_treatment_group + treatment_label,"AC Shoulder Replacement, Asphalt Concrete Overlay, Longitudinal Subdrains, Fracture Treatment of PCC Pavement as Base for New AC Surface",,,
asphalt_overlay,2,broad_treatment_group + treatment_label,"AC Shoulder Replacement, Asphalt Concrete Overlay, Longitudinal Subdrains, Full Depth Transverse Joint Repair Patch, Fracture Treatment of PCC Pavement as Base for New AC Surface, PCC Slab Replacement",,,
asphalt_overlay,1,broad_treatment_group + treatment_label,"AC Shoulder Replacement, Asphalt Concrete Overlay, Longitudinal Subdrains, Full Depth Transverse Joint Repair Patch, Joint Load Transfer Restoration in PCC Pavements",,,
asphalt_overlay,1,broad_treatment_group + treatment_label,"AC Shoulder Replacement, Asphalt Concrete Overlay, Longitudinal Subdrains, Full Depth Transverse Joint Repair Patch, PCC Slab Replacement",,,
asphalt_overlay,1,broad_treatment_group + treatment_label,"AC Shoulder Replacement, Asphalt Concrete Overlay, Longitudinal Subdrains, Full Depth Transverse Joint Repair Patch, Partial Depth Patching of PCC Pavement Other Than at Joint, PCC Slab Replacement",,,
asphalt_overlay,1,broad_treatment_group + treatment_label,"AC Shoulder Replacement, Asphalt Concrete Overlay, Mill Existing Pavement and Overlay with Hot-Mix Recycled AC",,,
asphalt_overlay,1,broad_treatment_group + treatment_label,"AC Shoulder Replacement, Full Depth Patch of AC Pavement (removing damaged material, repairing supporting material, and repairing), Hot-Mix Recycled Asphalt Concrete Overlay",,,
asphalt_overlay,1,broad_treatment_group + treatment_label,"AC Shoulder Replacement, Grinding Surface, Asphalt Concrete Overlay, Longitudinal Subdrains",,,
asphalt_overlay,9,broad_treatment_group + treatment_label,"AC Shoulder Replacement, Mill Existing Pavement and Overlay with Hot-Mix Recycled AC",,,
asphalt_overlay,10,broad_treatment_group + treatment_label,"AC Shoulder Replacement, Mill Off AC and Overlay with AC",,,
asphalt_overlay,81,broad_treatment_group + treatment_label,"AC Shoulder Restoration, Asphalt Concrete Overlay",,,
asphalt_overlay,4,broad_treatment_group + treatment_label,"AC Shoulder Restoration, Asphalt Concrete Overlay, Fog Seal Coat",,,
asphalt_overlay,2,broad_treatment_group + treatment_label,"AC Shoulder Restoration, Asphalt Concrete Overlay, Fog Seal Coat, Hot-Mix Recycled Asphalt Concrete Overlay",,,
asphalt_overlay,2,broad_treatment_group + treatment_label,"AC Shoulder Restoration, Asphalt Concrete Overlay, Fog Seal Coat, Mill Off AC and Overlay with AC",,,
asphalt_overlay,18,broad_treatment_group + treatment_label,"AC Shoulder Restoration, Asphalt Concrete Overlay, Fracture Treatment of PCC Pavement as Base for New AC Surface",,,
asphalt_overlay,3,broad_treatment_group + treatment_label,"AC Shoulder Restoration, Asphalt Concrete Overlay, Full Depth Patch of AC Pavement (removing damaged material, repairing supporting material, and repairing)",,,
asphalt_overlay,1,broad_treatment_group + treatment_label,"AC Shoulder Restoration, Asphalt Concrete Overlay, Full Depth Patching of PCC Pavement Other Than at Joint",,,
asphalt_overlay,1,broad_treatment_group + treatment_label,"AC Shoulder Restoration, Asphalt Concrete Overlay, Full Depth Patching of PCC Pavement Other Than at Joint, PCC Slab Replacement",,,
asphalt_overlay,6,broad_treatment_group + treatment_label,"AC Shoulder Restoration, Asphalt Concrete Overlay, Full Depth Transverse Joint Repair Patch",,,
asphalt_overlay,1,broad_treatment_group + treatment_label,"AC Shoulder Restoration, Asphalt Concrete Overlay, Full Depth Transverse Joint Repair Patch, Full Depth Patching of PCC Pavement Other Than at Joint",,,
asphalt_overlay,1,broad_treatment_group + treatment_label,"AC Shoulder Restoration, Asphalt Concrete Overlay, Full Depth Transverse Joint Repair Patch, Full Depth Patching of PCC Pavement Other Than at Joint, Partial Depth Patching of PCC Pavement Other Than at Joint",,,
asphalt_overlay,1,broad_treatment_group + treatment_label,"AC Shoulder Restoration, Asphalt Concrete Overlay, Full Depth Transverse Joint Repair Patch, Full Depth Patching of PCC Pavement Other Than at Joint, Partial depth patching of PCC pavements at joints, Partial Depth Patching of PCC Pavement Other Than at Joint",,,
asphalt_overlay,1,broad_treatment_group + treatment_label,"AC Shoulder Restoration, Asphalt Concrete Overlay, Full Depth Transverse Joint Repair Patch, Joint Load Transfer Restoration in PCC Pavements, Partial depth patching of PCC pavements at joints",,,
asphalt_overlay,2,broad_treatment_group + treatment_label,"AC Shoulder Restoration, Asphalt Concrete Overlay, Full Depth Transverse Joint Repair Patch, PCC Slab Replacement",,,
