model_family,graph_variant,target,gcn_test_r2,gcn_test_rmse,ridge_test_r2,ridge_test_rmse,rf_test_r2,rf_test_rmse,gcn_without_maint_r2,gcn_without_maint_rmse,gcn_with_maint_r2,gcn_with_maint_rmse,gcn_maint_gain_r2,train_transitions,val_transitions,test_transitions
static,spatial,delta_vht_proxy,0.671662449836731,2072404.6095142714,0.4717341661453247,2628697.1547015454,,,,,,,,,,
static,spatial,connectivity_loss_pct,-0.11617493629455566,0.0011130201040523598,-1.9198119640350342,0.0018001732569723884,,,,,,,,,,
static,spatial,disconnected_od_pct,0.7627550959587097,0.022737840887234614,0.7099940776824951,0.02513935858492686,,,,,,,,,,
static,spatial,disruption_score,0.6802744269371033,2275472.931477762,0.5053032636642456,2830430.748052317,,,,,,,,,,
temporal,spatial,HPMS16_CRACKING_PERCENT_AC_t1,,,0.0801925323854139,14.785910487231698,0.42968331423009176,11.642805599360273,0.06682521104812622,14.892962213284774,0.09362608194351196,14.677540360702098,0.026800870895385742,10800.0,236.0,170.0
static,spatial_route,delta_vht_proxy,0.21484613418579102,128125146.92214477,0.28133684396743774,122580016.34416416,,,,,,,,,,
static,spatial_route,connectivity_loss_pct,0.23855608701705933,0.012931208187971256,0.0006868243217468262,0.014813952846950373,,,,,,,,,,
static,spatial_route,disconnected_od_pct,0.23333990573883057,0.056661219798918236,0.23545390367507935,0.05658304642177122,,,,,,,,,,
static,spatial_route,disruption_score,0.21243137121200562,170932487.22925228,0.24911010265350342,166904688.55525056,,,,,,,,,,
temporal,spatial_route,HPMS16_CRACKING_PERCENT_AC_t1,,,0.0801925323854139,14.785910487231698,0.4296833142300919,11.642805599360273,0.07080656290054321,14.861158069445297,0.09692829847335815,14.650778458779662,0.02612173557281494,10800.0,236.0,170.0
static,full_refined,delta_vht_proxy,0.3458225727081299,116951223.03055461,0.28469783067703247,122293042.72738515,,,,,,,,,,
static,full_refined,connectivity_loss_pct,0.43665778636932373,0.01112259950043747,0.0032758116722106934,0.014794750456556593,,,,,,,,,,
static,full_refined,disconnected_od_pct,0.36523860692977905,0.05155725127295419,0.2410392165184021,0.056375986973439526,,,,,,,,,,
static,full_refined,disruption_score,0.3407365679740906,156390332.4384467,0.25296056270599365,166476210.74624303,,,,,,,,,,
temporal,full_refined,HPMS16_CRACKING_PERCENT_AC_t1,,,0.0801925323854139,14.785910487231698,0.4296833142300919,11.642805599360273,0.07032632827758789,14.864997642355231,0.0965428352355957,14.653904708908593,0.026216506958007812,10800.0,236.0,170.0
