YEAR,total_panel_rows,rows_with_any_monthlyagg_missing,rows_with_all_monthlyagg_missing,percent_rows_with_any_monthlyagg_missing,percent_rows_with_all_monthlyagg_missing
1988,2426,0,0,0.0,0.0
1989,2426,0,0,0.0,0.0
1990,2426,0,0,0.0,0.0
1991,2426,0,0,0.0,0.0
1992,2426,0,0,0.0,0.0
1993,2426,0,0,0.0,0.0
1994,2426,0,0,0.0,0.0
1995,2426,0,0,0.0,0.0
1996,2426,0,0,0.0,0.0
1997,2426,0,0,0.0,0.0
1998,2426,0,0,0.0,0.0
1999,2426,0,0,0.0,0.0
2000,2426,0,0,0.0,0.0
2001,2426,0,0,0.0,0.0
2002,2426,0,0,0.0,0.0
2003,2426,0,0,0.0,0.0
2004,2426,0,0,0.0,0.0
2005,2426,0,0,0.0,0.0
2006,2426,0,0,0.0,0.0
2007,2426,0,0,0.0,0.0
2008,2426,0,0,0.0,0.0
2009,2426,0,0,0.0,0.0
2010,2426,0,0,0.0,0.0
2011,2426,0,0,0.0,0.0
2012,2426,0,0,0.0,0.0
2013,2426,0,0,0.0,0.0
2014,2426,0,0,0.0,0.0
2015,2426,0,0,0.0,0.0
2016,2426,0,0,0.0,0.0
2017,2426,0,0,0.0,0.0
2018,2426,0,0,0.0,0.0
2019,2426,0,0,0.0,0.0
2020,2426,0,0,0.0,0.0
2021,2426,0,0,0.0,0.0
2022,2426,0,0,0.0,0.0
2023,2426,0,0,0.0,0.0
2024,2426,0,0,0.0,0.0
