attempt,component_rank,component_size,lat_min,lat_max,lon_min,lon_max,bbox_north,bbox_south,bbox_east,bbox_west,bbox_diagonal_km,status,graph_nodes,graph_edges,median_snap_m,snap_share_lt_100m,snap_share_lt_500m,snap_share_lt_1000m
1,1,141,27.7877197265625,35.20922088623047,-99.06803,-93.97768,35.38922088623047,27.6077197265625,-93.79768,-99.24803,1007.3666756281677,skipped_bbox_too_large,0,0,,,,
2,2,104,38.371578216552734,41.05873107910156,-77.78757,-73.79612,41.23873107910156,38.191578216552735,-73.61612,-77.96757000000001,503.199669856513,skipped_bbox_too_large,0,0,,,,
3,3,57,34.13637161254883,35.331539154052734,-92.70532,-87.36156,35.511539154052734,33.95637161254883,-87.18155999999999,-92.88532000000001,549.0487906013005,skipped_bbox_too_large,0,0,,,,
4,4,54,35.142181396484375,36.9581184387207,-81.34982,-77.95882,37.1381184387207,34.962181396484375,-77.77882,-81.52982,414.9814816153204,skipped_bbox_too_large,0,0,,,,
5,5,52,31.923419952392575,35.9134407043457,-85.97913,-82.06245,36.0934407043457,31.743419952392575,-81.88244999999999,-86.15913,624.0956717973586,skipped_bbox_too_large,0,0,,,,
6,6,49,38.88108825683594,40.433349609375,-83.99748,-82.90201,40.613349609375,38.70108825683594,-82.72201,-84.17748,246.44077969464706,fetch_failed,0,0,,,,
7,7,49,33.54227066040039,36.391170501708984,-99.33781,-97.4161,36.571170501708984,33.36227066040039,-97.2361,-99.51781000000001,412.9349516539459,skipped_bbox_too_large,0,0,,,,
8,8,42,38.62290954589844,40.2039909362793,-95.713,-93.55797,40.3839909362793,38.44290954589844,-93.37796999999999,-95.893,305.37160642610917,skipped_bbox_too_large,0,0,,,,
9,9,41,45.82146835327149,48.42136001586914,-120.33372,-116.49993,48.60136001586914,45.64146835327149,-116.31993,-120.51372,457.0404890086917,skipped_bbox_too_large,0,0,,,,
10,10,40,33.64582824707031,36.17359161376953,-115.55631,-113.88098,36.35359161376953,33.46582824707031,-113.70097999999999,-115.73631,370.8562741972547,skipped_bbox_too_large,0,0,,,,
11,11,39,44.826961517333984,44.88166046142578,-89.32027,-89.23534,45.06166046142578,44.646961517333985,-89.05533999999999,-89.50027,57.93444684323448,accepted,1948,4731,3.9767871712864453,1.0,1.0,1.0
12,12,38,39.929298400878906,42.46363067626953,-91.67071,-86.8544,42.64363067626953,39.74929840087891,-86.67439999999999,-91.85071,539.4121471069166,skipped_bbox_too_large,0,0,,,,
13,13,37,44.125,46.02592849731445,-95.03664,-92.70241,46.20592849731445,43.945,-92.52241,-95.21664000000001,328.53308136707193,skipped_bbox_too_large,0,0,,,,
14,14,35,33.24610900878906,33.602298736572266,-112.86384,-112.25341,33.782298736572265,33.06610900878906,-112.07341,-113.04384,120.21926734392811,accepted,74368,189758,2.3695120777733005,1.0,1.0,1.0
15,15,33,37.92757034301758,39.66701889038086,-112.76629,-111.84111,39.84701889038086,37.74757034301758,-111.66111,-112.94629,258.6473953423296,skipped_bbox_too_large,0,0,,,,
16,16,32,37.744930267333984,38.871620178222656,-90.75815,-88.94569,39.051620178222656,37.564930267333985,-88.76568999999999,-90.93815000000001,251.49882774050994,skipped_bbox_too_large,0,0,,,,
17,17,31,42.86241912841797,43.71477127075195,-85.81817,-84.51893,43.89477127075195,42.68241912841797,-84.33892999999999,-85.99817,190.27923958986906,fetch_failed,0,0,,,,
18,18,31,26.47934913635254,27.393280029296875,-80.68348,-80.07814,27.573280029296875,26.29934913635254,-79.89814,-80.86348000000001,170.94749844895998,fetch_failed,0,0,,,,
19,19,30,42.031131744384766,43.83539962768555,-90.00935,-87.77141,44.01539962768555,41.851131744384766,-87.59141,-90.18935,320.35206920153587,skipped_bbox_too_large,0,0,,,,
20,20,30,37.60847091674805,38.02629852294922,-99.75375,-97.3446,38.20629852294922,37.42847091674805,-97.1646,-99.93375,258.14991460479126,skipped_bbox_too_large,0,0,,,,
21,21,30,40.8166389465332,41.109981536865234,-115.02989,-114.18224,41.289981536865234,40.6366389465332,-114.00223999999999,-115.20989,124.73859110547772,fetch_failed,0,0,,,,
22,22,27,41.845428466796875,42.65256118774414,-113.38119,-110.92312,42.83256118774414,41.665428466796875,-110.74311999999999,-113.56119000000001,265.77153971822787,skipped_bbox_too_large,0,0,,,,
23,23,26,30.43651008605957,31.394420623779297,-85.62927,-84.0583,31.574420623779297,30.25651008605957,-83.8783,-85.80927000000001,235.38165120655998,fetch_failed,0,0,,,,
24,24,26,26.69182014465332,27.000410079956055,-98.11354,-97.79466,27.180410079956054,26.51182014465332,-97.61465999999999,-98.29354000000001,100.3156765167781,accepted,1452,3073,3.2971044888803123,1.0,1.0,1.0
