component_rank,node_id,latitude,longitude,snap_m,snapped_edge,status
11,55_0113,44.88101959228515,-89.31371,3.8272358564408484,"(147104492, 544551455, 0)",ok
11,55_0115,44.8680305480957,-89.29068,3.9942893224366407,"(147128637, 147065716, 0)",ok
11,55_0114,44.86518096923828,-89.28677,3.4257867738169736,"(147128637, 147065716, 0)",ok
11,55_0116,44.880470275878906,-89.3111,6.54475056941549,"(147104492, 544551455, 0)",ok
11,55_0117,44.86643981933594,-89.28852,3.2914258582177873,"(147128637, 147065716, 0)",ok
11,55_0118,44.87929916381836,-89.30756,5.327995565094113,"(147065716, 147104492, 0)",ok
11,55_0119,44.87314987182617,-89.29766,3.9767871712864453,"(147128637, 147065716, 0)",ok
11,55_0120,44.87590026855469,-89.30141,3.8766330992732856,"(147128637, 147065716, 0)",ok
11,55_0121,44.874488830566406,-89.29955,0.1174831852062984,"(147128637, 147065716, 0)",ok
11,55_0122,44.87826156616211,-89.30523,6.595293855186842,"(147065716, 147104492, 0)",ok
11,55_0123,44.86978912353515,-89.29307,4.675924690037686,"(147128637, 147065716, 0)",ok
11,55_0124,44.87118148803711,-89.29498,3.9422540638885804,"(147128637, 147065716, 0)",ok
11,55_0805,44.88166046142578,-89.32027,2.4970229747212502,"(147039452, 147039411, 0)",ok
11,55_0806,44.88161849975586,-89.31584,4.087029696345151,"(147039452, 147039411, 0)",ok
11,55_0213,44.839599609375,-89.25584,0.03001157694222543,"(147176244, 147136449, 0)",ok
11,55_0214,44.847049713134766,-89.26206,5.191580463314536,"(147136449, 147101059, 0)",ok
11,55_0215,44.85416030883789,-89.27174,3.3032890878911894,"(147101059, 147128637, 0)",ok
11,55_0216,44.83066177368164,-89.25008,4.822817840547906,"(147176244, 147136449, 0)",ok
11,55_0217,44.83380889892578,-89.25318,1.6690634403728652,"(147176244, 147136449, 0)",ok
11,55_0218,44.8509407043457,-89.26737,3.307775268862017,"(147101059, 147128637, 0)",ok
11,55_0219,44.85237121582031,-89.26928,4.833158786553385,"(147101059, 147128637, 0)",ok
11,55_0220,44.832149505615234,-89.2518,2.926888708535886,"(147176244, 147136449, 0)",ok
11,55_0221,44.828269958496094,-89.24567,5.215493795457644,"(147176244, 147136449, 0)",ok
11,55_0222,44.84560012817383,-89.26028,2.234872877628502,"(147136449, 147101059, 0)",ok
11,55_0223,44.84402084350586,-89.25871,3.0204964867742743,"(147136449, 147101059, 0)",ok
11,55_0224,44.82936096191406,-89.24805,5.0072865022319135,"(147176244, 147136449, 0)",ok
11,55_0259,44.8272705078125,-89.23811,4.407643854435109,"(147136295, 3866280275, 0)",ok
11,55_0260,44.8272590637207,-89.23534,4.799598442800104,"(147136295, 3866280275, 0)",ok
11,55_0261,44.84236907958984,-89.2574,2.3250102072154912,"(147136449, 147101059, 0)",ok
11,55_0262,44.84917068481445,-89.26494,4.174346750641201,"(147101059, 147128637, 0)",ok
11,55_0263,44.827301025390625,-89.24068,5.337134518043058,"(147136295, 3866280275, 0)",ok
11,55_0264,44.82701110839844,-89.24004,0.6405132863732417,"(3866280274, 147138564, 0)",ok
11,55_0265,44.826961517333984,-89.23725,3.8124404800320093,"(3866280274, 147138564, 0)",ok
11,55_0266,44.83517074584961,-89.2544,4.600812461854007,"(147171663, 3866280278, 0)",ok
11,55_C901,44.86360168457031,-89.28458,2.8453584058961066,"(147101059, 147128637, 0)",ok
11,55_C902,44.85966873168945,-89.27925,5.635338732337235,"(147101059, 147128637, 0)",ok
11,55_C903,44.85770034790039,-89.27653,6.715013641947047,"(147101059, 147128637, 0)",ok
11,55_C959,44.861549377441406,-89.28185,4.26888153660437,"(147101059, 147128637, 0)",ok
11,55_C960,44.85567092895508,-89.2739,2.753556442789175,"(147101059, 147128637, 0)",ok
14,4_1001,33.4616584777832,-112.45048,5.2873121258006375,"(1906415073, 4851604069, 0)",ok
14,4_1006,33.43571853637695,-112.66109,1.4377278087741163,"(312681310, 315694614, 0)",ok
14,4_1007,33.436649322509766,-112.58182,0.7217018713720237,"(312682094, 312681916, 0)",ok
14,4_6055,33.24610900878906,-112.63847,3.1756249407663937,"(315423948, 8538586628, 0)",ok
14,4_7614,33.457908630371094,-112.32539,3.4619360466677613,"(7935950258, 321836342, 0)",ok
14,4_1003,33.48122024536133,-112.86384,1.097688116273879,"(1697025034, 41221470, 0)",ok
14,4_0213,33.446388244628906,-112.70996,3.658053697583573,"(335616865, 315694623, 0)",ok
14,4_0214,33.45256042480469,-112.73744,4.251369695221053,"(335616865, 315694623, 0)",ok
14,4_0215,33.44906997680664,-112.72188,3.7386220784314754,"(335616865, 315694623, 0)",ok
14,4_0216,33.44976043701172,-112.72496,3.907634915920607,"(335616865, 315694623, 0)",ok
14,4_0217,33.447471618652344,-112.71472,2.5873824563585393,"(335616865, 315694623, 0)",ok
14,4_0218,33.45151901245117,-112.73284,5.146062690848466,"(335616865, 315694623, 0)",ok
14,4_0219,33.44805145263672,-112.71724,1.1470084009997261,"(335616865, 315694623, 0)",ok
14,4_0220,33.45079040527344,-112.72953,3.553194016680781,"(335616865, 315694623, 0)",ok
14,4_0221,33.447120666503906,-112.71305,0.09822099809364271,"(335616865, 315694623, 0)",ok
14,4_0222,33.45206832885742,-112.73523,3.801695785331936,"(335616865, 315694623, 0)",ok
14,4_0223,33.44858932495117,-112.71979,4.917411216855363,"(335616865, 315694623, 0)",ok
14,4_0224,33.450260162353516,-112.72719,4.043993467322428,"(335616865, 315694623, 0)",ok
14,4_0260,33.44218826293945,-112.69119,0.39976885254738326,"(335616865, 315694623, 0)",ok
