table,field_name,field_alias,field_description,field_codetype,semantic_role,explicit_project_type,explicit_reason_for_intervention
PROJECT_HIST_AGE_EXP,STATE_CODE,State Code,Numerical code for state or province. U.S. codes are consistent with Federal Information Processing Standards.,STATE_PROVINCE,general_project_history,False,False
PROJECT_HIST_AGE_EXP,STATE_CODE_EXP,State Code (Code Expansion),Numerical code for state or province. U.S. codes are consistent with Federal Information Processing Standards. (Code Expansion),,general_project_history,False,False
PROJECT_HIST_AGE_EXP,SHRP_ID,LTPP Section Identifier,Test section identification number assigned by LTPP program. Must be combined with STATE_CODE to be unique.,,general_project_history,False,False
PROJECT_HIST_AGE_EXP,CONSTRUCTION_DATE,Construction Date,Date of latest (re)/construction. The date is entered as month and year only.,,date_of_intervention_or_opening; construction_reconstruction_history,False,False
PROJECT_HIST_AGE_EXP,TRAFFIC_OPEN_DATE,Traffic Open Date,Month and year pavement was originally opened to traffic.,,date_of_intervention_or_opening,False,False
PROJECT_HIST_AGE_EXP,YEAR_WIDENED,Year Widened,Last two digits of the year when the roadway was widened.,,widening_or_lane_change,True,False
PROJECT_HIST_AGE_EXP,ORIGINAL_NO_LANES,Original Number of Lanes,Code indicating original number of lanes.,,widening_or_lane_change,True,False
PROJECT_HIST_AGE_EXP,FINAL_NO_LANES,Final Number of Lanes,Number of lanes in survey direction subsequent to roadway widening,,widening_or_lane_change,True,False
PROJECT_HIST_AGE_EXP,LANE_ADDED_NO,Added Lane Number,Lane number of added lane.,,widening_or_lane_change,True,False
EXPERIMENT_SECTION,STATE_CODE,State Code,Numerical code for state or province. U.S. codes are consistent with Federal Information Processing Standards.,STATE_PROVINCE,experiment_history,False,False
EXPERIMENT_SECTION,STATE_CODE_EXP,State Code (Code Expansion),Numerical code for state or province. U.S. codes are consistent with Federal Information Processing Standards. (Code Expansion),,experiment_history,False,False
EXPERIMENT_SECTION,SHRP_ID,LTPP Section Identifier,Test section identification number assigned by LTPP program. Must be combined with STATE_CODE to be unique.,,experiment_history,False,False
EXPERIMENT_SECTION,CONSTRUCTION_NO,Construction Number,Event number used to relate changes in pavement structure with other time dependent data elements. This field is set to 1 when a test section is initially accepted into LTPP and is incremented with each change to the layer structure.,,construction_event_identifier,False,False
EXPERIMENT_SECTION,CN_ASSIGN_DATE,Construction Number Assign Date,"The assignment date for the beginning of a construction event. It is equal to acceptance date when a test section is first included in LTPP, i.e. CONSTRUCTION_NO = 1.",,dated_event_or_interval,False,False
EXPERIMENT_SECTION,CN_CHANGE_REASON,Construction Number Change Reason Code,IMP_TYPE rehabilitation and maintenance activity codes that caused the change in Construction Number (CONSTRUCTION_NO).,MAINT_WORK,maintenance_or_rehabilitation_reason_code,True,True
EXPERIMENT_SECTION,CN_CHANGE_REASON_EXP,Construction Number Change Reason Code (Code Expansion),IMP_TYPE rehabilitation and maintenance activity codes that caused the change in Construction Number (CONSTRUCTION_NO). (Code Expansion),,maintenance_or_rehabilitation_reason_code,True,True
EXPERIMENT_SECTION,RECORD_STATUS,Record Status,A code indicating the general quality of the data.,,experiment_history,False,False
EXPERIMENT_SECTION,GPS_SPS,Experiment Classification Code,Code indicating if the section is a GPS or SPS section.,GPS_SPS,experiment_assignment_or_status,False,False
EXPERIMENT_SECTION,GPS_SPS_EXP,Experiment Classification Code (Code Expansion),Code indicating if the section is a GPS or SPS section. (Code Expansion),,experiment_assignment_or_status,False,False
EXPERIMENT_SECTION,EXPERIMENT_NO,Experiment Number Code,Code indicating to which LTPP experiment the pavement section is assigned.,EXPERIMENT,experiment_assignment_or_status,False,False
EXPERIMENT_SECTION,EXPERIMENT_NO_EXP,Experiment Number Code (Code Expansion),Code indicating to which LTPP experiment the pavement section is assigned. (Code Expansion),,experiment_assignment_or_status,False,False
EXPERIMENT_SECTION,STATUS,Status Code,Code indicating the status of a section for a given construction event.,STATUS,experiment_assignment_or_status,False,False
EXPERIMENT_SECTION,STATUS_EXP,Status Code (Code Expansion),Code indicating the status of a section for a given construction event. (Code Expansion),,experiment_assignment_or_status,False,False
EXPERIMENT_SECTION,ASSIGN_DATE,Assign Date,Date when a test section was assigned to the LTPP experiment. The experiment designation for a test section is the combination of EXPERIMENT_NO and GPS_SPS fields in the record.,,dated_event_or_interval,False,False
