source,target,distance_km,suspicious_locality,needs_real_map_check,source_route_key,target_route_key,source_ROUTE_NO,target_ROUTE_NO,source_ROUTE_SIGNING,target_ROUTE_SIGNING,same_route_number,same_route_signing,source_latitude,source_longitude,target_latitude,target_longitude,source_functional_class,target_functional_class
28_5025,28_A350,99.10133916934186,very_long,True,3_84,3_84,84,84,3,3,True,True,31.54636001586914,-90.44317,31.70577049255371,-89.41336,2,2
41_7081,53_7409,99.03257550503028,very_long,True,2_82,2_82,82,82,2,2,True,True,45.82146835327149,-119.38379,46.42121887207031,-120.33372,1,1
1_0107,1_4129,97.14944319817889,very_long,True,3_280,3_280,280,280,3,3,True,True,32.605960845947266,-85.25062,33.052799224853516,-86.1441,2,2
19_5046,19_9116,95.99333069536743,very_long,True,2_35,2_35,35,35,2,2,True,True,42.61685943603515,-93.49598,43.47359848022461,-93.35074,1,1
53_1008,53_7322,92.9545701576142,very_long,True,3_195,3_195,195,195,3,3,True,True,47.55786895751953,-117.39556,46.73012924194336,-117.22361,2,2
53_3019,53_7409,92.72385539168214,very_long,True,2_82,2_82,82,82,2,2,True,True,46.13151168823242,-119.20239,46.42121887207031,-120.33372,11,1
27_4040,27_B350,92.59053545721648,very_long,True,3_2,3_2,2,2,3,3,True,True,47.308799743652344,-93.7167,47.48368835449219,-94.91938,2,2
1_0601,1_3028,89.19999466727813,very_long,True,2_59,2_59,59,59,2,2,True,True,34.18096160888672,-85.96033,33.6115608215332,-86.6411,1,11
6_8534,6_9048,87.21777912448657,very_long,True,2_8,2_8,8,8,2,2,True,True,32.77302932739258,-115.76624,32.838600158691406,-116.69618,1,1
6_8535,6_A441,87.14822770739572,very_long,True,2_8,2_8,8,8,2,2,True,True,32.77397918701172,-115.51887,32.723140716552734,-116.44877,1,1
6_3010,6_3013,85.88375536956697,very_long,True,2_15,2_15,15,15,2,2,True,True,32.91463088989258,-117.11594,33.67000961303711,-117.3087,11,1
