source,target,distance_km,route_key,bbox_diagonal_km,topology_status,real_axis_verdict,local_neighbour_verdict,source_route_no,target_route_no,source_route_signing,target_route_signing,src_snap_m,dst_snap_m,same_osm_edge,osm_path_km,detour_ratio,src_osm_ref,dst_osm_ref,src_osm_name,dst_osm_name,ref_overlap,name_overlap
28_5025,28_A350,99.10133916934186,3_84,118.11817892832033,fetch_or_match_failed,needs_manual_map_check,unknown,,,,,,,,,,,,,,,
41_7081,53_7409,99.03257550503028,2_82,120.22663451515969,short_connected,same_real_axis_supported,same_corridor_but_not_local,82,82,2.0,2.0,0.7539594139508173,6.3231243781739055,0.0,140.63431061885223,1.4200813207337906,i 82,i 82;us 12,mcnary highway,,1.0,0.0
1_0107,1_4129,97.14944319817889,3_280,119.33969339930475,short_connected,same_real_axis_supported,same_corridor_but_not_local,280,280,3.0,3.0,5.777317923063967,2.7514639550729423,0.0,100.53828887517744,1.0348828111148876,us 280;us 431,us 280,,,1.0,0.0
19_5046,19_9116,95.99333069536743,2_35,115.7452400935226,short_connected,same_real_axis_supported,same_corridor_but_not_local,35,35,2.0,2.0,1.057391631964287,1.1319826309543342,0.0,89.47922863775379,0.9321400558723607,i 35,i 35;i 35;ia 27,,avenue of the saints,1.0,0.0
53_1008,53_7322,92.9545701576142,3_195,112.66426517626418,short_connected,same_real_axis_supported,same_corridor_but_not_local,195,195,3.0,3.0,1.616152108647183,0.7126494292890606,0.0,100.85451942971372,1.0849872067473856,us 195,us 195,,,1.0,0.0
53_3019,53_7409,92.72385539168214,2_82,111.13018150668934,unreachable,not_supported,not_local_neighbours,82,82,2.0,2.0,1.882224889309884,6.3231243781739055,0.0,,,i 82;us 395,i 82;us 12,lewis and clark trail highway,,1.0,0.0
27_4040,27_B350,92.59053545721648,3_2,109.11839960888851,short_connected,same_real_axis_supported,same_corridor_but_not_local,2,2,3.0,3.0,4.641159103597714,1.7820677694464462,0.0,94.07659483727736,1.016049797884013,mn 6;us 2,us 2;us 71,,paul bunyan expressway,1.0,0.0
1_0601,1_3028,89.19999466727813,2_59,112.24887732921817,short_connected,same_real_axis_supported,same_corridor_but_not_local,59,59,2.0,2.0,0.976254882344944,2.2340934006053894,0.0,83.94783431150863,0.9411192750026454,i 59,i 59,,,1.0,0.0
6_8534,6_9048,87.21777912448657,2_8,104.90858396737852,unreachable,not_supported,not_local_neighbours,8,8,2.0,2.0,2.049365012773534,3.415157359846914,0.0,,,i 8,i 8,kumeyaay highway,kumeyaay highway,1.0,1.0
6_8535,6_A441,87.14822770739572,2_8,104.58929180879937,unreachable,not_supported,not_local_neighbours,8,8,2.0,2.0,4.231390961305876,0.34918908334536164,0.0,,,i 8,i 8,kumeyaay highway,kumeyaay highway,1.0,1.0
6_3010,6_3013,85.88375536956697,2_15,106.93587932042395,short_connected,same_real_axis_supported,same_corridor_but_not_local,15,15,2.0,2.0,4.786837778133588,9.793464230022767,0.0,92.81450358317271,1.0806991751092159,i 15,i 15,escondido freeway,temecula valley freeway,1.0,0.0
46_3009,46_3010,84.78286831894845,2_29,103.78904684340685,short_connected,same_real_axis_supported,same_corridor_but_not_local,29,29,2.0,2.0,4.12357251712781,5.270503408565825,0.0,88.38697006476411,1.0425097878530984,i 29,i 29;us 81,,,1.0,0.0
27_0509,27_4050,79.24533741343433,3_2,96.8445974861863,short_connected,connected_but_far,same_corridor_but_not_local,2,2,3.0,3.0,2.679934492496025,0.4256354358052757,0.0,80.21472518306643,1.0122327420296624,us-2,us 2,,,0.0,0.0
48_3629,48_5154,76.17062130866698,2_10,93.95726509878112,short_connected,connected_but_far,same_corridor_but_not_local,10,10,2.0,2.0,3.5509272614296856,4.600439792614537,0.0,67.04449546404071,0.88018837594032,,i 10,united states highway 90,,0.0,0.0
6_3010,6_3019,75.78104517428358,2_15,96.343748753358,short_connected,same_real_axis_supported,same_corridor_but_not_local,15,15,2.0,2.0,4.786837778133588,2.17184078954703,0.0,79.13423848531735,1.0442484437014825,i 15,i 15,escondido freeway,temecula valley freeway,1.0,0.0
16_1001,16_9034,75.11440273287883,3_95,95.7712165376664,short_connected,same_real_axis_supported,same_corridor_but_not_local,95,95,3.0,3.0,7.114591214866977,2.033023045798169,0.0,76.52245777501855,1.0187454734499726,us 95,us 2;us 95,,,1.0,0.0
40_4087,40_4162,73.84211364327602,3_62,90.39678856199725,short_connected,connected_but_far,same_corridor_but_not_local,62,62,3.0,3.0,0.6972124484963699,2.22225285991553,0.0,73.32622964642542,0.9930136886473376,us 62,,"colonel aaron c. ""burley"" burleson memorial highway",northwest quanhah parker trail way,0.0,0.0
28_5006,28_5803,72.95160998789552,3_78,95.62434376326812,short_connected,same_real_axis_supported,same_corridor_but_not_local,78,78,3.0,3.0,0.6350068448208295,3.1927990734561145,0.0,64.16271950089376,0.8795243794008101,i 22;us 78,i 22;us 78,,,1.0,0.0
27_3013,27_7090,69.723325312282,3_169,91.46947039298084,short_connected,same_real_axis_supported,same_corridor_but_not_local,169,169,3.0,3.0,3.3010263780582805,7.13014025267231,0.0,79.85484055356388,1.1453102702130755,us 169,us 169,,,1.0,0.0
51_1464,51_2564,68.22469003244854,2_64,90.52450943401524,short_connected,same_real_axis_supported,same_corridor_but_not_local,64,64,2.0,2.0,5.142825116861926,1.1671583015161482,0.0,82.08099338018407,1.2030980769739708,i 64,i 64,,hampton roads beltway,1.0,0.0
1_3998,1_6012,63.35300118586449,2_20,86.52917002902247,short_connected,same_real_axis_supported,same_corridor_but_not_local,20,20,2.0,2.0,3.710362884702446,7.760955998234722,0.0,63.36549055828902,1.0001971393965676,i 20;i 59,i 20;i 59,,,1.0,0.0
38_2001,38_3005,62.64453333196899,3_2,79.01790120118703,short_connected,same_real_axis_supported,same_corridor_but_not_local,2,2,3.0,3.0,4.356584929570829,12.30388035499256,0.0,64.92360516752431,1.036381017055039,us 2,us 2,18th avenue,,1.0,0.0
19_0608,19_0709,62.37499257796264,2_35,81.2613710372436,short_connected,same_real_axis_supported,same_corridor_but_not_local,35,35,2.0,2.0,4.6001277314228,3.0148678929890216,0.0,59.33578988509237,0.9512753017313539,i 35,i 35,,,1.0,0.0
5_3011,5_4021,61.58962289768667,3_67,84.34201875817007,short_connected,same_real_axis_supported,same_corridor_but_not_local,67,67,3.0,3.0,5.82174145041995,21.467924307610367,0.0,64.85237011145486,1.0529755997887549,i 57,i 57;us 167,,,1.0,0.0
