source,target,distance_km,distance_bin,bbox_diagonal_km,src_snap_m,dst_snap_m,same_osm_edge,path_exists,osm_path_km,detour_ratio,topology_status,route_change_count_ref,route_change_count_name,unique_ref_count,unique_name_count,dominant_ref,dominant_name,src_ref,dst_ref,src_name,dst_name,endpoint_ref_overlap,endpoint_name_overlap,path_step_count,audit_verdict
39_0105,39_0207,0.0502137122513757,0-1 km,22.41092366990501,4.582929491287642,3.794341971276649,0.0,1,0.019218660449500623,0.3827372960057159,short_connected,0.0,0.0,0.0,0.0,,,us 23,us 23,,,1.0,0.0,1.0,strong_local_neighbour
6_A422,6_A423,0.0503825859702861,0-1 km,23.29704381657274,1.4552111711513562,1.305076331095739,1.0,1,0.0,0.0,same_osm_edge,0.0,0.0,1.0,1.0,i 8,kumeyaay highway,i 8,i 8,kumeyaay highway,kumeyaay highway,1.0,1.0,0.0,very_strong_local_neighbour
32_A410,32_A456,0.0586774660707891,0-1 km,22.33343248487896,7.691403010756172,0.8511586681740231,0.0,1,1.2071369408144328,20.57241086992629,long_connected,0.0,0.0,0.0,0.0,,,i 80,i 80,dwight d. eisenhower highway,dwight d. eisenhower highway,1.0,1.0,3.0,weak_local_neighbour
6_B451,6_B452,0.058986595588533,0-1 km,22.737697366963612,0.16434380009783342,0.6322215584411568,1.0,1,0.0,0.0,same_osm_edge,0.0,0.0,1.0,1.0,i 5,westside freeway,i 5,i 5,westside freeway,westside freeway,1.0,1.0,0.0,very_strong_local_neighbour
39_0106,39_0209,0.0676533758478862,0-1 km,22.42770578582897,1.9883390089648418,5.448172584340473,0.0,1,0.019140133505386712,0.28291468482551324,short_connected,0.0,0.0,0.0,1.0,,radnor road,us 23,us 23,,,1.0,0.0,1.0,strong_local_neighbour
32_A430,32_A454,0.0836944920838265,0-1 km,22.359377429856178,4.0740031170120545,1.31700751464635,0.0,1,1.2071369408144328,14.42313479368979,long_connected,0.0,0.0,0.0,0.0,,,i 80,i 80,dwight d. eisenhower highway,dwight d. eisenhower highway,1.0,1.0,3.0,weak_local_neighbour
6_0211,6_A805,0.1014287744104965,0-1 km,22.79238550437851,4.6241131285584975,3.261684051380855,0.0,1,2.0030087649028583,19.747934218315606,long_connected,0.0,1.0,0.0,2.0,,south avenue,ca 99,,golden state highway,sycamore street,0.0,0.0,4.0,weak_local_neighbour
4_A451,4_A452,0.1179143717238737,0-1 km,23.253521378749948,6.689904237900981,6.467565077117954,1.0,1,0.0,0.0,same_osm_edge,0.0,0.0,1.0,1.0,us 60,superstition freeway,us 60,us 60,superstition freeway,superstition freeway,1.0,1.0,0.0,very_strong_local_neighbour
49_C431,49_C452,0.1201128879182517,0-1 km,22.280691706782292,0.8751541887261121,1.2417931212745799,1.0,1,0.0,0.0,same_osm_edge,0.0,0.0,1.0,1.0,i 15,veterans memorial highway,i 15,i 15,veterans memorial highway,veterans memorial highway,1.0,1.0,0.0,very_strong_local_neighbour
49_D459,49_D460,0.1213140450302873,0-1 km,22.424966496519026,7.839945997714166,0.886029899694872,0.0,1,0.1802456846934109,1.4857775507230901,short_connected,0.0,0.0,0.0,0.0,,,sr 154,,bangerter highway,,0.0,0.0,1.0,strong_local_neighbour
