distance_bin,audit_verdict,edges,mean_distance_km,mean_osm_path_km,mean_detour_ratio,mean_route_change_count_ref,mean_route_change_count_name
0-1 km,ambiguous_but_close,5,0.364472431531767,1.4850938941894969,4.172714263673752,0.0,0.0
0-1 km,needs_manual_map_check,28,0.7125829905583776,,,,
0-1 km,plausible_local_neighbour,1,0.579659769582048,1.4537571362739954,2.5079489944975784,0.0,0.0
0-1 km,strong_local_neighbour,9,0.3236595313273043,0.17578024667713976,0.5424248032922595,0.2222222222222222,0.1111111111111111
0-1 km,very_strong_local_neighbour,34,0.3169630078263419,0.0,0.0,0.0,0.0
0-1 km,weak_local_neighbour,9,0.1865533834121339,2.3247999801259107,13.822417864163855,0.0,0.1111111111111111
1-5 km,needs_manual_map_check,51,1.7467932124939594,,,,
10-25 km,needs_manual_map_check,12,17.03390982917185,,,,
25-50 km,needs_manual_map_check,22,34.103097341275785,,,,
5-10 km,needs_manual_map_check,6,6.389111874061271,,,,
>50 km,needs_manual_map_check,23,65.11438784493363,,,,
