node_id,year,traffic_pre,traffic_post,delta_pre_to_post,rel_delta_pre_to_post
01_0101,1992,0.0,242784.0,242784.0,
01_0101,1993,0.0,298199.0,298199.0,
01_0101,1994,242784.0,307016.0,64232.0,0.26456438645050745
01_0101,1995,298199.0,316733.0,18534.0,0.06215312593268254
01_0101,1996,307016.0,326250.0,19234.0,0.06264820074523804
01_0101,1997,316733.0,336468.0,19735.0,0.062308000745107076
01_0101,1998,326250.0,345803.0,19553.0,0.05993256704980843
01_0101,1999,336468.0,357601.0,21133.0,0.06280835027402308
01_0101,2000,345803.0,366954.0,21151.0,0.06116488289575278
01_0101,2001,357601.0,378027.0,20426.0,0.05711952707067374
01_0101,2002,366954.0,389356.0,22402.0,0.061048523793172986
01_0101,2003,378027.0,401910.0,23883.0,0.06317802696632781
01_0101,2004,389356.0,187929.0,-201427.0,-0.5173337511172295
01_0102,1992,0.0,242784.0,242784.0,
01_0102,1993,0.0,298199.0,298199.0,
01_0102,1994,242784.0,307016.0,64232.0,0.26456438645050745
01_0102,1995,298199.0,316733.0,18534.0,0.06215312593268254
01_0102,1996,307016.0,326250.0,19234.0,0.06264820074523804
01_0102,1997,316733.0,336468.0,19735.0,0.062308000745107076
01_0102,1998,326250.0,345803.0,19553.0,0.05993256704980843
01_0102,1999,336468.0,357601.0,21133.0,0.06280835027402308
01_0102,2000,345803.0,366954.0,21151.0,0.06116488289575278
01_0102,2001,357601.0,378027.0,20426.0,0.05711952707067374
01_0102,2002,366954.0,332819.5,-34134.5,-0.09302119611722451
01_0102,2003,378027.0,401910.0,23883.0,0.06317802696632781
01_0102,2004,332819.5,187929.0,-144890.5,-0.43534258058797637
01_0103,1992,0.0,242784.0,242784.0,
01_0103,1993,0.0,298199.0,298199.0,
01_0103,1994,242784.0,307016.0,64232.0,0.26456438645050745
01_0103,1995,298199.0,316733.0,18534.0,0.06215312593268254
01_0103,1996,307016.0,326250.0,19234.0,0.06264820074523804
01_0103,1997,316733.0,336468.0,19735.0,0.062308000745107076
01_0103,1998,326250.0,345803.0,19553.0,0.05993256704980843
01_0103,1999,336468.0,357601.0,21133.0,0.06280835027402308
01_0103,2000,345803.0,366954.0,21151.0,0.06116488289575278
01_0103,2001,357601.0,378027.0,20426.0,0.05711952707067374
01_0103,2002,366954.0,389356.0,22402.0,0.061048523793172986
01_0103,2003,378027.0,401910.0,23883.0,0.06317802696632781
01_0103,2004,389356.0,187929.0,-201427.0,-0.5173337511172295
01_0104,1992,0.0,242784.0,242784.0,
01_0104,1993,0.0,298199.0,298199.0,
01_0104,1994,242784.0,307016.0,64232.0,0.26456438645050745
01_0104,1995,298199.0,316733.0,18534.0,0.06215312593268254
01_0104,1996,307016.0,326250.0,19234.0,0.06264820074523804
01_0104,1997,316733.0,336468.0,19735.0,0.062308000745107076
01_0104,1998,326250.0,345803.0,19553.0,0.05993256704980843
01_0104,1999,336468.0,357601.0,21133.0,0.06280835027402308
01_0104,2000,345803.0,366954.0,21151.0,0.06116488289575278
01_0104,2001,357601.0,378027.0,20426.0,0.05711952707067374
01_0104,2002,366954.0,389356.0,22402.0,0.061048523793172986
01_0104,2003,378027.0,401910.0,23883.0,0.06317802696632781
01_0104,2004,389356.0,187929.0,-201427.0,-0.5173337511172295
01_0105,1992,0.0,242784.0,242784.0,
01_0105,1993,0.0,298199.0,298199.0,
01_0105,1994,242784.0,307016.0,64232.0,0.26456438645050745
01_0105,1995,298199.0,316733.0,18534.0,0.06215312593268254
01_0105,1996,307016.0,326250.0,19234.0,0.06264820074523804
01_0105,1997,316733.0,336468.0,19735.0,0.062308000745107076
01_0105,1998,326250.0,345803.0,19553.0,0.05993256704980843
01_0105,1999,336468.0,357601.0,21133.0,0.06280835027402308
01_0105,2000,345803.0,366954.0,21151.0,0.06116488289575278
01_0105,2001,357601.0,378027.0,20426.0,0.05711952707067374
01_0105,2002,366954.0,389356.0,22402.0,0.061048523793172986
01_0105,2003,378027.0,401910.0,23883.0,0.06317802696632781
01_0105,2004,389356.0,187929.0,-201427.0,-0.5173337511172295
01_0106,1992,0.0,242784.0,242784.0,
01_0106,1993,0.0,298199.0,298199.0,
01_0106,1994,242784.0,307016.0,64232.0,0.26456438645050745
01_0106,1995,298199.0,316733.0,18534.0,0.06215312593268254
01_0106,1996,307016.0,326250.0,19234.0,0.06264820074523804
01_0106,1997,316733.0,336468.0,19735.0,0.062308000745107076
01_0106,1998,326250.0,345803.0,19553.0,0.05993256704980843
01_0106,1999,336468.0,357601.0,21133.0,0.06280835027402308
01_0106,2000,345803.0,366954.0,21151.0,0.06116488289575278
01_0106,2001,357601.0,378027.0,20426.0,0.05711952707067374
01_0106,2002,366954.0,389356.0,22402.0,0.061048523793172986
01_0106,2003,378027.0,401910.0,23883.0,0.06317802696632781
01_0106,2004,389356.0,187929.0,-201427.0,-0.5173337511172295
01_0107,1992,0.0,242784.0,242784.0,
01_0107,1993,0.0,298199.0,298199.0,
01_0107,1994,242784.0,307016.0,64232.0,0.26456438645050745
01_0107,1995,298199.0,316733.0,18534.0,0.06215312593268254
01_0107,1996,307016.0,326250.0,19234.0,0.06264820074523804
01_0107,1997,316733.0,336468.0,19735.0,0.062308000745107076
01_0107,1998,326250.0,345803.0,19553.0,0.05993256704980843
01_0107,1999,336468.0,357601.0,21133.0,0.06280835027402308
01_0107,2000,345803.0,282001.5,-63801.5,-0.18450244792555298
01_0108,1992,0.0,242784.0,242784.0,
01_0108,1993,0.0,298199.0,298199.0,
01_0108,1994,242784.0,307016.0,64232.0,0.26456438645050745
01_0108,1995,298199.0,316733.0,18534.0,0.06215312593268254
01_0108,1996,307016.0,326250.0,19234.0,0.06264820074523804
01_0108,1997,316733.0,336468.0,19735.0,0.062308000745107076
01_0108,1998,326250.0,345803.0,19553.0,0.05993256704980843
01_0108,1999,336468.0,357601.0,21133.0,0.06280835027402308
