node_id,event_year,n_projects,treatment_group,treatment_label,project_ids,traffic_pre,traffic_at,traffic_post,traffic_post2,delta_pre_to_event,delta_pre_to_post,delta_pre_to_post2,rel_delta_pre_to_post
10_0101,1996,1,asphalt_overlay,Asphalt Concrete Overlay,10_0101_19960922_2_1,0.0,57965.0,123324.0,131253.0,57965.0,123324.0,131253.0,
10_0102,1996,1,asphalt_overlay,"Grinding Surface, Asphalt Concrete Overlay, Full Depth Patch of AC Pavement (removing damaged material, repairing supporting material, and repairing)",10_0102_19960922_2_1,0.0,57965.0,123324.0,131253.0,57965.0,123324.0,131253.0,
10_0103,1996,1,asphalt_overlay,Asphalt Concrete Overlay,10_0103_19960922_2_1,0.0,57965.0,123324.0,131253.0,57965.0,123324.0,131253.0,
10_0104,1996,1,asphalt_overlay,Asphalt Concrete Overlay,10_0104_19960922_2_1,0.0,57965.0,123324.0,131253.0,57965.0,123324.0,131253.0,
10_0105,1996,1,asphalt_overlay,Asphalt Concrete Overlay,10_0105_19960922_2_1,0.0,57965.0,123324.0,131253.0,57965.0,123324.0,131253.0,
10_0105,2005,1,patching,Manual Premix Spot Patch (hand spreading and compacting with roller),10_0105_20050601_3_1,186314.0,156119.0,208400.0,229538.0,-30195.0,22086.0,43224.0,0.11854181650332235
10_0106,1996,1,asphalt_overlay,Asphalt Concrete Overlay,10_0106_19960922_2_1,0.0,57965.0,123324.0,131253.0,57965.0,123324.0,131253.0,
10_0107,1996,1,asphalt_overlay,Asphalt Concrete Overlay,10_0107_19960922_2_1,0.0,57965.0,123324.0,131253.0,57965.0,123324.0,131253.0,
10_0108,1996,1,asphalt_overlay,Asphalt Concrete Overlay,10_0108_19960922_2_1,0.0,57965.0,123324.0,131253.0,57965.0,123324.0,131253.0,
10_0109,1996,1,asphalt_overlay,Asphalt Concrete Overlay,10_0109_19960922_2_1,0.0,57965.0,123324.0,131253.0,57965.0,123324.0,131253.0,
10_0110,1996,1,asphalt_overlay,Asphalt Concrete Overlay,10_0110_19960922_2_1,0.0,57965.0,123324.0,131253.0,57965.0,123324.0,131253.0,
10_0111,1996,1,asphalt_overlay,Asphalt Concrete Overlay,10_0111_19960922_2_1,0.0,57965.0,123324.0,131253.0,57965.0,123324.0,131253.0,
10_0112,1996,1,asphalt_overlay,Asphalt Concrete Overlay,10_0112_19960922_2_1,0.0,57965.0,123324.0,131253.0,57965.0,123324.0,131253.0,
10_0159,1996,1,asphalt_overlay,Asphalt Concrete Overlay,10_0159_19960922_2_1,0.0,57965.0,123324.0,131253.0,57965.0,123324.0,131253.0,
10_0160,1996,1,asphalt_overlay,Asphalt Concrete Overlay,10_0160_19960922_2_1,0.0,57965.0,123324.0,131253.0,57965.0,123324.0,131253.0,
10_0201,1996,1,patching,Full Depth Transverse Joint Repair Patch,10_0201_19960419_2_1,0.0,84099.0,123324.0,131253.0,84099.0,123324.0,131253.0,
10_0201,2000,1,grinding,Grinding Surface,10_0201_20000601_3_1,138173.0,127399.0,155415.0,166127.0,-10774.0,17242.0,27954.0,0.12478559487019895
10_0203,2014,1,patching,Skin Patching (hand tools/hot pot to apply liquid asphalt and aggregate),10_0203_20140601_2_1,223179.0,180705.0,220938.0,254759.0,-42474.0,-2241.0,31580.0,-0.010041267323538505
10_0204,2000,1,grinding,Grinding Surface,10_0204_20000601_2_1,138173.0,117164.0,155415.0,166127.0,-21009.0,17242.0,27954.0,0.12478559487019895
10_0204,2011,1,patching,Partial depth patching of PCC pavements at joints,10_0204_20110601_3_1,214032.0,166208.66666666666,209942.0,223179.0,-47823.33333333334,-4090.0,9147.0,-0.019109292068475742
10_0204,2014,1,patching,Skin Patching (hand tools/hot pot to apply liquid asphalt and aggregate),10_0204_20140601_4_1,223179.0,204268.5,220938.0,254759.0,-18910.5,-2241.0,31580.0,-0.010041267323538505
10_0205,1996,1,patching,"Full Depth Transverse Joint Repair Patch, PCC Slab Replacement",10_0205_19960418_2_1,0.0,84267.0,123324.0,131253.0,84267.0,123324.0,131253.0,
10_0205,2000,1,grinding,Grinding Surface,10_0205_20000601_3_1,138173.0,127399.0,155415.0,166127.0,-10774.0,17242.0,27954.0,0.12478559487019895
10_0205,2007,1,crack_sealing,"Transverse Joint Sealing, Lane-Shoulder Longitudinal Joint Sealing",10_0205_20070601_4_1,208400.0,205798.25,229921.0,210984.0,-2601.75,21521.0,2584.0,0.10326775431861804
10_0205,2012,1,patching,Full Depth Transverse Joint Repair Patch,10_0205_20120301_5_1,192795.0,203058.6,223179.0,212123.0,10263.600000000006,30384.0,19328.0,0.15759744806659923
10_0205,2014,1,patching,Skin Patching (hand tools/hot pot to apply liquid asphalt and aggregate),10_0205_20140601_6_1,223179.0,212123.0,220938.0,254759.0,-11056.0,-2241.0,31580.0,-0.010041267323538505
10_0207,2006,1,crack_sealing,Lane-Shoulder Longitudinal Joint Sealing,10_0207_20060601_2_1,196834.0,165292.5,229538.0,198092.33333333334,-31541.5,32704.0,1258.333333333343,0.1661501569850737
10_0207,2008,1,crack_sealing,"Crack Sealing, Other",10_0207_20080601_3_1,229538.0,198092.33333333334,210984.0,214032.0,-31445.666666666657,-18554.0,-15506.0,-0.08083193196769163
10_0207,2011,1,crack_sealing,"Crack Sealing, Patch Pot Holes - Hand Spread, Compacted with Truck, Partial Depth Patching of PCC Pavement Other Than at Joint",10_0207_20110301_4_1,214032.0,185004.0,209942.0,223179.0,-29028.0,-4090.0,9147.0,-0.019109292068475742
10_0207,2014,1,patching,Skin Patching (hand tools/hot pot to apply liquid asphalt and aggregate),10_0207_20140601_5_1,223179.0,208981.2,220938.0,254759.0,-14197.799999999988,-2241.0,31580.0,-0.010041267323538505
10_0208,2000,1,grinding,Grinding Surface,10_0208_20000601_2_1,138173.0,117164.0,155415.0,166127.0,-21009.0,17242.0,27954.0,0.12478559487019895
10_0208,2006,1,crack_sealing,Lane-Shoulder Longitudinal Joint Sealing,10_0208_20060601_3_1,196834.0,179661.66666666666,229538.0,229921.0,-17172.333333333343,32704.0,33087.0,0.1661501569850737
