YEAR,observation_count,sheet
1937,2,TRF_TREND
1938,2,TRF_TREND
1939,2,TRF_TREND
1940,2,TRF_TREND
1941,2,TRF_TREND
1942,2,TRF_TREND
1943,2,TRF_TREND
1944,2,TRF_TREND
1945,2,TRF_TREND
1946,3,TRF_TREND
1947,6,TRF_TREND
1948,7,TRF_TREND
1949,7,TRF_TREND
1950,8,TRF_TREND
1951,11,TRF_TREND
1952,18,TRF_TREND
1953,19,TRF_TREND
1954,27,TRF_TREND
1955,38,TRF_TREND
1956,40,TRF_TREND
1957,43,TRF_TREND
1958,58,TRF_TREND
1959,70,TRF_TREND
1960,78,TRF_TREND
1961,89,TRF_TREND
1962,102,TRF_TREND
1963,121,TRF_TREND
1964,143,TRF_TREND
1965,198,TRF_TREND
1966,259,TRF_TREND
1967,296,TRF_TREND
1968,342,TRF_TREND
1969,407,TRF_TREND
1970,486,TRF_TREND
1971,620,TRF_TREND
1972,702,TRF_TREND
1973,786,TRF_TREND
1974,902,TRF_TREND
1975,1012,TRF_TREND
1976,1085,TRF_TREND
1977,1148,TRF_TREND
1978,1228,TRF_TREND
1979,1313,TRF_TREND
1980,1400,TRF_TREND
1981,1463,TRF_TREND
1982,1556,TRF_TREND
1983,1603,TRF_TREND
1984,1658,TRF_TREND
1985,1722,TRF_TREND
1986,1803,TRF_TREND
1987,1843,TRF_TREND
1988,1880,TRF_TREND
1989,1958,TRF_TREND
1990,2625,TRF_TREND
1991,2930,TRF_TREND
1992,3329,TRF_TREND
1993,3587,TRF_TREND
1994,3761,TRF_TREND
1995,3918,TRF_TREND
1996,4055,TRF_TREND
1997,4167,TRF_TREND
1998,4180,TRF_TREND
1999,4057,TRF_TREND
2000,4028,TRF_TREND
2001,3996,TRF_TREND
2002,3998,TRF_TREND
2003,3895,TRF_TREND
2004,3882,TRF_TREND
2005,3671,TRF_TREND
2006,3017,TRF_TREND
2007,2525,TRF_TREND
2008,2356,TRF_TREND
2009,2123,TRF_TREND
2010,1876,TRF_TREND
2011,1788,TRF_TREND
2012,1711,TRF_TREND
2013,1654,TRF_TREND
2014,1596,TRF_TREND
2015,1598,TRF_TREND
2016,1651,TRF_TREND
2017,1387,TRF_TREND
2018,963,TRF_TREND
2019,883,TRF_TREND
2020,874,TRF_TREND
2021,797,TRF_TREND
2022,793,TRF_TREND
2023,776,TRF_TREND
2024,753,TRF_TREND
1937,2,TRF_TREND_1
1938,2,TRF_TREND_1
1939,2,TRF_TREND_1
1940,2,TRF_TREND_1
1941,2,TRF_TREND_1
1942,2,TRF_TREND_1
1943,2,TRF_TREND_1
1944,2,TRF_TREND_1
1945,2,TRF_TREND_1
1946,3,TRF_TREND_1
1947,6,TRF_TREND_1
1948,7,TRF_TREND_1
1949,7,TRF_TREND_1
1950,8,TRF_TREND_1
1951,11,TRF_TREND_1
1952,18,TRF_TREND_1
1953,19,TRF_TREND_1
1954,27,TRF_TREND_1
1955,38,TRF_TREND_1
1956,40,TRF_TREND_1
1957,43,TRF_TREND_1
1958,58,TRF_TREND_1
1959,70,TRF_TREND_1
1960,78,TRF_TREND_1
1961,89,TRF_TREND_1
1962,102,TRF_TREND_1
1963,121,TRF_TREND_1
1964,143,TRF_TREND_1
1965,198,TRF_TREND_1
1966,259,TRF_TREND_1
1967,296,TRF_TREND_1
1968,342,TRF_TREND_1
1969,407,TRF_TREND_1
1970,486,TRF_TREND_1
1971,620,TRF_TREND_1
1972,702,TRF_TREND_1
1973,786,TRF_TREND_1
1974,902,TRF_TREND_1
1975,1012,TRF_TREND_1
1976,1085,TRF_TREND_1
1977,1148,TRF_TREND_1
1978,1228,TRF_TREND_1
1979,1313,TRF_TREND_1
1980,1400,TRF_TREND_1
1981,1463,TRF_TREND_1
1982,1556,TRF_TREND_1
1983,1603,TRF_TREND_1
1984,1658,TRF_TREND_1
1985,1722,TRF_TREND_1
1986,1803,TRF_TREND_1
1987,1843,TRF_TREND_1
1988,1880,TRF_TREND_1
1989,1958,TRF_TREND_1
1990,2625,TRF_TREND_1
1991,2930,TRF_TREND_1
1992,3329,TRF_TREND_1
1993,3587,TRF_TREND_1
1994,3761,TRF_TREND_1
1995,3918,TRF_TREND_1
1996,4055,TRF_TREND_1
1997,4167,TRF_TREND_1
1998,4180,TRF_TREND_1
1999,4057,TRF_TREND_1
2000,4028,TRF_TREND_1
2001,3996,TRF_TREND_1
2002,3998,TRF_TREND_1
2003,3895,TRF_TREND_1
2004,3882,TRF_TREND_1
2005,3671,TRF_TREND_1
2006,3017,TRF_TREND_1
2007,2525,TRF_TREND_1
2008,2356,TRF_TREND_1
2009,2123,TRF_TREND_1
2010,1876,TRF_TREND_1
2011,1788,TRF_TREND_1
2012,1711,TRF_TREND_1
2013,1654,TRF_TREND_1
2014,1596,TRF_TREND_1
2015,1598,TRF_TREND_1
2016,1651,TRF_TREND_1
2017,1387,TRF_TREND_1
2018,963,TRF_TREND_1
2019,883,TRF_TREND_1
2020,874,TRF_TREND_1
2021,797,TRF_TREND_1
2022,793,TRF_TREND_1
2023,776,TRF_TREND_1
2024,753,TRF_TREND_1
1937,2,TRF_TREND_2
1938,2,TRF_TREND_2
1939,2,TRF_TREND_2
1940,2,TRF_TREND_2
1941,2,TRF_TREND_2
1942,2,TRF_TREND_2
1943,2,TRF_TREND_2
1944,2,TRF_TREND_2
1945,2,TRF_TREND_2
1946,3,TRF_TREND_2
1947,6,TRF_TREND_2
1948,7,TRF_TREND_2
1949,7,TRF_TREND_2
1950,8,TRF_TREND_2
1951,11,TRF_TREND_2
1952,18,TRF_TREND_2
1953,19,TRF_TREND_2
1954,27,TRF_TREND_2
1955,38,TRF_TREND_2
1956,40,TRF_TREND_2
1957,43,TRF_TREND_2
1958,58,TRF_TREND_2
1959,70,TRF_TREND_2
1960,78,TRF_TREND_2
1961,89,TRF_TREND_2
1962,102,TRF_TREND_2
1963,121,TRF_TREND_2
1964,143,TRF_TREND_2
1965,198,TRF_TREND_2
1966,259,TRF_TREND_2
1967,296,TRF_TREND_2
1968,342,TRF_TREND_2
1969,407,TRF_TREND_2
1970,486,TRF_TREND_2
1971,620,TRF_TREND_2
1972,702,TRF_TREND_2
1973,786,TRF_TREND_2
