treatment_label,count
Missing / not recorded,2840
Crack Sealing,726
"Patch Pot Holes - Hand Spread, Compacted with Truck",394
Asphalt Concrete Overlay,297
Aggregate Seal Coat,282
Partial depth patching of PCC pavements at joints,243
Skin Patching (hand tools/hot pot to apply liquid asphalt and aggregate),211
"Transverse Joint Sealing, Lane-Shoulder Longitudinal Joint Sealing",194
Mill Off AC and Overlay with AC,164
Partial Depth Patching of PCC Pavement Other Than at Joint,137
Manual Premix Spot Patch (hand spreading and compacting with roller),136
Slurry Seal Coat,112
Grinding Surface,109
"Full Depth Patch of AC Pavement (removing damaged material, repairing supporting material, and repairing)",105
AC Shoulder Restoration,88
"AC Shoulder Restoration, Asphalt Concrete Overlay",81
"AC Shoulder Restoration, Mill Off AC and Overlay with AC",74
Mill Existing Pavement and Overlay with Hot-Mix Recycled AC,74
Lane-Shoulder Longitudinal Joint Sealing,73
Full Depth Patching of PCC Pavement Other Than at Joint,58
"Partial depth patching of PCC pavements at joints, Partial Depth Patching of PCC Pavement Other Than at Joint",56
Fog Seal Coat,53
Strip Patching (using spreader and distributor to apply hot liquid asphalt and aggregate),45
"Crack Sealing, Transverse Joint Sealing, Lane-Shoulder Longitudinal Joint Sealing",45
Full Depth Transverse Joint Repair Patch,45
"Surface Treatment, Single Layer",39
"Crack Sealing, Patch Pot Holes - Hand Spread, Compacted with Truck",36
"AC Shoulder Restoration, Hot-Mix Recycled Asphalt Concrete Overlay",36
"AC Shoulder Restoration, Mill Existing Pavement and Overlay with Hot-Mix Recycled AC",34
"AC Shoulder Restoration, Lane-Shoulder Longitudinal Joint Sealing",30
Machine Premix Patch (placing premix with paver roller),29
PCC Slab Replacement,28
Mill Existing Pavement and Overlay with Warm Mix Recycled AC,26
Transverse Joint Sealing,24
AC Shoulder Replacement,23
"Asphalt Concrete Overlay, Mill Off AC and Overlay with AC",22
"AC Shoulder Restoration, Asphalt Concrete Overlay, Partial depth patching of PCC pavements at joints",22
"Aggregate Seal Coat, Mill Off AC and Overlay with AC",20
Hot-Mix Recycled Asphalt Concrete Overlay,20
Mechanical Premix Patch (using motor grader and roller),18
"AC Shoulder Restoration, Asphalt Concrete Overlay, Fracture Treatment of PCC Pavement as Base for New AC Surface",18
"Asphalt Concrete Overlay, Fracture Treatment of PCC Pavement as Base for New AC Surface",18
Longitudinal Subdrains,17
"Full Depth Transverse Joint Repair Patch, Partial depth patching of PCC pavements at joints",16
"Crack Sealing, Full Depth Patch of AC Pavement (removing damaged material, repairing supporting material, and repairing)",13
"Lane-Shoulder Longitudinal Joint Sealing, Partial depth patching of PCC pavements at joints",13
"AC Shoulder Restoration, Asphalt Concrete Overlay, Longitudinal Subdrains, Fracture Treatment of PCC Pavement as Base for New AC Surface",13
"Full Depth Patch of AC Pavement (removing damaged material, repairing supporting material, and repairing), Patch Pot Holes - Hand Spread, Compacted with Truck",12
"Transverse Joint Sealing, Lane-Shoulder Longitudinal Joint Sealing, Full Depth Patching of PCC Pavement Other Than at Joint",12
"Asphalt Concrete Overlay, Aggregate Seal Coat",12
"Asphalt Concrete Overlay, Longitudinal Subdrains, Fracture Treatment of PCC Pavement as Base for New AC Surface",12
"Full Depth Transverse Joint Repair Patch, Full Depth Patching of PCC Pavement Other Than at Joint",11
"Asphalt Concrete Overlay, Mill Existing Pavement and Overlay with Hot-Mix Recycled AC",11
"AC Shoulder Restoration, Tack Coat, Mill Off AC and Overlay with AC",11
"AC Shoulder Replacement, Mill Off AC and Overlay with AC",10
"Crack Sealing, Lane-Shoulder Longitudinal Joint Sealing",9
Sand Seal Coat,9
"AC Shoulder Replacement, Mill Existing Pavement and Overlay with Hot-Mix Recycled AC",9
"Crack Sealing, Skin Patching (hand tools/hot pot to apply liquid asphalt and aggregate)",8
"Surface Treatment, Double Layer",8
"Mill Existing Pavement and Overlay with Hot-Mix Recycled AC, Warm Mix AC Overlay with RAP and/or RAS",8
"Crack Sealing, Strip Patching (using spreader and distributor to apply hot liquid asphalt and aggregate)",8
"AC Shoulder Restoration, Grinding Surface",7
"AC Shoulder Restoration, Asphalt Concrete Overlay, Full Depth Transverse Joint Repair Patch",6
"Crack Sealing, Partial depth patching of PCC pavements at joints",6
"AC Shoulder Restoration, Transverse Joint Sealing, Lane-Shoulder Longitudinal Joint Sealing, Partial depth patching of PCC pavements at joints",6
"AC Shoulder Replacement, Asphalt Concrete Overlay",6
"Manual Premix Spot Patch (hand spreading and compacting with roller), Patch Pot Holes - Hand Spread, Compacted with Truck",6
"Transverse Joint Sealing, Lane-Shoulder Longitudinal Joint Sealing, Partial depth patching of PCC pavements at joints",6
